,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1458678,1061839,1105832,1258519,1534725,1099462,1152650,1228558,1330288,1161685,1119267,1064775,1093501,944450,947836,1017384,1211834,865037,820292,858456,Upgrade
1,Revenue Growth (YoY),-4.96%,-3.42%,-4.06%,2.44%,15.37%,-5.36%,2.98%,15.38%,21.65%,23.00%,18.09%,4.66%,-9.76%,9.18%,15.55%,18.51%,-5.28%,-1.07%,-15.94%,11.90%,Upgrade
2,Cost of Revenue,792282,600587,608211,746021,881630,584810,590998,614413,709404,583422,565552,560142,545435,485325,484610,566890,642420,467942,398764,435116,Upgrade
3,Gross Profit,666396,461252,497621,512497,653096,514652,561652,614145,620884,578263,553715,504633,548066,459124,463226,450494,569414,397095,421528,423340,Upgrade
4,"Selling, General & Admin",341877,300354,294963,280297,382185,344221,308490,256367,360935,294840,298311,227330,354434,242389,237705,225599,318185,217505,232887,233584,Upgrade
5,Operating Expenses,341877,300354,294963,280297,382185,344221,308490,256367,360935,294840,298311,227330,354434,242389,237705,225599,318185,217505,232887,233584,Upgrade
6,Operating Income,324519,160898,202658,232201,270910,170431,253162,357778,259949,283422,255403,277303,193632,216736,225521,224895,251229,179590,188641,189756,Upgrade
7,Interest Expense,-8224,-7642,-3737,-5208,-7716,-10278,-7069,-4466,-398.43,-4675,-5072,-2413,-1867,-3934,-3987,-2291,-3188,-4830,-2462,-3550,Upgrade
8,Interest & Investment Income,33935,33379,33358,37487,47990,53554,54438,46192,28912,31996,31850,27579,26759,27819,29039,30689,30443,32775,34557,36084,Upgrade
