,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,62858,76443,61629,52732,94134,67513,56411,48156,34018,54711,53224,39605,43374,62776,67330,55916,73054,314268,56192,146497,Upgrade
1,Short-Term Investments,2485000,2760000,2650000,2675000,1960000,2290000,2320000,2490000,2265000,2095000,2495000,2385000,1975000,2250000,2181000,2430000,1974000,1808000,1891500,1876000,Upgrade
2,Cash & Short-Term Investments,2547858,2836443,2711629,2727732,2054134,2357513,2376411,2538156,2299018,2149711,2548224,2424605,2018374,2312776,2248330,2485916,2047054,2122268,1947692,2022497,Upgrade
3,Cash Growth,24.04%,20.32%,14.11%,7.47%,-10.65%,9.67%,-6.74%,4.68%,13.90%,-7.05%,13.34%,-2.47%,-1.40%,8.98%,15.44%,22.91%,20.53%,49.80%,40.61%,24.09%,Upgrade
4,Accounts Receivable,523860,446364,439466,436860,528859,402771,381252,345287,279862,300378,261204,275260,315113,262691,270600,264686,363249,313510,302175,275174,Upgrade
5,Other Receivables,86838,95022,71999,55627,96075,167985,116295,90611,81417,76929,71154,65253,77757,69617,53855,72879,63328,63008,60171,90540,Upgrade
6,Receivables,610955,541644,511723,492745,625192,571014,497805,436156,361537,377578,332629,340784,393141,332579,324725,337919,426958,376910,362749,366131,Upgrade
7,Inventory,1115429,1373033,1387192,1395175,1534636,1574184,1489824,1338945,1250834,1108294,1110933,995856,1072606,940492,989032,851831,826585,876200,952996,748015,Upgrade
8,Prepaid Expenses,8653,9461,2719,5285,8007,12269,4743,7286,10201,10251,2298,5607,5827,9725,5195,2585,3327,30988,6843,2806,Upgrade
