,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,1208,1486,1172,1416,1621,1734,1786,1558,1177,1048,-,620.88,984.74
1,Short-Term Investments,-,4.16,-,4.16,-,4.16,-,4.16,-,4.16,-,-,-
2,Cash & Short-Term Investments,1208,1490,1172,1420,1621,1738,1786,1562,1177,1052,620.88,620.88,984.74
3,Cash Growth,-25.48%,-14.26%,-34.37%,-9.12%,37.78%,65.14%,187.60%,151.63%,19.50%,-,-,-,-
4,Accounts Receivable,1322,1065,983.32,981.71,997.32,1037,1045,1094,1115,1164,-,1064,953.17
5,Other Receivables,28.17,17.6,27.48,15,20.81,17.76,30.89,1.7,22.08,5.89,-,7.27,5.94
6,Receivables,1350,1083,1011,996.71,1018,1055,1076,1096,1137,1169,-,1071,959.11
7,Inventory,67.65,76.98,64.85,69.86,55.96,54.67,57.53,62.38,60.29,67.69,-,49.47,33.77
8,Other Current Assets,174.53,256.77,175.11,204.85,79.87,78.97,59.86,76.13,101.03,51.27,-,68.26,68.64
9,Total Current Assets,2801,2906,2423,2691,2775,2927,2979,2797,2475,2341,-,1810,2046
10,"Property, Plant & Equipment",4944,4793,4700,4713,4197,3904,3744,3540,3479,3428,-,3067,2386
11,Long-Term Investments,274.16,278.47,284.28,285.03,286.02,288.97,291.64,291.89,291.88,292.11,-,310.05,288.27
12,Goodwill,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,1.34,-,1.34,1.34
