,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,10940,11621,11542,11647,14513,12955,13597,15743,17667,-,-,-,-,-
1,Market Cap Growth,-10.30%,-10.30%,-15.11%,-26.02%,-17.85%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10301,11013,11052,10911,13443,11776,12398,14769,17704,-,-,-,-,-
3,Last Close Price,8.36,8.88,8.82,8.81,10.97,9.80,10.28,11.73,13.16,-,-,-,-,-
4,PE Ratio,20.89,22.35,24.37,22.66,28.79,25.12,23.24,22.66,26.37,-,-,-,-,-
5,PS Ratio,2.21,2.36,2.47,2.58,3.25,2.82,2.87,3.21,3.70,-,-,-,-,-
6,PB Ratio,1.94,2.06,2.08,2.08,2.67,2.43,2.59,2.96,3.41,-,-,-,-,-
7,P/TBV Ratio,2.06,2.06,2.09,2.09,2.68,2.44,2.60,2.96,3.43,-,-,-,-,-
8,P/FCF Ratio,-,-41.04,-27.82,-,-,-,20.42,27.78,-,-,-,-,-,-
9,P/OCF Ratio,13.44,13.44,13.26,14.30,17.52,16.27,12.29,13.54,17.47,-,-,-,-,-
10,EV/Sales Ratio,2.09,2.24,2.36,2.42,3.01,2.56,2.62,3.01,3.71,-,-,-,-,-
11,EV/EBITDA Ratio,11.38,12.52,13.32,13.39,16.41,14.43,14.30,14.20,17.98,-,-,-,-,-
12,EV/EBIT Ratio,16.46,17.60,18.89,18.48,22.25,19.28,18.31,17.20,21.61,-,-,-,-,-
13,EV/FCF Ratio,-36.38,-38.89,-26.64,-,-,-,18.62,26.06,-,-,-,-,-,-
14,Debt / Equity Ratio,0.10,0.10,0.16,0.12,0.12,0.10,0.10,0.11,0.11,0.30,0.36,0.30,0.30,0.15
15,Debt / EBITDA Ratio,0.62,0.66,1.00,0.63,0.86,0.82,0.67,0.53,0.74,1.40,0.92,1.18,1.28,0.94
16,Debt / FCF Ratio,-,-1.98,-2.11,-,-,-,0.82,1.02,-,-218.71,-4.23,-,-,-
17,Asset Turnover,0.66,0.65,0.60,0.60,0.59,0.61,0.62,0.75,0.73,-,-,-,-,
18,Inventory Turnover,67.03,62.17,62.16,56.68,61.19,67.20,66.13,59.69,69.22,62.27,-,-,-,-
19,Quick Ratio,1.13,1.13,1.36,1.57,1.31,1.75,1.87,2.03,2.14,1.32,1.31,-,1.07,1.12
20,Current Ratio,1.23,1.23,1.53,1.74,1.46,1.84,1.96,2.11,2.26,1.41,1.38,-,1.15,1.18
21,Return on Equity (ROE),9.19%,7.84%,12.06%,8.49%,6.15%,11.33%,11.83%,11.03%,15.34%,28.35%,15.28%,-,-,
22,Return on Assets (ROA),4.78%,4.43%,6.69%,4.08%,3.86%,4.90%,7.68%,4.78%,6.73%,-,-,-,-,
23,Return on Capital (ROIC),6.12%,5.47%,8.37%,5.22%,4.88%,6.15%,9.49%,6.00%,8.59%,16.73%,10.11%,-,-,
24,Return on Capital Employed (ROCE),10.69%,10.69%,9.50%,9.51%,9.98%,10.33%,11.58%,14.43%,14.13%,16.89%,15.88%,-,6.71%,3.84%
25,Earnings Yield,4.75%,4.48%,4.10%,4.41%,3.47%,3.98%,4.30%,4.41%,3.79%,-,-,-,-,-
26,FCF Yield,-2.59%,-2.44%,-3.59%,-4.51%,-0.35%,2.11%,4.90%,3.60%,1.60%,-,-,-,-,-
27,Dividend Yield,1.38%,-,-,-,1.06%,-,-,-,1.17%,-,-,-,-,-
28,Payout Ratio,32.76%,4.87%,140.37%,3.00%,4.17%,5.50%,137.40%,3.34%,5.53%,6.13%,4.70%,7.61%,201.46%,204.39%
29,Buyback Yield / Dilution,-2.97%,-5.28%,0.78%,1.86%,-10.40%,-4.49%,-16.16%,-8.82%,7.90%,-8.27%,-,-,-,-
30,Total Shareholder Return,-1.59%,-5.28%,0.78%,1.86%,-9.35%,-4.49%,-16.16%,-8.82%,9.07%,-8.27%,-,-,-,-
