,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,6174,6793,7111,6492,7111,7579,7730,7529,8834,9052,11595,Upgrade
1,Market Cap Growth,-9.41%,4.64%,0%,-14.35%,-8.01%,0.67%,-12.50%,-16.82%,-23.81%,-15.20%,16.67%,Upgrade
2,Enterprise Value,26464,26553,26578,27162,26457,28145,30527,30621,31180,31401,19649,Upgrade
3,Last Close Price,3.69,3.93,3.97,3.49,3.73,3.85,3.60,3.37,3.89,3.99,4.90,Upgrade
4,PE Ratio,8.83,9.69,8.43,10.27,13.88,5.01,4.30,6.83,46.35,-,9.11,Upgrade
5,Forward PE,8.00,7.11,6.59,5.79,6.88,5.68,5.18,5.82,7.97,12.99,8.55,Upgrade
6,PS Ratio,1.15,1.35,1.38,1.56,1.76,1.73,1.62,1.50,2.30,2.90,3.09,Upgrade
7,PB Ratio,0.49,0.43,0.43,0.41,0.44,0.45,0.44,0.45,0.54,0.64,0.76,Upgrade
8,P/FCF Ratio,2.28,2.42,2.33,2.45,2.88,2.74,2.47,2.15,3.56,5.36,4.85,Upgrade
9,P/OCF Ratio,2.28,2.39,2.31,2.42,2.85,2.72,2.45,2.14,3.54,5.31,4.84,Upgrade
10,PEG Ratio,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,0.67,Upgrade
11,EV/Sales Ratio,4.95,5.28,5.15,6.54,6.55,6.41,6.40,6.12,8.13,10.05,5.24,Upgrade
12,EV/EBITDA Ratio,8.18,8.05,7.57,8.87,9.09,8.91,8.46,7.94,11.50,14.99,7.20,Upgrade
13,EV/EBIT Ratio,14.22,14.42,12.74,15.90,16.53,14.93,13.35,11.68,19.92,26.42,9.85,Upgrade
14,EV/FCF Ratio,8.98,9.47,8.71,10.24,10.71,10.18,9.76,8.73,12.57,18.59,8.22,Upgrade
15,Debt / Equity Ratio,1.14,1.15,1.15,1.15,1.25,1.15,1.15,1.29,1.30,1.43,1.35,Upgrade
16,Debt / FCF Ratio,6.58,6.55,6.17,6.81,8.12,6.93,6.56,6.11,8.49,12.03,8.59,Upgrade
17,Return on Capital Employed (ROCE),5.09%,5.78%,6.60%,5.83%,4.90%,5.73%,6.00%,6.65%,4.10%,3.28%,5.20%,Upgrade
18,Earnings Yield,11.32%,10.32%,11.86%,9.74%,7.20%,19.98%,23.26%,14.64%,2.16%,2.60%,10.98%,Upgrade
19,FCF Yield,43.92%,41.26%,42.92%,40.84%,34.76%,36.48%,40.46%,46.61%,28.08%,18.66%,20.62%,Upgrade
20,Dividend Yield,7.32%,6.72%,7.58%,6.97%,5.29%,12.72%,16.96%,5.94%,-,-,7.99%,Upgrade
21,Buyback Yield / Dilution,-0.01%,-,-,0.06%,0.08%,-0.06%,-0.08%,-,-,-,-,Upgrade
22,Total Shareholder Return,7.31%,6.72%,7.58%,7.04%,5.37%,12.65%,16.88%,5.94%,-,-,7.99%,Upgrade
