,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,96.16,106.13,98.22,109.15,115.03,100.06,89.8,117.25,120.03,98.66,88.99,105.79,85.11,81.91,78.13,76.5,76.5,64,64
1,Other Revenue,-1.62,1.62,-,3.38,-1.72,1.72,-,2.86,-1.36,1.36,-,3.16,-1.17,1.17,-,0.17,0.17,0.37,0.37
2,Revenue,94.54,107.76,98.22,112.53,113.3,101.78,89.8,120.12,118.67,100.02,88.99,108.95,83.94,83.08,78.13,76.67,76.67,64.38,64.38
3,Revenue Growth (YoY),-16.56%,5.87%,9.37%,-6.32%,-4.52%,1.76%,0.91%,10.25%,41.37%,20.39%,13.90%,42.10%,9.48%,29.05%,21.37%,-,-,-,-
4,Cost of Revenue,62.34,73.62,65.05,79.91,70.71,68.17,61.14,84.07,80.14,69.18,66.3,81.69,61.11,60.35,57.42,57.56,57.56,40.11,40.11
5,Gross Profit,32.2,34.14,33.16,32.61,42.59,33.61,28.67,36.05,38.53,30.84,22.69,27.26,22.83,22.73,20.71,19.12,19.12,24.27,24.27
6,"Selling, General & Admin",6.66,8.34,6.67,4.26,7.81,6.98,5.46,3.87,6.22,9.5,4.71,5.15,6.12,4.67,5.62,0.27,0.3,8.36,8.36
7,Research & Development,4.58,5.53,4.65,5.56,4.01,4.36,4.09,6.88,4.05,4.28,3.86,5.94,2.9,4.63,2.62,3.57,3.57,2.74,2.74
8,Other Operating Expenses,-4.21,2.41,-0.39,4.24,-0.96,0.48,0.12,14.6,0,-11.06,-0.11,2.47,-0.33,0.31,-0.37,3.71,-2.67,0.7,0.7
9,Operating Expenses,6.61,16.98,10.75,13.95,10.83,12.66,8.78,25.46,11.11,3.05,8.16,14.05,9.16,9.89,7.68,8.39,2.17,11.14,11.14
10,Operating Income,25.59,17.16,22.41,18.67,31.76,20.95,19.88,10.58,27.42,27.79,14.52,13.21,13.68,12.84,13.04,10.72,16.94,13.13,13.13
11,Interest Expense,-1.31,-1.7,-0.43,-1.1,-1.72,-0.59,-,-,-0.41,-0.22,-,-0.05,-0,-0,-,-0.02,-0.02,-,-
12,Interest & Investment Income,3.61,4.99,4.4,5.2,5.68,3.8,5.85,3.72,4.93,3.56,3.46,1.01,1.29,1.43,1.81,1.88,1.88,0.18,0.18
13,Currency Exchange Gain (Loss),-0.75,0.75,-,2.3,-2.02,2.02,-,3.32,-1.78,1.78,-,-1.09,0.44,-0.44,-,-1.48,-1.48,0.02,0.02
14,Other Non Operating Income (Expenses),0.09,-0.1,0.02,-2.12,2.06,0.86,-0.92,-2.71,2.69,-0.23,-0.1,0.51,-0.03,-0.68,0.06,0,-0.02,-0.11,-0.11
15,EBT Excluding Unusual Items,27.23,21.1,26.41,22.94,35.77,27.03,24.82,14.91,32.86,32.68,17.88,13.59,15.37,13.15,14.9,11.12,17.31,13.22,13.22
16,Gain (Loss) on Sale of Investments,7.52,-2.19,-5.16,-3.29,-0.26,0.69,-0.55,-0.46,-,-,-,-,-,-,-,-0.47,-0.47,0.47,0.47
17,Gain (Loss) on Sale of Assets,-0.01,-0.11,0,0.14,-0,-0.25,-0.05,-0.04,-0.01,-,0.05,-,-0.06,-0.02,-,-0.01,-0.01,0,0
18,Asset Writedown,-0.25,-0.16,0.16,1.25,-1.25,1.27,-1.27,0.29,-0.29,-0.12,0.12,0.08,-0.08,0.05,-0.05,-0.1,-0.1,-,-
19,Other Unusual Items,-1.85,1.86,-0.01,3.43,-,-,-,12.28,-,-,-,2.16,-,-,-,4.52,-1.67,1.68,1.68
20,Pretax Income,32.64,20.5,21.41,24.46,34.25,28.75,22.94,26.98,32.55,32.55,18.06,15.83,15.24,13.18,14.85,15.06,15.06,15.37,15.37
21,Income Tax Expense,3.73,2.36,2.54,3.37,3.73,3.68,2.79,2.03,4.55,3.41,2.11,1.37,1.75,0.72,2.23,1.8,1.8,2.16,2.16
22,Earnings From Continuing Operations,28.91,18.14,18.87,21.09,30.52,25.07,20.15,24.95,28,29.14,15.95,14.46,13.48,12.45,12.61,13.26,13.26,13.2,13.2
23,Minority Interest in Earnings,0.19,0.01,0.13,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Net Income,29.1,18.15,19,21.18,30.52,25.07,20.15,24.95,28,29.14,15.95,14.46,13.48,12.45,12.61,13.26,13.26,13.2,13.2
