,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,955.2,959.37,872.53,791,806.26,704.9,668.55,700.19,732.9,602.38,536.31,388.01,-,265.27,-,253.37,253.37,28.4,28.4
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,52,-,154,-,-,-,-,-,-,-
2,Trading Asset Securities,76.46,19.32,21.12,25.53,30,50,81.54,57,20,5,-,20,-,-,-,-,-,62.28,62.28
3,Cash & Short-Term Investments,1032,978.69,893.65,816.53,836.26,754.9,750.08,757.19,752.9,659.38,536.31,562.01,-,265.27,253.37,253.37,253.37,90.68,90.68
4,Cash Growth,23.37%,29.64%,19.14%,7.84%,11.07%,14.49%,39.86%,34.73%,-,148.57%,111.67%,121.82%,-,192.52%,179.40%,-,-,-,-
5,Accounts Receivable,141.25,128.13,145.63,128.74,123.01,123.12,103.33,128.05,222.4,127.24,122.36,123.67,-,114.34,-,120.96,120.96,42.5,42.5
6,Other Receivables,1.47,1.04,0.09,0.32,0.28,0.43,0.32,4.09,0.29,1.19,0.95,6.23,-,3.26,-,3.48,3.48,3.47,3.47
7,Receivables,142.72,129.16,145.72,129.07,123.3,123.54,103.66,132.14,222.69,128.43,123.31,129.89,-,117.6,-,124.44,124.44,45.97,45.97
8,Inventory,72.37,68.47,69.02,68.23,71.51,69.53,71.05,74.3,75.88,80.91,72.97,71.68,-,63.22,-,55.56,55.56,42.8,42.8
9,Other Current Assets,1.29,12.46,3.6,0.88,3.53,25.4,3,1.51,6.5,2.6,60.05,6.2,-,2.39,-,3.71,3.71,5.56,5.56
10,Total Current Assets,1248,1189,1112,1015,1035,973.38,927.79,965.14,1058,871.32,792.64,769.78,-,448.47,-,437.07,437.07,185.01,185.01
11,"Property, Plant & Equipment",99.54,93.41,94.53,97.95,101.17,103.21,103.7,105.7,84.69,82.42,80.57,81.27,-,78.5,-,72.14,72.14,98.58,98.58
12,Long-Term Investments,1.37,0.78,1.17,1.92,0.74,4.68,4.45,4.54,-,-,-,-,-,-,-,-,-,-,-
13,Other Intangible Assets,33.22,33.49,33.94,34.41,33.91,10.03,10.29,10.55,9.91,10.1,10.14,10.28,-,10.64,-,10.83,10.83,58.66,58.66
14,Long-Term Deferred Tax Assets,4.27,5.07,4.52,4.51,3.29,3.27,3.25,3.19,3.02,3.01,2.5,2.59,-,2.4,-,2.45,2.45,1.4,1.4
15,Long-Term Deferred Charges,0.46,0.56,0.32,0.39,0.45,0.36,0.22,0.26,0.15,0.33,0.37,0.4,-,-,-,0.02,0.02,1.51,1.51
16,Other Long-Term Assets,10.96,4.49,5.85,4.06,1.65,1.69,1.73,1.63,7.15,7.44,1.89,2.46,-,2.74,-,5.28,5.28,1.81,1.81
17,Total Assets,1398,1327,1252,1158,1176,1097,1051,1091,1163,974.63,888.11,866.78,-,542.76,-,527.79,527.79,346.97,346.97
18,Accounts Payable,164.63,138.7,114.01,126.29,131.03,136.94,126.53,159.42,182.71,123.62,68.34,61.4,-,56.76,-,67.68,65.35,48.43,48.43
19,Accrued Expenses,10.3,11.08,7.11,12.8,10.28,9.98,7.35,12.93,9.61,9.35,6.93,9.95,-,6.82,-,9.33,9.33,5.32,5.32
20,Short-Term Debt,165,150,111.33,15.74,71.82,20.51,-,23,96.71,-,-,-,-,-,-,-,-,0.15,0.15
21,Current Portion of Leases,-,0.34,-,-,0.18,0.37,0.37,0.36,0.34,0.34,0.37,0.37,-,-,-,-,-,-,-
22,Current Income Taxes Payable,4.23,2.12,4.79,4.75,5.64,1.24,3.65,1.97,8.96,4.92,2.79,1.57,-,0.16,-,1.64,1.64,0.69,0.69
23,Current Unearned Revenue,6.54,5.37,6.04,6.16,7.81,8.03,6.37,7.04,6.97,6.34,4.63,4.34,-,6.23,-,3.07,3.07,2.76,2.76
24,Other Current Liabilities,0.35,0.84,0.31,0.75,0.63,1.1,0.95,0.86,0.7,0.77,1.11,0.81,-,3.58,-,1.22,3.56,3.81,3.81
25,Total Current Liabilities,351.05,308.46,243.59,166.48,227.41,178.18,145.21,205.58,306.01,145.34,84.17,78.44,-,73.54,-,82.94,82.94,61.17,61.17
26,Long-Term Leases,0.89,0.54,-,-,-,-,-,-,0.2,0.19,0.34,0.33,-,-,-,-,-,-,-
27,Long-Term Unearned Revenue,13.69,14.07,13.64,14.21,9.94,9.91,10.39,9.76,9.82,10.24,7.73,8.05,-,7.07,-,7.62,7.62,1.89,1.89
