,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,3291,2205,1968,2181,2692,2757,2766,2330,2109,2094,2502,2393,3308,-,-,-,-,-,-,-
1,Market Cap Growth,-20.03%,-20.03%,-28.87%,-6.38%,27.63%,31.64%,10.55%,-2.64%,-36.25%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2442,1394,1203,1417,1927,2023,2017,1674,1453,1436,1967,2128,3043,-,-,-,-,-,-,-
3,Last Close Price,31.64,21.13,18.86,20.79,25.66,26.28,26.37,22.11,20.02,19.88,23.75,22.66,31.32,-,-,-,-,-,-,-
4,PE Ratio,37.65,25.22,22.15,22.77,27.77,27.38,28.18,22.78,21.51,23.92,34.26,42.47,62.40,-,-,-,-,-,-,-
5,PS Ratio,7.97,5.34,4.56,5.12,6.45,6.49,6.43,5.44,4.93,5.03,6.55,6.56,9.34,-,-,-,-,-,-,-
6,PB Ratio,3.26,2.15,1.97,2.20,2.77,2.95,3.06,2.62,2.42,2.48,3.06,3.01,4.25,-,-,-,-,-,-,-
7,P/TBV Ratio,2.26,2.26,2.08,2.32,2.92,3.06,3.10,2.65,2.45,2.51,3.10,3.05,4.31,-,-,-,-,-,-,-
8,P/FCF Ratio,32.50,21.78,17.72,-,35.38,26.29,-,14.15,11.99,-,21.66,43.80,102.64,-,-,-,-,-,-,-
9,P/OCF Ratio,16.85,16.85,14.99,21.18,22.62,20.18,24.48,12.71,10.88,-,19.77,39.03,77.62,-,-,-,-,-,-,-
10,EV/Sales Ratio,5.91,3.38,2.79,3.33,4.62,4.76,4.69,3.91,3.40,3.45,5.15,5.83,8.59,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,23.88,13.88,11.35,12.95,18.13,20.72,21.74,16.93,15.63,15.10,24.26,32.40,47.59,-,-,-,-,-,-,-
12,EV/EBIT Ratio,29.13,16.63,13.36,15.11,21.12,24.32,25.58,19.54,18.09,17.31,28.42,39.22,57.66,-,-,-,-,-,-,-
13,EV/FCF Ratio,24.12,13.77,10.83,-,25.33,19.29,-,10.17,8.26,-,17.02,38.94,94.41,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.16,0.16,0.15,0.11,0.02,0.08,0.02,0.00,0.03,0.12,0.00,0.00,0.00,-,-,-,-,-,0.00,0.00
15,Debt / EBITDA Ratio,1.62,1.40,1.74,1.05,0.17,0.51,0.21,0.00,0.41,0.80,0.00,0.01,0.01,-,-,-,-,-,0.00,0.00
16,Debt / FCF Ratio,1.64,1.64,1.36,-,0.21,0.69,-,0.00,0.13,-,0.00,0.01,0.02,-,-,-,-,-,-,-
17,Asset Turnover,0.28,0.33,0.33,0.39,0.40,0.38,0.34,0.43,0.44,0.43,0.41,-,-,-,-,0.58,0.70,0.74,-,
18,Inventory Turnover,3.90,3.54,4.28,3.79,4.57,4.01,3.88,3.36,4.48,4.09,3.60,3.67,-,-,-,-,4.14,4.68,3.75,-
19,Quick Ratio,3.35,3.35,3.59,4.27,5.68,4.22,4.93,5.88,4.33,3.19,5.42,7.84,8.82,-,5.21,-,4.55,4.55,2.23,2.23
20,Current Ratio,3.56,3.56,3.85,4.57,6.10,4.55,5.46,6.39,4.69,3.46,6.00,9.42,9.81,-,6.10,-,5.27,5.27,3.02,3.02
21,Return on Equity (ROE),11.41%,7.30%,7.69%,8.85%,13.29%,11.19%,9.16%,11.64%,13.48%,14.48%,8.12%,-,-,11.13%,11.61%,12.20%,14.88%,19.00%,-,
22,Return on Assets (ROA),4.70%,3.33%,4.65%,4.00%,6.99%,4.88%,4.64%,2.35%,6.41%,7.46%,4.14%,-,-,-,-,5.08%,9.68%,9.46%,-,
23,Return on Capital (ROIC),5.46%,3.81%,5.36%,4.68%,8.23%,5.77%,5.57%,2.88%,7.79%,8.62%,4.62%,-,-,7.18%,7.50%,6.17%,11.89%,11.80%,-,
