,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4787,4081,3323,3357,4445,4164,4225,3846,3384,3414,4100,4589,5218,5047,-,-,-,-,-,-
1,Market Cap Growth,-2.00%,-2.00%,-21.35%,-12.71%,31.35%,21.98%,3.05%,-16.18%,-35.15%,-32.36%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,4387,3708,2857,2499,3586,3349,3403,3147,2685,2787,3952,4240,4869,4787,-,-,-,-,-,-
3,Last Close Price,12.54,10.60,8.70,8.69,11.50,10.78,10.93,9.81,8.63,8.71,10.46,11.49,13.06,12.64,-,-,-,-,-,-
4,PE Ratio,22.40,19.02,17.27,19.11,27.26,27.78,27.91,25.33,21.18,19.47,23.14,25.31,28.86,25.74,-,-,-,-,-,-
5,Forward PE,-,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,20.16,18.98,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.31,3.65,3.09,3.31,4.64,4.64,4.94,4.80,4.26,4.23,5.15,5.17,5.84,5.32,-,-,-,-,-,-
7,PB Ratio,3.32,2.83,2.37,2.47,3.41,3.29,3.47,3.15,2.86,2.93,3.65,4.01,4.75,4.74,-,-,-,-,-,-
8,P/TBV Ratio,2.92,2.92,2.45,2.55,3.53,3.41,3.60,3.27,2.97,3.07,3.83,4.08,4.83,4.82,-,-,-,-,-,-
9,P/FCF Ratio,470.73,401.29,-,-,26.56,20.24,17.63,15.47,21.23,27.48,89.47,-,88.29,-,-,-,-,-,-,-
10,P/OCF Ratio,17.75,17.75,14.70,13.34,16.12,13.96,13.79,13.04,14.14,14.56,24.39,-,29.25,33.30,-,-,-,-,-,-
11,EV/Sales Ratio,3.93,3.32,2.65,2.46,3.74,3.73,3.98,3.93,3.38,3.45,4.96,4.78,5.45,5.04,-,-,-,-,-,-
12,EV/EBITDA Ratio,16.98,14.34,12.25,11.71,17.70,18.22,18.70,17.68,14.28,13.42,18.72,19.12,22.19,20.20,-,-,-,-,-,-
13,EV/EBIT Ratio,20.28,17.14,14.95,14.63,22.42,23.74,24.00,22.72,-,16.08,22.27,22.23,25.76,23.11,-,-,-,-,-,-
14,EV/FCF Ratio,431.36,364.57,-,-,21.43,16.27,14.20,12.66,16.84,22.43,86.24,-,82.38,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.08,0.08,0.05,0.03,0.01,-,-,-,-,-,-,-,-,-,-,0.02,0.02,-,-,0.02
16,Debt / EBITDA Ratio,0.44,0.34,0.20,0.15,0.08,-,-,-,-,-,-,-,-,-,-,0.04,0.05,-,-,0.06
17,Debt / FCF Ratio,11.09,11.09,-,-,0.05,-,-,-,-,-,-,-,-,-,-,-,0.09,-,-,0.41
18,Asset Turnover,0.54,0.64,0.58,0.48,0.58,0.61,0.55,0.40,0.54,0.54,0.56,0.46,0.63,-,-,-,-,-,-,
