,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,303.59,310.1,282.43,196.36,262.6,248.01,227.3,140.26,214.85,198.87,220.78,168.83,198.42,294.95,226.77,225.75,189.64,179.55,179.55
1,Other Revenue,-12.8,12.8,-,24.32,-11.99,11.99,-,20.12,-7.29,7.29,-,4.26,-1.7,1.7,-,3.14,-1.55,0.77,0.77
2,Revenue,290.79,322.9,282.43,220.68,250.61,260,227.3,160.38,207.56,206.17,220.78,173.09,196.72,296.65,226.77,228.89,188.1,180.32,180.32
3,Revenue Growth (YoY),16.03%,24.19%,24.26%,37.60%,20.74%,26.11%,2.95%,-7.34%,5.51%,-30.50%,-2.64%,-24.38%,4.59%,64.51%,25.76%,-,-,-,-
4,Cost of Revenue,194.78,217.91,193.28,162.66,170.67,183.38,157.55,124.12,137.2,137.38,145.54,128.76,123.57,199.26,151.19,154.77,129.74,129.55,129.55
5,Gross Profit,96.01,104.99,89.15,58.02,79.94,76.62,69.75,36.26,70.36,68.79,75.24,44.34,73.15,97.39,75.58,74.12,58.36,50.78,50.78
6,"Selling, General & Admin",16.48,18.99,19.24,21.26,18.43,16.53,15.13,16.15,12.99,12.32,15.63,20.65,15.65,20.04,10.5,12.73,10.89,11.04,11.04
7,Research & Development,12.3,12.1,14.97,17.64,16.13,9.19,11.83,7.84,10.93,11.99,9.3,10.12,7.29,11.08,10.9,10.35,8.92,7.41,7.41
8,Other Operating Expenses,-6.29,0.47,-1.58,3.6,-2.36,-2.55,-1.23,14.97,-1.37,-5.34,-5.44,-5.81,-1.15,1.6,-0.27,12.72,-3.36,-2.24,-2.24
9,Operating Expenses,23.15,31.64,36.91,40.14,32.35,23.56,28.36,37.26,22.04,19,21.29,23.07,20.73,34.33,23.31,34.7,15.99,17.17,17.17
10,Operating Income,72.86,73.35,52.25,17.88,47.59,53.07,41.38,-1,48.32,49.79,53.96,21.27,52.43,63.06,52.26,39.43,42.36,33.6,33.6
11,Interest Expense,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-0,-0.1,-0.1,-0.1,-0.1
12,Interest & Investment Income,4.34,7.19,4.32,12.39,4.43,2.67,1.94,12.47,1.61,1,0.45,4.94,1.18,1.29,1.47,1.31,1.3,1.28,1.28
13,Currency Exchange Gain (Loss),-0.3,0.3,-,-0.09,-0.55,0.55,-,0.02,-0.45,0.45,-,-1.27,0.67,-0.67,-,-0.37,-0.08,0.04,0.04
14,Other Non Operating Income (Expenses),-0.72,-0.2,0.01,-0.52,0.21,0.49,-0.53,-0.95,0.83,0.17,-0.26,-1.85,1.94,-0.7,0.3,0.43,0.11,-0.38,-0.38
15,EBT Excluding Unusual Items,76.18,80.64,56.57,29.67,51.68,56.78,42.79,10.54,50.32,51.41,54.14,23.08,56.22,62.98,54.03,40.69,43.59,34.44,34.44
16,Gain (Loss) on Sale of Investments,1.17,-1.04,2.21,-1.45,-1.73,1.03,2.16,-9.56,2.16,7.4,-,-,-,-,-,-,0.01,-0.01,-0.01
17,Gain (Loss) on Sale of Assets,-,-0.05,-0.05,-1.41,-0,-,-,-,-0,-,-,0.01,0.02,-,-,-,-0,-,-
18,Asset Writedown,-4.2,1.48,-1.48,4.27,-4.27,1.47,-1.47,4.11,-4.24,1.1,-1.1,5.3,-5.3,1.74,-1.77,2.67,-2.78,-,-
19,Other Unusual Items,-2.42,-1.15,2,4.17,0.3,-0.3,-,15.24,-0.34,0.34,-,10.01,-0.26,0.26,-,13.12,-0.24,0.12,0.12
20,Pretax Income,70.73,79.88,59.25,35.24,45.98,58.98,43.48,20.34,47.89,60.25,53.04,38.39,50.68,64.99,52.26,56.48,40.59,34.55,34.55
21,Income Tax Expense,7.7,10.98,8.12,3.69,5.16,6.78,5.01,1.93,5.61,7.58,6.62,4.41,6.61,8.17,6.34,7.24,5.71,4.16,4.16
22,Net Income,63.03,68.9,51.13,31.55,40.82,52.2,38.47,18.41,42.28,52.67,46.43,33.99,44.07,56.82,45.92,49.24,34.88,30.39,30.39
23,Net Income to Common,63.03,68.9,51.13,31.55,40.82,52.2,38.47,18.41,42.28,52.67,46.43,33.99,44.07,56.82,45.92,49.24,34.88,30.39,30.39
24,Net Income Growth,54.40%,32.00%,32.93%,71.43%,-3.45%,-0.89%,-17.14%,-45.84%,-4.05%,-7.30%,1.10%,-30.98%,26.36%,86.96%,51.09%,-,-,-,-
25,Shares Outstanding (Basic),394,357,393,390,372,371,385,375,384,375,387,374,347,284,287,292,265,289,289
26,Shares Outstanding (Diluted),394,357,393,390,372,371,385,375,384,375,387,374,347,284,287,292,265,289,289
27,Shares Change (YoY),6.04%,-3.77%,2.26%,3.78%,-3.26%,-1.20%,-0.57%,0.43%,10.75%,32.29%,34.81%,27.84%,30.78%,-1.96%,-0.84%,-,-,-,-
28,EPS (Basic),0.16,0.19,0.13,0.08,0.11,0.14,0.10,0.05,0.11,0.14,0.12,0.09,0.13,0.20,0.16,0.17,0.13,0.10,0.10
29,EPS (Diluted),0.16,0.19,0.13,0.08,0.11,0.14,0.10,0.05,0.11,0.14,0.12,0.09,0.13,0.20,0.16,0.17,0.13,0.10,0.10
30,EPS Growth,45.60%,37.18%,30.00%,65.19%,-0.19%,0.31%,-16.67%,-46.07%,-13.36%,-29.93%,-25.00%,-46.01%,-3.38%,90.69%,52.38%,-,-,-,-
31,Free Cash Flow,26.25,-32.48,-35.78,52.18,41.63,44.88,28.65,90.63,75.46,53.79,-60.48,55.47,-2.96,37.05,-30.47,44.44,9.25,21.85,21.85
32,Free Cash Flow Per Share,0.07,-0.09,-0.09,0.13,0.11,0.12,0.07,0.24,0.20,0.14,-0.16,0.15,-0.01,0.13,-0.11,0.15,0.03,0.08,0.08
33,Dividend Per Share,-,0.100,-,0.100,-,-,-,0.150,-,-,-,0.200,-,0.160,-,0.160,-,-,-
34,Dividend Growth,-,-,-,-33.33%,-,-,-,-25.00%,-,-,-,25.00%,-,-,-,-,-,-,-
35,Gross Margin,33.02%,32.51%,31.57%,26.29%,31.90%,29.47%,30.69%,22.61%,33.90%,33.37%,34.08%,25.61%,37.19%,32.83%,33.33%,32.38%,31.02%,28.16%,28.16%
36,Operating Margin,25.06%,22.72%,18.50%,8.10%,18.99%,20.41%,18.21%,-0.62%,23.28%,24.15%,24.44%,12.29%,26.65%,21.26%,23.05%,17.22%,22.52%,18.63%,18.63%
37,Profit Margin,21.68%,21.34%,18.11%,14.30%,16.29%,20.08%,16.92%,11.48%,20.37%,25.55%,21.03%,19.63%,22.40%,19.15%,20.25%,21.51%,18.54%,16.85%,16.85%
38,Free Cash Flow Margin,9.03%,-10.06%,-12.67%,23.65%,16.61%,17.26%,12.60%,56.51%,36.36%,26.09%,-27.40%,32.05%,-1.50%,12.49%,-13.44%,19.41%,4.92%,12.11%,12.11%
39,EBITDA,83.4,83.87,62.79,28.43,58.17,64.08,51.96,9.58,56.3,60.13,61.93,29.25,59.8,70.73,59.64,46.8,49.68,40.91,40.91
