,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,3109,2246,1154,1113,1217,2038,2173,2516,1300,1144,2288,Upgrade
1,Market Cap Growth,101.87%,101.87%,-5.13%,-45.41%,-44.02%,-19.01%,67.20%,120.00%,-43.18%,-59.26%,11.68%,Upgrade
2,Enterprise Value,3801,3069,2195,2352,2526,3399,3410,3876,2928,2924,3931,Upgrade
3,Last Close Price,2.99,2.04,1.00,0.88,0.96,1.44,1.54,1.71,0.86,0.76,1.44,Upgrade
4,PE Ratio,6.40,4.62,3.33,4.13,4.07,5.16,5.41,7.24,5.04,4.31,7.61,Upgrade
5,Forward PE,5.49,4.72,3.30,2.54,2.53,4.15,5.26,6.94,4.13,4.02,6.00,Upgrade
6,PS Ratio,0.66,0.48,0.27,0.27,0.27,0.41,0.45,0.60,0.37,0.33,0.63,Upgrade
7,PB Ratio,0.94,0.66,0.35,0.36,0.39,0.62,0.64,0.80,0.43,0.44,0.87,Upgrade
8,P/TBV Ratio,0.68,0.68,0.36,0.37,0.40,0.65,0.66,0.82,0.44,0.46,0.90,Upgrade
9,P/FCF Ratio,5.08,3.67,1.59,1.85,2.99,9.97,7.29,5.30,2.52,9.13,-,Upgrade
10,P/OCF Ratio,2.44,2.44,1.15,1.26,1.57,3.76,4.16,3.48,1.72,2.21,5.61,Upgrade
11,PEG Ratio,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.37,Upgrade
12,EV/Sales Ratio,0.81,0.66,0.52,0.57,0.56,0.68,0.71,0.93,0.84,0.85,1.08,Upgrade
13,EV/EBITDA Ratio,3.33,2.83,2.89,4.05,4.15,4.46,4.28,5.27,4.48,5.71,6.11,Upgrade
14,EV/EBIT Ratio,6.25,5.08,5.08,8.79,8.96,7.88,7.38,9.05,8.47,8.58,10.32,Upgrade
15,EV/FCF Ratio,6.21,5.01,3.03,3.92,6.20,16.63,11.44,8.17,5.69,23.34,-,Upgrade
16,Debt / Equity Ratio,0.39,0.39,0.50,0.61,0.71,0.70,0.69,0.77,0.79,0.90,0.88,Upgrade
17,Debt / FCF Ratio,2.19,2.19,2.28,3.14,5.47,11.16,7.82,5.12,4.61,18.58,-,Upgrade
18,Return on Capital Employed (ROCE),14.43%,14.43%,11.13%,7.43%,8.36%,11.20%,11.01%,10.36%,8.42%,9.74%,11.62%,Upgrade
19,Earnings Yield,15.62%,21.62%,30.06%,24.22%,24.59%,19.38%,18.49%,13.81%,19.83%,23.19%,13.15%,Upgrade
20,FCF Yield,19.69%,27.26%,62.75%,53.96%,33.50%,10.03%,13.72%,18.86%,39.62%,10.95%,-4.68%,Upgrade
21,Dividend Yield,8.92%,12.10%,16.74%,10.84%,11.98%,13.25%,12.57%,4.39%,-,-,-,Upgrade
22,Buyback Yield / Dilution,-,-,-,-,-,-,-,0.00%,0.00%,-0.09%,Upgrade,
23,Total Shareholder Return,8.92%,12.10%,16.74%,10.84%,11.98%,13.25%,12.57%,4.39%,0.00%,0.00%,-0.09%,Upgrade
