,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,756.81,927.84,920.34,1051,890.53,898.87,1272,1093,783.17,576.77,Upgrade
1,Short-Term Investments,-,-,-,36.95,195.32,163.81,-,8.34,1.26,19.01,Upgrade
2,Cash & Short-Term Investments,756.81,927.84,920.34,1088,1086,1063,1272,1101,784.43,595.78,Upgrade
3,Cash Growth,-17.77%,-14.73%,-15.24%,2.39%,-14.65%,-3.50%,62.18%,84.83%,37.08%,26.19%,Upgrade
4,Accounts Receivable,785.99,737.67,590.19,654.75,610,849.43,739.5,807.9,541.01,754.49,Upgrade
5,Other Receivables,121.19,80.51,113.5,67.13,146.56,83.19,89.86,84.74,77.76,77.98,Upgrade
6,Receivables,907.18,818.18,703.69,721.88,756.56,932.62,829.36,892.64,618.77,832.47,Upgrade
7,Inventory,1051,1009,941.86,1136,1357,1457,1175,922.3,908.99,1065,Upgrade
8,Other Current Assets,74.66,126.19,69.97,133.28,84.47,171.4,82.63,102.5,26.25,103,Upgrade
9,Total Current Assets,2789,2881,2636,3079,3284,3623,3359,3019,2338,2596,Upgrade
10,"Property, Plant & Equipment",2890,3015,3016,3106,3203,3276,3202,3242,3156,3141,Upgrade
11,Long-Term Investments,39.56,37.93,39.57,39.42,39.29,38.67,36.75,34.75,32.46,31.41,Upgrade
12,Long-Term Deferred Tax Assets,5.43,7.64,10.31,9.07,16.26,5.58,4.65,5.39,15.22,8.82,Upgrade
13,Other Long-Term Assets,98.36,41.92,54.88,39.41,49.33,58.35,28.05,25.67,18.93,87.88,Upgrade
14,Total Assets,5822,5983,5756,6273,6592,7002,6631,6327,5561,5865,Upgrade
15,Accounts Payable,565.19,626.72,444.35,529.14,529.65,814.23,586.5,566.3,316.31,632.88,Upgrade
16,Accrued Expenses,-,202.07,-,180.17,-,205.08,-,133.54,-,106.92,Upgrade
17,Short-Term Debt,327.59,1018,1065,1528,1330,1326,1270,1235,1394,1278,Upgrade
18,Current Portion of Long-Term Debt,241.32,61.74,310.39,465.18,361.53,186.01,198.56,78.63,31.09,366.77,Upgrade
19,Current Portion of Leases,26.5,42.59,47.6,38.18,43.57,42.74,17.22,13.49,14.25,10.47,Upgrade
20,Current Income Taxes Payable,8.07,13.2,10.63,10.19,62.01,46.75,29.98,15.35,0.81,22.71,Upgrade
21,Current Unearned Revenue,34,31.41,38.23,41.05,26.38,34.86,33,33.27,25.9,40.96,Upgrade
22,Other Current Liabilities,429.36,107.12,239.09,109.54,385.1,153.08,361.1,148.85,280.01,130.34,Upgrade
23,Total Current Liabilities,1632,2103,2156,2901,2739,2808,2497,2224,2062,2589,Upgrade
24,Long-Term Debt,656.55,435.19,367.72,105.52,435.13,648.79,865.12,972.95,806.92,574.2,Upgrade
25,Long-Term Leases,90.05,91.99,92.15,93.37,111.11,128.97,80.53,76.65,82.48,62.93,Upgrade
26,Long-Term Unearned Revenue,12.41,12.17,12.9,14.29,13.37,15.39,16.59,16.34,7.59,3.86,Upgrade
27,Long-Term Deferred Tax Liabilities,10.73,11.42,10.5,9.74,10.15,9.7,6.57,5.76,8.89,11.42,Upgrade
28,Other Long-Term Liabilities,5.05,5.18,2.06,2.16,7.43,7.59,3.56,3.56,3.53,1.4,Upgrade
29,Total Liabilities,2415,2668,2649,3134,3326,3629,3478,3309,2979,3250,Upgrade
30,Common Stock,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,10.4,Upgrade
31,Additional Paid-In Capital,593.25,593.25,593.25,593.25,593.25,593.25,593.25,593.25,593.25,593.25,Upgrade
32,Retained Earnings,3008,2849,2114,2601,2546,2500,2352,2253,2081,2056,Upgrade
33,Comprehensive Income & Other,-311.51,-238.28,312.27,-164.46,3.05,177.59,120.42,77.3,-187.01,-127.65,Upgrade
34,Total Common Equity,3300,3214,3029,3040,3153,3281,3076,2934,2498,2532,Upgrade
35,Minority Interest,107.03,101.22,78.3,98.23,113.07,91.79,77.34,83.88,84.51,83.18,Upgrade
36,Shareholders' Equity,3407,3316,3108,3138,3266,3373,3153,3018,2582,2615,Upgrade
37,Total Liabilities & Equity,5822,5983,5756,6273,6592,7002,6631,6327,5561,5865,Upgrade
38,Total Debt,1342,1649,1883,2230,2282,2332,2432,2377,2328,2293,Upgrade
39,Net Cash (Debt),-585.21,-721.32,-962.89,-1142,-1196,-1269,-1160,-1275,-1544,-1697,Upgrade
40,Net Cash Per Share,-0.56,-0.69,-0.93,-1.10,-1.15,-1.22,-1.12,-1.23,-1.48,-1.63,Upgrade
41,Filing Date Shares Outstanding,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,Upgrade
42,Total Common Shares Outstanding,1040,1040,1040,1040,1040,1040,1040,1040,1040,1040,Upgrade
43,Working Capital,1157,778.31,480.21,178.11,545.49,815.15,862.48,794.28,276.44,6.99,Upgrade
44,Book Value Per Share,3.17,3.09,2.91,2.92,3.03,3.16,2.96,2.82,2.40,2.43,Upgrade
45,Tangible Book Value,3300,3214,3029,3040,3153,3281,3076,2934,2498,2532,Upgrade
46,Tangible Book Value Per Share,3.17,3.09,2.91,2.92,3.03,3.16,2.96,2.82,2.40,2.43,Upgrade
47,Buildings,-,1587,-,1411,-,1452,-,1236,-,1122,Upgrade
48,Machinery,-,3438,-,3267,-,3409,-,3270,-,2712,Upgrade
49,Construction In Progress,-,109.45,-,287.41,-,57.39,-,98.9,-,307.65,Upgrade
