,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,8720686,6776355,5392613,4060258,6560161,5030598,4454425,4791727,6880984,5023041,5188682,4217792,5460800,1668083,3523361,3536628,5930552,3900572,3107026,3145733,Upgrade
1,Revenue Growth (YoY),32.93%,34.70%,21.06%,-15.27%,-4.66%,0.15%,-14.15%,13.61%,26.01%,201.13%,47.27%,19.26%,-7.92%,-57.23%,13.40%,12.43%,14.20%,-13.25%,-28.77%,-25.36%,Upgrade
2,Cost of Revenue,8135248,6322904,4997859,3729343,6153891,4676331,4109040,4469188,6384082,4583484,4750149,3890328,5101974,1607693,3302482,3266487,5600231,3674360,2941048,2945064,Upgrade
3,Gross Profit,585438,453451,394754,330916,406270,354268,345385,322539,496902,439556,438533,327464,358826,60389,220880,270141,330321,226213,165978,200669,Upgrade
4,"Selling, General & Admin",493634,394878,361760,313458,387940,295917,282972,291970,360169,301820,288791,249040,252544,105544,184344,189791,233897,185478,157425,208210,Upgrade
5,Operating Expenses,493634,394878,361760,313458,387940,295917,282972,291970,360169,301820,288791,249040,252544,105544,184344,189791,233897,185478,157425,208210,Upgrade
6,Operating Income,91804,58573,32994,17457,18330,58351,62413,30569,136733,137737,149742,78424,106282,-45155,36535,80350,96424,40735,8553,-7541,Upgrade
7,Interest Expense,-55840,-48449,-52307,-34952,-46356,-49150,-49521,-46703,-46169,-19482,-18034,-18388,-23738,-22545,-20080,-16976,-23994,-22903,-27790,-32268,Upgrade
8,Interest & Investment Income,3222,2509,3607,4224,9969,2420,5451,4934,-,6057,18824,822.85,613.37,3040,4311,2440,2.21,3749,2309,5919,Upgrade
9,Earnings From Equity Investments,13534,10270,21453,1363,12330,-17724,3060,6260,57717,37528,44842,32631,48916,372.8,27685,26898,44364,19841,8394,7309,Upgrade
10,Currency Exchange Gain (Loss),-,-,-717.15,-,-591.76,-,-,-,-,-,-,-,-,-,-,-,-,-,9.47,-9.47,Upgrade
11,Other Non Operating Income (Expenses),41668,15384,20211,21409,13381,13112,-22231,29215,41268,25983,-3880,17884,-3647,9943,11922,19593,34644,33447,25505,38393,Upgrade
12,EBT Excluding Unusual Items,94388,38288,25241,9500,7063,7009,-827.18,24275,189549,187823,191495,111374,128426,-54344,60373,112304,151441,74870,16981,11803,Upgrade
13,Gain (Loss) on Sale of Investments,-1684,-,59530,-,105.91,-,196.51,-,6862,-,-,-,-1892,-,-,-,-42.34,-224.6,360.78,-360.78,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,5178,-,6089,-,4963,-,5245,920.27,-1554,633.68,6543,-,-885.67,885.67,2929,-,-,-,Upgrade
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,672.8,-,-,-,Upgrade
16,Pretax Income,92704,38288,89950,9500,13258,7009,4332,24275,201656,188743,189941,112008,133077,-54344,59487,113190,155000,74645,17342,11442,Upgrade
17,Income Tax Expense,27170,12855,3615,1248,2291,-1603,-5842,9595,33327,28547,27647,16783,12280,-3659,6986,24474,21087,7817,2020,2623,Upgrade
18,Earnings From Continuing Operations,65534,25433,86335,8252,10967,8612,10173,14679,168329,160196,162293,95225,120796,-50685,52501,88716,133913,66828,15322,8820,Upgrade
19,Minority Interest in Earnings,-43257,-19250,-54407,5478,6189,-5768,-4556,-11679,-81536,-61755,-69968,-40069,-43530,20916,-15171,-27920,-46922,-21778,-3645,1200,Upgrade
20,Net Income,22277,6184,31927,13730,17156,2844,5618,3000,86793,98441,92325,55156,77266,-29769,37330,60796,86991,45050,11677,10020,Upgrade
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,6488,-,-,-,17293,-,-,-,4223,-,-,-,Upgrade
22,Net Income to Common,22277,6184,31927,13730,17156,2844,5618,3000,80305,98441,92325,55156,59973,-29769,37330,60796,82767,45050,11677,10020,Upgrade
23,Net Income Growth,29.85%,117.43%,468.35%,357.67%,-80.23%,-97.11%,-93.92%,-94.56%,12.33%,-,147.32%,-9.28%,-11.18%,-,219.68%,506.75%,75.62%,26.95%,-42.87%,-79.21%,Upgrade
24,Shares Outstanding (Basic),67,66,67,67,82,63,51,67,67,67,67,67,73,67,103,69,68,67,63,93,Upgrade
25,Shares Outstanding (Diluted),67,66,67,67,82,63,51,67,67,67,67,67,73,67,103,69,68,67,63,93,Upgrade
26,Shares Change (YoY),-18.37%,5.21%,29.55%,-0.02%,22.52%,-5.15%,-22.72%,0.08%,-8.24%,0.16%,-35.24%,-3.36%,6.93%,-0.22%,63.85%,-26.02%,-16.93%,-0.67%,-8.81%,18.65%,Upgrade
27,EPS (Basic),334.39,93.00,478.70,206.00,210.20,45.00,109.12,45.00,1205.51,1477.50,1385.95,828.00,826.12,-447.50,362.91,882.00,1219.14,675.75,186.00,107.54,Upgrade
28,EPS (Diluted),334.39,93.00,478.70,206.00,210.20,45.00,109.12,45.00,1205.51,1477.50,1385.95,828.00,826.12,-447.50,362.91,882.00,1219.14,675.75,186.00,107.54,Upgrade
29,EPS Growth,59.08%,106.67%,338.71%,357.78%,-82.56%,-96.95%,-92.13%,-94.57%,45.92%,-,281.90%,-6.12%,-32.24%,-,95.11%,720.16%,191.74%,27.80%,-37.35%,-82.48%,Upgrade
30,Free Cash Flow,-,233777,-482060,-322797,131711,629603,-187979,-594933,-453931,-376064,77298,464590,471933,-363303,-139941,-213261,332551,113402,289467,102680,Upgrade
31,Free Cash Flow Per Share,-,3515.99,-7227.70,-4843.15,1613.76,9962.32,-3651.29,-8924.02,-6814.26,-5644.34,1160.36,6974.42,6500.84,-5461.37,-1360.45,-3093.92,4898.38,1701.04,4610.77,1102.03,Upgrade
32,Dividend Per Share,-,-,-,-,500.000,-,-,-,500.000,-,-,-,500.000,-,-,-,500.000,-,-,-,Upgrade
33,Dividend Growth,-,-,-,-,0%,-,-,-,0%,-,-,-,0%,-,-,-,33.33%,-,-,-,Upgrade
34,Gross Margin,6.71%,6.69%,7.32%,8.15%,6.19%,7.04%,7.75%,6.73%,7.22%,8.75%,8.45%,7.76%,6.57%,3.62%,6.27%,7.64%,5.57%,5.80%,5.34%,6.38%,Upgrade
35,Operating Margin,1.05%,0.86%,0.61%,0.43%,0.28%,1.16%,1.40%,0.64%,1.99%,2.74%,2.89%,1.86%,1.95%,-2.71%,1.04%,2.27%,1.63%,1.04%,0.28%,-0.24%,Upgrade
36,Profit Margin,0.26%,0.09%,0.59%,0.34%,0.26%,0.06%,0.13%,0.06%,1.17%,1.96%,1.78%,1.31%,1.10%,-1.78%,1.06%,1.72%,1.40%,1.15%,0.38%,0.32%,Upgrade
37,Free Cash Flow Margin,-,3.45%,-8.94%,-7.95%,2.01%,12.52%,-4.22%,-12.42%,-6.60%,-7.49%,1.49%,11.01%,8.64%,-21.78%,-3.97%,-6.03%,5.61%,2.91%,9.32%,3.26%,Upgrade
38,EBITDA,132281,99051,82655,48465,61474,92525,96256,63773,159021,168636,186462,101510,129368,-21934,59713,103689,118695,62873,30754,14765,Upgrade
39,EBITDA Margin,1.52%,1.46%,1.53%,1.19%,0.94%,1.84%,2.16%,1.33%,2.31%,3.36%,3.59%,2.41%,2.37%,-1.31%,1.69%,2.93%,2.00%,1.61%,0.99%,0.47%,Upgrade
40,D&A For EBITDA,40477,40477,49661,31008,43144,34174,33843,33204,22288,30899,36720,23086,23086,23221,23177,23340,22271,22138,22201,22306,Upgrade
41,EBIT,91804,58573,32994,17457,18330,58351,62413,30569,136733,137737,149742,78424,106282,-45155,36535,80350,96424,40735,8553,-7541,Upgrade
42,EBIT Margin,1.05%,0.86%,0.61%,0.43%,0.28%,1.16%,1.40%,0.64%,1.99%,2.74%,2.89%,1.86%,1.95%,-2.71%,1.04%,2.27%,1.63%,1.04%,0.28%,-0.24%,Upgrade
43,Effective Tax Rate,29.31%,33.57%,4.02%,13.14%,17.28%,-,-,39.53%,16.53%,15.12%,14.56%,14.98%,9.23%,-,11.74%,21.62%,13.60%,10.47%,11.65%,22.92%,Upgrade
44,Revenue as Reported,8720686,6776355,5392613,4060258,6560161,5030598,4454425,4791727,6880984,5023041,5188682,4217792,5460800,1668083,3523361,3536628,5930552,3900572,3107026,3145733,Upgrade
