,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,869943,422552,355905,315022,442864,289685,216986,265243,524075,565421,307336,384575,282020,126160,196662,281571,538314,292180,317420,-,Upgrade
1,Short-Term Investments,188751,111596,120893,109905,141471,117330,70833,94396,102493,132247,65760,48379,28357,35337,59837,39137,30065,18775,20646,-,Upgrade
2,Trading Asset Securities,11105,12789,12789,12519,12519,12230,12230,12034,12034,21040,20050,24597,24597,20987,18512,21924,21924,22012,22012,-,Upgrade
3,Cash & Short-Term Investments,1069799,546937,489586,437445,596854,419245,300048,371672,638602,718709,393147,457551,334974,182484,275011,342633,590303,332967,360078,369499,Upgrade
4,Cash Growth,79.24%,30.46%,63.17%,17.70%,-6.54%,-41.67%,-23.68%,-18.77%,90.64%,293.85%,42.96%,33.54%,-43.25%,-45.19%,-23.62%,-7.27%,59.76%,21.50%,22.50%,22.40%,Upgrade
5,Accounts Receivable,891650,891020,634737,563882,760014,606546,550681,537009,572046,571470,378250,401009,511530,361670,285293,363782,415010,403347,430894,-,Upgrade
6,Other Receivables,1189507,1172266,951117,910360,819771,501777,170494,209989,81185,206200,59036,192216,67611,125879,114969,136295,43883,155387,34887,-,Upgrade
7,Receivables,2095657,2070786,1593354,1507743,1587285,1120823,733675,749498,655731,780169,439786,595725,586641,491549,410362,514977,476793,568634,471181,-,Upgrade
8,Inventory,1611932,1650326,1705671,1407953,1275346,1692569,2150257,2089173,1801407,1076038,711000,908011,995108,1500385,1231175,1001800,722610,973406,1013255,-,Upgrade
9,Prepaid Expenses,25869,34191,35607,41076,32877,32391,30002,22065,15886,19974,21090,21366,8750,10336,13494,13975,12314,21956,27571,-,Upgrade
10,Other Current Assets,623854,618492,726744,514446,476136,381566,449868,298205,353681,195602,327722,168963,177948,136465,108966,92810,185514,92038,208415,-,Upgrade
11,Total Current Assets,5427111,4920733,4550963,3908662,3968497,3646595,3663851,3530613,3465307,2790492,1892745,2151616,2103421,2321219,2039008,1966195,1987534,1989000,2080500,-,Upgrade
12,"Property, Plant & Equipment",1368450,1273733,1291134,1263449,1240809,1277176,1208217,1151242,1113453,986382,938178,891305,783725,792151,802150,808199,813378,775422,778283,-,Upgrade
13,Long-Term Investments,437178,558037,562245,524862,535149,487063,504487,507373,511595,522357,537170,529745,563113,651950,655983,627597,484238,564173,544607,-,Upgrade
14,Goodwill,131901,131659,135540,138102,139176,143604,39488,40561,41635,20633,-,-,-,-,-,-,-,-,-,-,Upgrade
15,Other Intangible Assets,183645,100318,101072,95473,96029,79885,80141,80408,80559,79815,79059,79058,79214,79275,79828,80020,71979,72196,72213,-,Upgrade
16,Long-Term Accounts Receivable,-,-,-,-,-,-,-,-,-,-,-,-,10925,-,-,8846,8897,-,-,-,Upgrade
17,Long-Term Deferred Tax Assets,36076,42764,42976,42694,35729,23848,15719,2164,2164,5025,5025,5025,5025,4739,4043,4739,4739,6164,7455,-,Upgrade
18,Other Long-Term Assets,1380618,1293398,1253620,1223255,1158474,958771,930822,943310,932013,918837,892129,882481,883587,753208,752175,762575,889816,766391,773325,-,Upgrade
19,Total Assets,8964980,8320644,7937550,7196498,7173863,6616943,6442726,6255672,6146725,5323541,4344305,4539230,4429010,4602543,4333188,4258172,4260582,4173347,4256383,-,Upgrade
20,Accounts Payable,522260,502489,334709,388833,358359,389547,304637,348439,304407,203541,157906,180138,201192,210822,180640,258860,162649,187320,214674,-,Upgrade
21,Accrued Expenses,307067,187868,162699,116683,245288,164636,141003,136845,309047,238367,188299,146567,192065,121757,126567,117346,206435,140340,124283,-,Upgrade
22,Short-Term Debt,2723351,2517371,2184971,1932885,1916866,2042309,2426566,2271059,1944359,1389281,669285,1060141,1108826,1482994,1180198,1082308,1088248,1079568,1181633,-,Upgrade
23,Current Portion of Long-Term Debt,80737,70916,65744,56915,64497,43178,61640,24613,29773,6242,10443,10034,12125,8644,12645,8259,22094,10732,30139,-,Upgrade
24,Current Income Taxes Payable,30846,21687,15664,6611,21116,10685,11001,12291,29635,31877,29214,14341,9476,17748,22386,22644,13484,9643,6676,-,Upgrade
25,Current Unearned Revenue,32105,30880,33522,26190,31297,10683,167057,16181,15820,4440,45645,10015,43032,32091,10011,5227,34913,58201,63031,-,Upgrade
26,Other Current Liabilities,304714,258808,305934,151950,241155,396385,118850,535833,599080,685698,646916,658840,581846,550060,559083,510262,538608,580135,559216,-,Upgrade
27,Total Current Liabilities,4001079,3590020,3103241,2680067,2878578,3057423,3230754,3345262,3232120,2559446,1747708,2080075,2148562,2424116,2091530,2004907,2066430,2065940,2179652,-,Upgrade
28,Long-Term Debt,1277432,1086024,925847,695924,724269,610338,297007,296312,277926,304533,281677,285215,241400,237131,232491,270201,279144,302815,302535,-,Upgrade
29,Long-Term Unearned Revenue,41754,44551,49907,49124,53352,52144,52614,68622,67801,59152,58067,59944,60879,79832,70105,77009,74857,86635,82093,-,Upgrade
30,Other Long-Term Liabilities,1299961,1100812,1081807,1072771,1077734,461985,456424,112006,113208,115852,118719,113063,108165,109771,107160,104889,97020,88621,88438,-,Upgrade
31,Total Liabilities,6620226,5821407,5160801,4497886,4733932,4181890,4036800,3822202,3691056,3038983,2206171,2538297,2559006,2850850,2501286,2457006,2517451,2544011,2652719,-,Upgrade
32,Common Stock,666306,666306,666306,666306,666306,666306,666306,666306,333205,333205,333205,333205,333205,333205,333205,333205,333205,249956,249956,-,Upgrade
33,Additional Paid-In Capital,4597,4597,4597,4597,4597,4597,4597,4597,234597,234597,234597,234597,234112,233815,233815,233815,233815,317065,317065,-,Upgrade
34,Retained Earnings,563274,771846,816716,791157,780508,770052,775163,817365,920879,841230,748009,696255,641165,579705,639306,614682,553356,466394,490292,-,Upgrade
35,Treasury Stock,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-361.31,-587.24,-690.47,-690.47,-690.47,-690.47,-690.47,-690.47,-,Upgrade
36,Comprehensive Income & Other,210188,210200,210200,202500,202500,202500,189285,169045,163231,163231,157076,149276,149276,142056,142056,142056,142056,142200,91895,-,Upgrade
37,Total Common Equity,1444004,1652588,1697457,1664199,1653549,1643093,1634989,1656952,1651551,1571902,1472526,1412972,1357170,1288090,1347692,1323068,1261742,1174924,1148517,1154965,Upgrade
38,Minority Interest,900750,846649,1079292,1034413,786382,791960,770938,776518,804118,712656,665608,587961,512834,463602,484210,478098,481390,454413,455148,-,Upgrade
39,Shareholders' Equity,2344754,2499237,2776749,2698612,2439931,2435053,2405927,2433470,2455669,2284558,2138134,2000932,1870004,1751692,1831902,1801166,1743131,1629337,1603664,1639811,Upgrade
40,Total Liabilities & Equity,8964980,8320644,7937550,7196498,7173863,6616943,6442726,6255672,6146725,5323541,4344305,4539230,4429010,4602543,4333188,4258172,4260582,4173347,4256383,-,Upgrade
41,Total Debt,4081520,3674311,3176561,2685724,2705632,2695825,2785213,2591985,2252057,1700056,961405,1355389,1362351,1728769,1425334,1360768,1389485,1393116,1514308,1934477,Upgrade
42,Net Cash (Debt),-3011721,-3127374,-2686975,-2248279,-2108778,-2276580,-2485165,-2220312,-1613456,-981347,-568258,-897838,-1027377,-1546285,-1150323,-1018135,-799182,-1060148,-1154230,-1564978,Upgrade
43,Net Cash Per Share,-45207.42,-47035.41,-40286.76,-33732.46,-25837.44,-36022.75,-48271.66,-33304.77,-24220.66,-14729.04,-8530.46,-13478.35,-14152.02,-23244.61,-11183.01,-14770.73,-11771.72,-15902.36,-18385.12,-16796.43,Upgrade
44,Filing Date Shares Outstanding,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.61,66.6,66.6,66.6,66.6,66.6,66.6,66.6,Upgrade
45,Total Common Shares Outstanding,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.62,66.61,66.6,66.6,66.6,66.6,66.6,66.6,66.6,Upgrade
46,Working Capital,1426031,1330714,1447722,1228596,1089919,589172,433097,185351,233186,231046,145037,71540,-45141,-102897,-52522,-38712,-78896,-76940,-99152,-,Upgrade
47,Book Value Per Share,21675.20,24806.16,25479.67,24980.45,24820.59,24663.64,24541.99,24871.66,24790.60,23595.02,22103.33,21209.40,20375.81,19340.42,20235.33,19865.61,18944.80,17641.15,17244.65,17341.47,Upgrade
48,Tangible Book Value,1128457,1420611,1460845,1430624,1418344,1419604,1515360,1535983,1529357,1471454,1393467,1333914,1277956,1208815,1267863,1243048,1189762,1102728,1076303,1082889,Upgrade
49,Tangible Book Value Per Share,16938.70,21324.07,21928.00,21474.37,21290.05,21308.95,22746.30,23055.86,22956.41,22087.25,20916.63,20022.70,19186.54,18150.12,19036.72,18664.13,17864.05,16557.14,16160.38,16259.26,Upgrade
50,Buildings,1065066,971617,953497,929599,875456,806550,760595,763603,697275,663808,610083,568392,506561,503238,501044,501889,485261,440469,440725,-,Upgrade
51,Machinery,602285,500018,502844,469316,457065,461827,455686,435856,419406,351887,328351,297669,254376,258097,256960,255657,251503,246496,245241,-,Upgrade
52,Construction In Progress,407978,389137,402392,397931,425004,510963,489553,432644,456325,403971,390722,403214,365132,364644,361460,357868,372008,372688,367605,-,Upgrade
