,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,5685552,6031003,5699945,6246910,7153719,7052963,7052963,8607493,8290830,8305223,8190073,7139326,7024175,7571140,5930246,5901459,6390848,7081750,6621149,6074184,4677985,Upgrade
1,Market Cap Growth,-14.49%,-14.49%,-19.18%,-27.42%,-13.72%,-15.08%,-13.88%,20.56%,18.03%,9.70%,38.11%,20.98%,9.91%,6.91%,-10.43%,-2.84%,36.62%,13.63%,-4.17%,-20.97%,-39.81%,Upgrade
2,Enterprise Value,4351495,4876209,4954736,5721813,6252176,6483312,6347679,8226504,7588038,8131641,8185154,7671048,7232697,7749634,6147736,6354084,7103520,8043457,7786095,7699652,5868642,Upgrade
3,PE Ratio,82.46,83.36,26.06,123.32,-,15.85,-,12.14,8.94,9.75,10.06,8.04,12.80,14.97,10.06,19.03,11.93,11.74,-,7.85,6.39,Upgrade
4,PS Ratio,0.96,1.01,1.06,1.40,1.60,1.10,0.99,1.02,0.92,0.95,0.96,0.94,1.08,1.23,1.01,1.03,1.06,1.16,1.00,0.84,0.62,Upgrade
5,PB Ratio,1.36,1.44,1.39,1.53,1.80,1.63,1.71,1.84,1.82,1.80,1.84,1.61,1.61,1.79,1.44,1.43,1.55,1.65,1.62,1.34,1.09,Upgrade
6,P/FCF Ratio,10.85,11.51,8.08,10.84,-,8.27,5.71,7.59,-,6.01,8.93,9.07,-,7.07,5.44,3.46,3.37,5.80,4.02,4.75,-,Upgrade
7,P/OCF Ratio,11.43,11.43,8.04,10.76,-,8.23,5.70,7.58,-,6.00,8.90,9.03,-,7.05,5.62,3.46,3.37,5.79,3.93,4.74,-,Upgrade
8,EV/Sales Ratio,0.73,0.82,0.92,1.28,1.40,1.02,0.89,0.97,0.85,0.93,0.96,1.01,1.11,1.26,1.05,1.11,1.18,1.32,1.17,1.06,0.78,Upgrade
9,EV/EBITDA Ratio,6.09,7.57,6.15,9.18,-,5.75,5.79,5.64,4.46,4.96,5.16,4.62,5.45,6.04,4.33,5.42,5.08,5.35,5.15,4.74,3.58,Upgrade
10,EV/EBIT Ratio,158.51,-113.82,41.59,-89.67,-,14.69,-,10.68,7.49,8.56,9.12,7.90,11.37,13.07,8.44,13.20,10.05,9.93,9.50,8.25,6.21,Upgrade
11,EV/FCF Ratio,8.30,9.30,7.03,9.93,-,7.60,5.14,7.25,-,5.88,8.93,9.74,-,7.23,5.64,3.73,3.74,6.59,4.73,6.02,-,Upgrade
12,Debt / Equity Ratio,0.24,0.24,0.35,0.32,0.17,0.28,0.22,0.08,0.14,0.14,0.14,0.05,0.13,0.05,0.15,0.15,0.12,0.18,0.33,0.29,0.43,Upgrade
13,Debt / EBITDA Ratio,1.39,1.12,1.73,1.16,-,0.78,9.97,0.28,0.40,0.45,0.41,0.09,0.43,0.17,0.33,0.71,0.43,0.44,1.56,0.72,1.15,Upgrade
14,Debt / FCF Ratio,1.90,1.90,2.02,2.27,-,1.41,0.75,0.31,-,0.46,0.69,0.25,-,0.20,0.56,0.37,0.27,0.63,0.81,1.02,-,Upgrade
15,Quick Ratio,0.91,0.91,0.93,0.87,0.70,1.08,1.23,1.40,1.40,1.50,1.36,1.24,1.13,0.93,0.85,0.91,0.81,0.72,0.67,0.80,0.82,Upgrade
16,Current Ratio,1.01,1.01,1.02,0.97,0.83,1.16,1.33,1.48,1.48,1.61,1.46,1.33,1.26,1.08,1.08,1.02,0.94,0.91,0.82,0.93,0.95,Upgrade
17,Asset Turnover,0.70,0.68,0.97,0.13,0.59,0.38,0.99,1.10,1.04,1.15,1.45,1.17,0.98,0.73,0.93,0.99,0.81,0.65,1.00,0.91,Upgrade,
18,Return on Equity (ROE),6.18%,4.33%,12.15%,-15.22%,20.57%,-11.26%,12.62%,20.39%,14.10%,17.89%,33.13%,14.84%,11.61%,26.53%,2.38%,10.92%,19.37%,-0.55%,22.53%,17.00%,Upgrade,
19,Return on Assets (ROA),1.27%,0.85%,3.07%,-7.21%,6.56%,-4.37%,4.11%,7.29%,6.11%,7.05%,13.05%,6.16%,4.82%,10.48%,1.89%,4.72%,9.97%,1.41%,9.24%,7.54%,Upgrade,
20,Return on Capital (ROIC),2.42%,1.57%,5.53%,-11.77%,10.10%,-7.38%,7.06%,11.07%,8.75%,10.97%,20.18%,8.95%,7.00%,15.11%,2.78%,6.44%,12.55%,1.78%,11.58%,9.41%,Upgrade,
21,Return on Capital Employed (ROCE),0.66%,-1.03%,2.90%,-1.57%,-,10.18%,-,16.48%,22.22%,20.59%,20.16%,21.86%,14.55%,14.00%,17.70%,11.66%,17.13%,18.84%,20.00%,20.58%,19.69%,Upgrade
22,Earnings Yield,1.21%,1.20%,3.96%,0.92%,1.13%,6.71%,5.89%,8.58%,11.55%,10.64%,10.31%,12.87%,8.24%,7.05%,10.38%,5.71%,8.78%,8.83%,9.48%,13.10%,16.14%,Upgrade
23,Earnings Yield,1.21%,1.20%,3.96%,0.92%,1.13%,6.71%,5.89%,8.58%,11.55%,10.64%,10.31%,12.87%,8.24%,7.05%,10.38%,5.71%,8.78%,8.83%,9.48%,13.10%,16.14%,Upgrade
24,FCF Yield,9.22%,8.69%,12.37%,9.23%,9.54%,12.10%,17.50%,13.17%,19.88%,16.64%,11.20%,11.03%,3.06%,14.15%,18.39%,28.88%,29.69%,17.24%,24.86%,21.04%,28.64%,Upgrade
25,Dividend Yield,7.52%,-,-,-,-,6.54%,13.96%,-,-,10.11%,-,-,-,7.82%,12.10%,-,-,11.11%,14.85%,-,-,Upgrade
26,Payout Ratio,278.45%,0.03%,0.12%,0.06%,-,0.04%,-,0.16%,122.97%,116.92%,-,78.78%,-,237.63%,0.04%,0.19%,250.15%,0.09%,-,-,160.46%,Upgrade
27,Buyback Yield / Dilution,-2.21%,-4.60%,8.77%,-5.56%,0.46%,8.22%,-11.13%,2.50%,1.00%,-1.45%,28.04%,-61.44%,-1.87%,-98.92%,8.97%,38.39%,0.13%,50.27%,-51.98%,-0.60%,Upgrade,
28,Total Shareholder Return,7.52%,-2.21%,-4.60%,8.77%,-5.56%,7.01%,22.18%,-11.13%,2.50%,11.11%,-1.45%,28.04%,-61.44%,5.95%,-86.82%,8.97%,38.39%,11.23%,65.12%,-51.98%,-0.60%,Upgrade
