,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,56958,3061,35711,6969,1153,65344,275847,989.35,384299,400090,204920,56489,987.68,16506,1032,61574,61698,220038,140115,59071,Upgrade
1,Short-Term Investments,2273491,2576441,2017441,1204391,2100391,1430491,780000,1030000,949000,404000,-,490.79,490.79,420000,420491,490.79,490.79,152491,490.79,165000,Upgrade
2,Accounts Receivable,2917489,3183752,2914032,1683705,2229261,3003616,5182216,4317895,2849556,3065021,3904755,2922646,2186830,1716172,2119465,2121119,1395686,1429737,2169112,1999687,Upgrade
3,Other Receivables,79682,77843,62987,61629,93704,58743,53535,55107,59109,46666,45305,46498,45056,51366,51197,43670,43762,44839,43214,46161,Upgrade
4,Inventory,332600,333487,332434,334516,260357,340715,345118,310205,307451,304632,309142,310405,310903,310007,314047,313927,315080,320963,315647,304910,Upgrade
5,Prepaid Expenses,4749,651.49,13071,9876,4696,5180,15299,10822,4689,2839,10691,6169,4738,290649,2723,11198,19518,5202,1891,2690,Upgrade
6,Other Current Assets,247067,220547,219604,210436,80670,54627,15441,10729,2717,160,623.83,34703,32038,315.96,169.42,49633,49481,62965,59771,60064,Upgrade
7,Total Current Assets,5912036,6395781,5595279,3511522,4770231,4958716,6667456,5735747,4556820,4223408,4475436,3377400,2581043,2805016,2909124,2601613,1885715,2236236,2730242,2637583,Upgrade
8,"Property, Plant & Equipment",1419618,1591341,1762749,1932413,2103601,2486349,2446941,2615594,2787449,2959321,3131204,3303493,3475745,3644688,3817346,3989738,4162441,4418472,4509254,4681337,Upgrade
9,Other Intangible Assets,22051,21975,22015,22055,21603,21603,21603,21603,21603,21619,21661,21702,21743,21785,21826,21875,21933,22341,22749,23064,Upgrade
10,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,14592,14592,14592,3894,3894,3894,3894,3387,3937,3937,Upgrade
11,Other Long-Term Assets,2661031,2390477,2484691,2744336,1555719,370143,30041,54863,78910,135567,157176,333802,530940,224616,237182,269647,307338,154567,189973,229404,Upgrade
12,Total Assets,10014735,10399574,9864735,8210326,8451154,7836811,9166041,8427807,7444782,7339915,7800069,7050990,6624065,6699999,6989372,6886768,6381321,6835003,7456155,7575326,Upgrade
13,Accounts Payable,3686607,3683738,3318467,2484133,1681294,2230712,2802558,1733233,770559,950420,1598633,876408,1034553,787881,1214489,1134647,396510,750744,426937,269376,Upgrade
14,Accrued Expenses,1091412,1121373,1119264,1011104,1171524,508725,1278302,1420457,1360622,1063739,1492317,1155841,1075996,833517,957177,1056057,843847,603393,1125192,1091286,Upgrade
15,Short-Term Debt,996393,1424708,1307943,686263,1200000,926184,350563,650000,630507,630507,200000,588702,210000,615000,639012,17405,263872,300000,292220,300000,Upgrade
16,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,497285,510989,1034236,1013333,1054667,Upgrade
17,Current Income Taxes Payable,12222,6048,-,20,13894,1128,13006,12353,20848,5502,19228,8534,22162,15237,3467,6393,18304,3491,18296,9889,Upgrade
18,Other Current Liabilities,49567,49191,48849,52630,48593,51647,48958,51977,48404,235755,47759,50347,47781,335892,48099,49894,49720,48107,47278,48253,Upgrade
19,Total Current Liabilities,5836201,6285057,5794523,4234149,4115305,3718396,4493388,3868021,2830940,2885923,3357937,2679832,2390491,2587527,2862244,2761682,2083243,2739970,2923256,2773471,Upgrade
20,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,494871,Upgrade
21,Other Long-Term Liabilities,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,509.13,541.84,654.49,767.13,879.78,Upgrade
22,Total Liabilities,5836201,6285057,5794523,4234149,4115305,3718396,4493388,3868021,2830940,2885923,3357937,2679832,2390491,2587527,2862244,2762191,2083785,2740624,2924023,3269222,Upgrade
23,Common Stock,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,2878760,Upgrade
24,Retained Earnings,1300231,1236214,1191910,1097874,1457547,1240112,1794350,1681484,1735539,1575689,1563829,1492855,1355271,1234169,1248825,1246274,1419234,1216076,1653829,1427801,Upgrade
25,Comprehensive Income & Other,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,-457.5,Upgrade
26,Shareholders' Equity,4178534,4114517,4070212,3976177,4335849,4118415,4672653,4559787,4613842,4453991,4442132,4371158,4233574,4112472,4127128,4124577,4297537,4094379,4532132,4306103,Upgrade
27,Total Liabilities & Equity,10014735,10399574,9864735,8210326,8451154,7836811,9166041,8427807,7444782,7339915,7800069,7050990,6624065,6699999,6989372,6886768,6381321,6835003,7456155,7575326,Upgrade
28,Total Debt,996393,1424708,1307943,686263,1200000,926184,350563,650000,630507,630507,200000,588702,210000,615000,639012,514690,774861,1334236,1305553,1849539,Upgrade
29,Net Cash (Debt),1334056,1154794,745209,525097,901544,569651,705283,380989,702792,173583,4920,-531722,-208522,-178494,-217490,-452625,-712672,-961707,-1164947,-1625468,Upgrade
30,Net Cash Growth,47.97%,102.72%,5.66%,37.82%,28.28%,228.17%,14236.42%,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
31,Net Cash Per Share,4397.07,4013.98,2585.98,1824.04,3037.12,2071.18,2232.79,1397.02,2356.56,579.25,17.31,-1900.89,-692.19,-604.30,-550.63,-2612.27,-2409.97,-6476.67,-2684.84,-5779.60,Upgrade
32,Filing Date Shares Outstanding,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,Upgrade
33,Total Common Shares Outstanding,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,287.88,Upgrade
34,Working Capital,75835,110724,-199243,-722627,654926,1240321,2174068,1867727,1725880,1337484,1117500,697568,190553,217489,46880,-160069,-197527,-503734,-193014,-135888,Upgrade
35,Book Value Per Share,14515.05,14292.67,14138.77,13812.12,15061.52,14306.21,16231.48,15839.41,16027.18,15471.91,15430.71,15184.17,14706.24,14285.57,14336.48,14327.61,14928.43,14222.71,15743.35,14958.19,Upgrade
36,Tangible Book Value,4156483,4092542,4048197,3954122,4314247,4096813,4651051,4538184,4592239,4432372,4420472,4349456,4211830,4090687,4105302,4102702,4275604,4072038,4509383,4283040,Upgrade
37,Tangible Book Value Per Share,14438.45,14216.33,14062.29,13735.50,14986.47,14231.17,16156.44,15764.37,15952.14,15396.81,15355.47,15108.78,14630.71,14209.89,14260.66,14251.63,14852.24,14145.11,15664.32,14878.07,Upgrade
38,Buildings,2972511,2972511,2972511,-,2972511,2972511,-,-,2972289,-,-,-,-,-,-,-,-,-,-,-,Upgrade
39,Machinery,8360029,8360032,8357913,8357736,8357222,8357306,8355675,8355183,8355183,8355115,8354824,8354824,8354321,8352847,8352847,8352576,8352576,8352576,8352282,8351464,Upgrade
40,Construction In Progress,-,-,1877,-,-,210972,2407,-,-,-,-,-,1086,-,-,-,-,83227,1417,1417,Upgrade
