,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1791821,1711760,2186073,261907,1203821,816426,2182760,2182878,1924870,2168333,2687969,2006519,1634557,1249646,1615687,1649694,1330790,1152579,1875450,1723429,Upgrade
1,Revenue Growth (YoY),48.84%,109.67%,0.15%,-88.00%,-37.46%,-62.35%,-18.80%,8.79%,17.76%,73.52%,66.37%,21.63%,22.83%,8.42%,-13.85%,-4.28%,-29.71%,-33.97%,-11.78%,-8.76%,Upgrade
2,Operations & Maintenance,-,-,301.16,87.13,129.02,-,208.14,587.62,632.3,-,617.03,203.05,-305.99,-,26.35,279.64,-663.84,-,272.74,391.1,Upgrade
3,"Selling, General & Admin",21064,25212,6084,9327,7579,16459,11622,4309,6874,209078,-173685,-1375,-511,18092,12058,735.29,4203,27699,10900,-3806,Upgrade
4,Depreciation & Amortization,-,-,1711,1689,1640,-,1700,3425,1854,-,2102,4195,2029,-,1999,4007,2354,-,2369,4738,Upgrade
5,Provision for Bad Debts,-,-,-,-,-16900,-,-,-,-145991,-,187207,-,-,-,-,-,-,-,-,-,Upgrade
6,Other Operating Expenses,1718949,1652181,2066872,490925,997578,948559,2024689,1943012,1880795,1745806,2284195,1835091,1504972,944593,1549227,1519500,1061404,1084681,1584089,1493863,Upgrade
7,Total Operating Expenses,1740013,1677393,2074968,502028,990026,965017,2038219,1951333,1744165,1954883,2300436,1838115,1506184,962686,1563309,1524522,1067297,1112380,1597630,1495186,Upgrade
8,Operating Income,51808,34366,111105,-240121,213795,-148592,144542,231545,180705,213450,387533,168405,128373,286961,52378,125172,263493,40199,277820,228243,Upgrade
