,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,110.67,197.79,151.4,213.66,135.29
1,Revenue Growth (YoY),-26.91%,-7.43%,11.91%,-,-
2,Cost of Revenue,42.73,69.52,63.07,88.94,53.69
3,Gross Profit,67.94,128.28,88.33,124.72,81.6
4,"Selling, General & Admin",73.67,65.4,81.5,75.87,92.42
5,Research & Development,12.02,20.71,19.14,24.6,10.41
6,Operating Expenses,85.64,99.22,101.13,99.73,106.12
7,Operating Income,-17.71,29.06,-12.8,24.99,-24.52
8,Interest Expense,-0.09,-0.12,-0.15,-0.2,-0.15
9,Interest & Investment Income,-,15.37,-,10.38,-
10,Other Non Operating Income (Expenses),17.55,-3.72,25.84,-24.01,-82.78
11,EBT Excluding Unusual Items,-0.24,40.59,12.89,11.15,-107.45
12,Gain (Loss) on Sale of Investments,-,6.97,-,-,-
13,Pretax Income,-0.24,47.56,12.89,11.15,-107.45
14,Income Tax Expense,-0.49,4.44,0.97,3.84,-0.25
15,Net Income,0.25,43.12,11.92,7.32,-107.2
16,Net Income to Common,0.25,43.12,11.92,7.32,-107.2
17,Net Income Growth,-97.92%,489.34%,-,-,-
18,Shares Outstanding (Basic),540,539,497,473,473
19,Shares Outstanding (Diluted),540,540,498,473,473
20,Shares Change (YoY),8.43%,14.29%,5.44%,-,-
21,EPS (Basic),0.00,0.08,0.02,0.02,-0.23
22,EPS (Diluted),0.00,0.06,-0.00,0.02,-0.23
23,EPS Growth,-,262.79%,-,-,-
24,Free Cash Flow,5.79,38.55,-0.69,28.58,-43.14
25,Free Cash Flow Per Share,0.01,0.07,-0.00,0.06,-0.09
26,Operating Margin,-16.00%,14.69%,-8.45%,11.70%,-18.12%
27,Profit Margin,0.22%,21.80%,7.87%,3.42%,-79.24%
28,Free Cash Flow Margin,5.23%,19.49%,-0.46%,13.37%,-31.89%
29,EBITDA,-17.22,29.58,-12.18,25.58,-23.96
30,D&A For EBITDA,0.49,0.52,0.62,0.59,0.56
31,EBIT,-17.71,29.06,-12.8,24.99,-24.52
