,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 11, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,659,986,2581,7852,-,-
1,Market Cap Growth,-87.44%,-87.44%,-,-,-,-
2,Enterprise Value,-574,-263,1348,8059,-,-
3,Last Close Price,1.23,1.84,4.77,12.96,-,-
4,PE Ratio,14.24,21.16,42.57,377.74,-,-
5,Forward PE,-,20.56,24.52,85.55,-,-
6,PS Ratio,2.00,2.97,6.71,19.90,-,-
7,PB Ratio,0.54,0.80,2.09,6.44,-,-
8,P/TBV Ratio,0.80,0.80,2.10,6.45,-,-
9,P/FCF Ratio,13.84,20.70,61.89,-,-,-
10,P/OCF Ratio,20.60,20.60,61.60,-,-,-
11,EV/Sales Ratio,-,-,3.50,20.43,-,-
12,EV/EBITDA Ratio,-,-,70.30,-,-,-
13,EV/EBIT Ratio,-,-,75.23,-,-,-
14,EV/FCF Ratio,-12.05,-,32.31,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.01,-5.13,-
16,Debt / FCF Ratio,0.10,0.10,0.12,-,-50.17,-
17,Return on Capital Employed (ROCE),0.99%,-,1.45%,-,0.08%,-
18,Earnings Yield,7.07%,4.73%,2.35%,0.26%,-,-
19,FCF Yield,7.23%,4.83%,1.62%,0.38%,-,-
20,Buyback Yield / Dilution,-11.16%,-8.43%,-14.29%,-5.44%,-,-
21,Total Shareholder Return,-11.16%,-8.43%,-14.29%,-5.44%,-,-
