,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,141.4,181.92,760.15,320.68,-
1,Short-Term Investments,484.54,454.16,-,279.72,-
2,Trading Asset Securities,526.09,501.89,389.05,-,-
3,Cash & Short-Term Investments,1152,1138,1149,600.4,-
4,Cash Growth,0.25%,89.53%,-,-,-
5,Accounts Receivable,105.99,123.4,101.38,102.65,-
6,Other Receivables,-,3.21,-,3.23,-
7,Receivables,105.99,126.61,101.38,105.88,-
8,Other Current Assets,31.28,2.43,11.38,8.58,-
9,Total Current Assets,1289,1267,1262,714.85,-
10,"Property, Plant & Equipment",21,21.77,25.17,27.59,-
11,Other Intangible Assets,2.4,2.68,1.83,1.57,-
12,Long-Term Deferred Tax Assets,3.83,3.34,1.38,1.31,-
13,Other Long-Term Assets,0.21,0.8,0.8,1.2,-
14,Total Assets,1317,1296,1291,746.52,-
15,Accounts Payable,1.57,2.05,1.14,1.97,-
16,Accrued Expenses,-,31.42,-,28.24,-
17,Current Portion of Leases,3.77,3.99,5.23,5.53,-
18,Current Income Taxes Payable,1.89,6.4,-,2.16,-
19,Current Unearned Revenue,-,109.48,-,107.23,-
20,Other Current Liabilities,164.58,21.24,153.34,18.68,-
21,Total Current Liabilities,171.79,174.58,159.71,163.8,-
22,Long-Term Debt,-,-,-,720.91,-
23,Long-Term Leases,0.79,0.64,2.35,4.07,-
24,Total Liabilities,172.58,175.22,162.05,888.78,-
25,Common Stock,0.42,0.42,0.42,0.01,-
26,Additional Paid-In Capital,1267,1267,1267,-,-
27,Retained Earnings,-267.86,-268.11,-311.23,-323.15,-
28,Treasury Stock,-0.39,-42.04,-0.03,-,-
29,Comprehensive Income & Other,145.26,163.37,173.19,127.47,-
30,Total Common Equity,1144,1120,1129,-195.68,-
31,Shareholders' Equity,1144,1120,1129,-142.26,-
32,Total Liabilities & Equity,1317,1296,1291,746.52,-
33,Total Debt,4.55,4.64,7.58,730.5,-
34,Net Cash (Debt),1147,1133,1142,-130.1,-
35,Net Cash Growth,0.51%,-,-,-,-
36,Net Cash Per Share,2.12,2.10,2.29,-0.28,-
37,Filing Date Shares Outstanding,540.33,535.84,541.11,6.67,472.62
38,Total Common Shares Outstanding,540.33,535.84,541.11,6.67,472.62
39,Working Capital,1118,1092,1102,551.05,-
40,Book Value Per Share,2.12,2.09,2.09,-29.35,-
41,Tangible Book Value,1142,1118,1127,-197.25,-
42,Tangible Book Value Per Share,2.11,2.09,2.08,-29.59,-
43,Buildings,-,19.21,-,19.21,-
44,Machinery,-,5.17,-,4.99,-
