,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,4469124,5188269,5660534,5291095,4459217,4262062,5499967,4374728,4299825,4424042,7196014,7151367,8779965,7531043,7009856,4852538,3418143,3375615,2314354,2451562,Upgrade
1,Revenue Growth (YoY),0.22%,21.73%,2.92%,20.95%,3.71%,-3.66%,-23.57%,-38.83%,-51.03%,-41.26%,2.66%,47.37%,156.86%,123.10%,202.89%,97.94%,6.78%,10.01%,-21.91%,-16.71%,Upgrade
2,Cost of Revenue,4168287,4736615,5148587,4723759,4185989,4057096,5003626,4237001,4509740,4583215,6302435,6194496,7722179,6235051,5703792,4242523,3110685,3133214,2207014,2239551,Upgrade
3,Gross Profit,300837,451654,511947,567336,273228,204966,496342,137728,-209916,-159173,893579,956871,1057785,1295992,1306064,610015,307458,242401,107340,212011,Upgrade
4,"Selling, General & Admin",218799,310664,283974,324403,198195,169735,254338,117147,197162,269343,605408,316194,536625,503511,280324,200212,109876,99308,69709,80965,Upgrade
5,Operating Expenses,218799,310664,283974,324403,198195,169735,254338,117147,197162,269343,605408,316194,536625,503511,280324,200212,109876,99308,69709,80965,Upgrade
6,Operating Income,82039,140990,227973,242932,75033,35231,242004,20581,-407078,-428516,288171,640677,521161,792481,1025740,409804,197582,143093,37631,131047,Upgrade
7,Interest Expense,-67377,-48771,-43146,-48547,-227732,-59988,-79919,-93246,-310677,-60420,-107291,-73514,-85054,-71198,-57009,-47487,-85722,-55969,-60206,-57173,Upgrade
8,Interest & Investment Income,101647,59674,113616,65679,-,78951,50564,57452,-,74328,-,73120,-,38906,37186,17384,-,21161,42753,8020,Upgrade
9,Currency Exchange Gain (Loss),-,-,-,-,77004,-,-,-,33044,-,8620,-,30261,-,-,-,887.25,-,-,-,Upgrade
10,Other Non Operating Income (Expenses),-100682,-69743,-25864,-72251,106032,-24421,-45964,-34271,223573,-61383,50063,-49630,47158,-54229,-29139,-13934,58234,-16625,-9277,-34623,Upgrade
11,EBT Excluding Unusual Items,15626,82150,272580,187814,30337,29773,166684,-49484,-461138,-475991,239563,590653,513526,705959,976778,365766,170982,91659,10901,47270,Upgrade
12,Pretax Income,15626,82150,272580,187814,30337,29773,166684,-49484,-461138,-475991,239563,590653,513526,705959,976778,365766,170982,91659,10901,47270,Upgrade
13,Income Tax Expense,-2789,17302,52945,37704,22672,6114,31330,-213.38,-46811,-57305,38107,83781,61173,99286,129272,47036,17126,9037,-6399,5778,Upgrade
14,Earnings From Continuing Operations,18415,64848,219634,150110,7665,23659,135355,-49270,-414327,-418686,201457,506872,452353,606673,847505,318730,153856,82622,17300,41492,Upgrade
15,Net Income,18415,64848,219634,150110,7665,23659,135355,-49270,-414327,-418686,201457,506872,452353,606673,847505,318730,153856,82622,17300,41492,Upgrade
16,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,69470,-,-,-,8858,-,-,-,Upgrade
17,Net Income to Common,18415,64848,219634,150110,7665,23659,135355,-49270,-414327,-418686,201457,506872,382883,606673,847505,318730,144998,82622,17300,41492,Upgrade
18,Net Income Growth,140.26%,174.09%,62.27%,-,-,-,-32.81%,-,-,-,-76.23%,59.03%,194.01%,634.28%,4798.81%,668.17%,2050.22%,1230.59%,-87.24%,-,Upgrade
19,Shares Outstanding (Basic),316,316,316,316,316,316,316,316,316,316,316,316,314,314,309,297,297,297,-,314,Upgrade
20,Shares Outstanding (Diluted),316,316,316,316,316,316,316,316,316,316,316,316,314,314,309,297,297,297,-,314,Upgrade
21,Shares Change (YoY),-0.00%,-,-,-,-,-,-,-0.00%,0.46%,0.46%,2.14%,6.30%,5.81%,5.81%,-,-5.49%,-5.49%,-5.49%,-,-,Upgrade
22,EPS (Basic),58.29,205.26,695.19,475.13,24.26,74.89,428.43,-155.95,-1311.44,-1325.24,637.66,1604.36,1217.46,1929.04,2739.97,1072.39,487.85,277.99,-,131.93,Upgrade
23,EPS (Diluted),58.29,205.26,695.19,475.13,24.26,74.89,428.43,-155.95,-1311.70,-1325.24,637.66,1604.36,1217.37,1929.04,2739.97,1072.39,487.78,277.99,-,131.93,Upgrade
24,EPS Growth,140.26%,174.09%,62.27%,-,-,-,-32.81%,-,-,-,-76.73%,49.61%,149.57%,593.94%,-,712.83%,2598.15%,1307.95%,-,-,Upgrade
25,Free Cash Flow,-16883,-1116765,628197,-935630,-218314,-348879,1528630,-823112,451096,-533080,400228,-1357326,744949,-715992,-439412,-42885,801876,-248210,283159,-875522,Upgrade
26,Free Cash Flow Per Share,-53.44,-3534.81,1988.38,-2961.48,-691.01,-1104.28,4838.46,-2605.33,1427.82,-1687.32,1266.81,-4296.23,2368.72,-2276.65,-1420.61,-144.29,2697.96,-835.12,-,-2783.89,Upgrade
27,Dividend Per Share,-,-,-,-,-,-,-,-,-,-,-,-,694.444,-,-,-,173.611,-,-,-,Upgrade
28,Dividend Growth,-,-,-,-,-,-,-,-,-,-,-,-,300.00%,-,-,-,-,-,-,-,Upgrade
29,Gross Margin,6.73%,8.71%,9.04%,10.72%,6.13%,4.81%,9.02%,3.15%,-4.88%,-3.60%,12.42%,13.38%,12.05%,17.21%,18.63%,12.57%,8.99%,7.18%,4.64%,8.65%,Upgrade
30,Operating Margin,1.84%,2.72%,4.03%,4.59%,1.68%,0.83%,4.40%,0.47%,-9.47%,-9.69%,4.00%,8.96%,5.94%,10.52%,14.63%,8.45%,5.78%,4.24%,1.63%,5.35%,Upgrade
31,Profit Margin,0.41%,1.25%,3.88%,2.84%,0.17%,0.56%,2.46%,-1.13%,-9.64%,-9.46%,2.80%,7.09%,4.36%,8.06%,12.09%,6.57%,4.24%,2.45%,0.75%,1.69%,Upgrade
32,Free Cash Flow Margin,-0.38%,-21.52%,11.10%,-17.68%,-4.90%,-8.19%,27.79%,-18.82%,10.49%,-12.05%,5.56%,-18.98%,8.48%,-9.51%,-6.27%,-0.88%,23.46%,-7.35%,12.23%,-35.71%,Upgrade
