,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,100.07,106.13,92.72,85.52,77.5,122.89,124.86,103.95,97.15,98.49,115.04,61.02
1,Other Revenue,-,-0,0,-,0.01,-0.01,0.01,-,0.05,-0.04,0.04,-
2,Revenue,100.07,106.13,92.72,85.52,77.51,122.88,124.87,103.95,97.2,98.45,115.08,61.02
3,Revenue Growth (YoY),29.11%,-13.63%,-25.74%,-17.73%,-20.25%,24.82%,8.50%,70.34%,-,-,-,-
4,Cost of Revenue,-164.75,66.51,50.89,47.35,47.34,60.59,76.55,58.73,55.31,55.15,68.58,34.3
5,Gross Profit,264.82,39.62,41.83,38.17,30.17,62.3,48.32,45.22,41.88,43.3,46.51,26.72
6,"Selling, General & Admin",-40.33,15.21,12.46,12.66,12.81,14.31,14.75,12.68,11.33,11.72,10.8,9.44
7,Research & Development,-31.36,11.9,9.9,9.56,10.49,8.56,5.95,6.89,4.7,7.56,6.94,6.38
8,Other Operating Expenses,299.53,-1.57,-4.81,-2.95,-1.21,-4.2,-9.29,-3.74,1.21,-18.26,-0.63,0.51
9,Operating Expenses,206.65,34,25.37,24.17,22.84,22.22,15.72,15.34,19.2,1.06,19.22,16.24
10,Operating Income,58.17,5.62,16.46,14,7.33,40.07,32.6,29.88,22.68,42.23,27.28,10.49
11,Interest Expense,-36.46,-0.13,-0.22,-0.43,-0.1,-0.86,-0.58,-0.7,-0.6,-0.66,-0.78,-0.06
12,Interest & Investment Income,0.78,12.46,10.53,13.46,13.93,15.11,6.38,2.03,2.02,1.77,1.21,0.75
13,Currency Exchange Gain (Loss),-,-,-,-,0.01,-0.01,0.01,-,-,-,-,-
14,Other Non Operating Income (Expenses),0.02,0.97,-0.44,-0.01,-1.47,0.04,0.14,-0.02,-0.7,0.5,0.03,-0.09
15,EBT Excluding Unusual Items,22.51,18.93,26.34,27.02,19.7,54.36,38.55,31.19,23.39,43.84,27.74,11.09
16,Gain (Loss) on Sale of Investments,-2.75,0.14,1.61,1,1.11,-,-,-,-,-,-0.2,0.2
17,Gain (Loss) on Sale of Assets,0,0,-0,-,0,-0,-,-0,0,0,-0.02,-0.01
18,Asset Writedown,-0.75,0.75,0.85,-0.85,1.61,-1.61,1.8,-1.8,4,-4,-,-
19,Other Unusual Items,-,-0.85,0.83,0.01,7.27,-,-,-,3.14,-,-,-
20,Pretax Income,19.01,18.97,29.63,27.18,29.69,52.75,40.35,29.38,30.54,39.84,27.52,11.28
21,Income Tax Expense,1.56,0.83,2.86,2.87,3.2,6.76,5.3,3.45,3.89,4.91,3.02,0.88
22,Net Income,17.45,18.14,26.77,24.31,26.48,45.99,35.06,25.93,26.65,34.93,24.49,10.41
23,Net Income to Common,17.45,18.14,26.77,24.31,26.48,45.99,35.06,25.93,26.65,34.93,24.49,10.41
24,Net Income Growth,-34.11%,-60.56%,-23.63%,-6.25%,-0.61%,31.64%,43.12%,149.23%,-,-,-,-
25,Shares Outstanding (Basic),58,59,60,59,59,59,44,45,44,45,43,45
26,Shares Outstanding (Diluted),58,59,60,59,59,59,44,45,44,45,43,45
27,Shares Change (YoY),-1.14%,-0.28%,34.25%,32.62%,35.40%,30.55%,2.81%,-1.17%,-,-,-,-
28,EPS (Basic),0.30,0.31,0.45,0.41,0.45,0.78,0.79,0.58,0.61,0.77,0.57,0.23
29,EPS (Diluted),0.30,0.31,0.45,0.41,0.45,0.78,0.79,0.58,0.61,0.77,0.57,0.23
30,EPS Growth,-33.35%,-60.45%,-43.11%,-29.31%,-26.60%,0.84%,39.21%,152.17%,-,-,-,-
31,Free Cash Flow,-,-12.21,-0.12,-40.76,32.28,-31.47,0.82,12.2,42.26,28.52,53.81,-54.48
32,Free Cash Flow Per Share,-,-0.21,-0.00,-0.69,0.55,-0.53,0.02,0.27,0.97,0.63,1.25,-1.20
33,Dividend Per Share,-,-,0.262,-,1.580,-,-,-,-,-,-,-
34,Gross Margin,264.62%,37.33%,45.11%,44.64%,38.92%,50.70%,38.69%,43.50%,43.09%,43.98%,40.41%,43.79%
35,Operating Margin,58.13%,5.30%,17.76%,16.37%,9.45%,32.61%,26.11%,28.75%,23.33%,42.90%,23.71%,17.18%
36,Profit Margin,17.44%,17.09%,28.87%,28.43%,34.17%,37.43%,28.07%,24.95%,27.42%,35.48%,21.28%,17.05%
37,Free Cash Flow Margin,-,-11.50%,-0.13%,-47.66%,41.65%,-25.61%,0.65%,11.74%,43.48%,28.97%,46.76%,-89.28%
38,EBITDA,58.75,6.2,17.14,14.58,7.9,40.64,33.17,30.44,23.19,42.74,27.79,10.98
39,EBITDA Margin,58.70%,5.84%,18.49%,17.04%,10.20%,33.07%,26.56%,29.28%,23.86%,43.42%,24.15%,17.99%
40,D&A For EBITDA,0.58,0.58,0.68,0.58,0.58,0.57,0.57,0.56,0.51,0.51,0.51,0.49
41,EBIT,58.17,5.62,16.46,14,7.33,40.07,32.6,29.88,22.68,42.23,27.28,10.49
42,EBIT Margin,58.13%,5.30%,17.76%,16.37%,9.45%,32.61%,26.11%,28.75%,23.33%,42.90%,23.71%,17.18%
43,Effective Tax Rate,8.23%,4.37%,9.66%,10.56%,10.79%,12.81%,13.12%,11.75%,12.75%,12.31%,10.99%,7.79%
44,Revenue as Reported,-,106.13,92.72,85.52,77.51,122.88,124.87,103.95,97.2,98.45,176.1,-
45,Advertising Expenses,-,-,-,-,-,-,-,-,-,-,-,0.1
