,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,1021,1041,1599,1695,1668,1940,199.23,188.71,-,-,-
1,Short-Term Investments,-,-,-,-,165.01,-,93.13,92.29,91.49,-,-,-
2,Trading Asset Securities,-,426.78,440.47,98.11,97.11,75,-,-,-,-,-,-
3,Cash & Short-Term Investments,1448,1448,1481,1697,1957,1743,2033,291.52,280.2,-,-,-
4,Cash Growth,-26.01%,-16.94%,-27.14%,482.15%,598.47%,-,-,-,-,-,-,-
5,Accounts Receivable,-,235.73,226.76,227.6,196.02,232.43,192.84,146.24,166.58,-,-,-
6,Other Receivables,-,20.21,3.45,3.48,3.25,3.83,5.16,2.94,3.54,-,-,-
7,Receivables,-,255.94,230.21,231.08,199.27,236.26,198,149.19,170.12,-,-,-
8,Inventory,-,460.89,471.31,461.92,457.22,423.58,387.31,376.21,352.65,-,-,-
9,Other Current Assets,-,328.58,323.8,258.07,35.96,257.02,54.27,48.88,33.61,-,-,-
10,Total Current Assets,-,2494,2506,2648,2650,2660,2672,865.79,836.58,-,-,-
11,"Property, Plant & Equipment",-,139.04,124.75,117.2,100.07,69.85,51.17,35.56,18.01,-,-,-
12,Other Intangible Assets,-,14.44,14.53,14.47,14.54,14.61,14.68,14.73,14.14,-,-,-
13,Long-Term Accounts Receivable,-,-,2.61,3.45,3.36,-,4.55,3.39,3.61,-,-,-
14,Long-Term Deferred Tax Assets,-,11.23,9.99,8.99,8.21,6.64,6.13,5.38,5.98,-,-,-
15,Long-Term Deferred Charges,-,0.2,0.27,0.35,0.2,0.25,0.31,0.36,0.42,-,-,-
16,Other Long-Term Assets,-,1.89,-,-,-,3.27,-,-,-,-,-,-
17,Total Assets,-,2660,2659,2793,2776,2755,2749,925.21,878.73,-,-,-
18,Accounts Payable,-,30.25,36.08,42.47,54.04,51.27,69.11,65.73,42.83,-,-,-
19,Accrued Expenses,-,16.34,20.78,10.38,26.06,15.67,20.77,21.06,26.87,-,-,-
20,Short-Term Debt,-,-,-,-,1,25.52,75.03,-,1.31,-,-,-
21,Current Portion of Leases,-,0.05,0.52,1.09,1.79,2.4,2.67,2.63,2.58,-,-,-
22,Current Income Taxes Payable,-,11.19,4.56,13.8,8.43,17.78,7,6.12,4.25,-,-,-
23,Current Unearned Revenue,-,424.01,421.22,422.75,400.5,381.44,372.5,338.42,326.51,-,-,-
24,Other Current Liabilities,-,64.22,44.83,44.93,49.4,53.27,40.22,30.5,37.98,-,-,-
25,Total Current Liabilities,-,546.07,527.99,535.42,541.22,547.35,587.3,464.46,442.34,-,-,-
26,Long-Term Debt,-,-,-,50.05,50.05,50.05,50.05,50.06,50.06,-,-,-
27,Long-Term Leases,-,0.3,0.3,0.3,0.34,0.36,0.78,1.35,2.17,-,-,-
28,Long-Term Deferred Tax Liabilities,-,0.49,0.86,0.81,0.7,0.07,0.07,0.07,0.93,-,-,-
29,Other Long-Term Liabilities,-,4.53,4.52,4.75,5.18,5.14,5.06,4.71,4.61,-,-,-
30,Total Liabilities,-,551.39,533.67,591.33,597.49,602.96,643.26,520.65,500.09,-,-,-
31,Common Stock,-,59.14,59.14,59.14,59.14,59.14,59.14,44.36,44.36,-,-,-
32,Additional Paid-In Capital,-,1829,1829,1829,1829,1829,1829,177.36,177.36,-,-,-
33,Retained Earnings,-,250.84,248.05,314.68,290.37,263.89,217.9,182.85,156.91,-,-,-
34,Treasury Stock,-,-30.01,-11.15,-1.47,-,-,-,-,-,-,-,-
35,Shareholders' Equity,2109,2109,2125,2201,2178,2152,2106,404.56,378.63,-,-,-
36,Total Liabilities & Equity,-,2660,2659,2793,2776,2755,2749,925.21,878.73,-,-,-
37,Total Debt,0.36,0.36,0.82,51.44,53.19,78.33,128.52,54.04,56.11,-,-,-
38,Net Cash (Debt),1448,1448,1480,1646,1904,1665,1904,237.48,224.09,-,-,-
39,Net Cash Growth,-23.96%,-13.05%,-22.26%,592.95%,749.64%,-,-,-,-,-,-,-
40,Net Cash Per Share,24.81,24.66,24.88,27.75,32.26,28.29,42.97,5.31,5.14,-,-,-
41,Filing Date Shares Outstanding,58.35,58.6,58.6,59.14,59.14,59.14,59.14,44.36,43.59,45.09,43.11,45.24
42,Total Common Shares Outstanding,58.35,58.6,58.6,59.14,59.14,59.14,59.14,44.36,43.59,45.09,43.11,45.24
43,Working Capital,-,1947,1978,2113,2108,2113,2085,401.34,394.24,-,-,-
44,Book Value Per Share,35.99,35.99,36.26,37.22,36.83,36.39,35.61,9.12,8.69,-,-,-
45,Tangible Book Value,2094,2094,2110,2187,2164,2137,2091,389.83,364.49,-,-,-
46,Tangible Book Value Per Share,35.74,35.74,36.02,36.98,36.59,36.14,35.36,8.79,8.36,-,-,-
47,Buildings,-,-,16.78,-,16.78,-,16.78,16.78,16.78,-,-,-
48,Machinery,-,-,12.82,-,12.35,-,11.53,11.34,11.17,-,-,-
49,Construction In Progress,-,-,113.34,-,86.65,-,36.31,19.67,1.12,-,-,-
