,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,3255,3208,3360,3326,3585,4198,4708,5433,-,-,-,-,-
1,Market Cap Growth,-23.59%,-23.59%,-28.63%,-38.79%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,1807,1760,1880,1680,1920,2533,2803,5196,-,-,-,-,-
3,Last Close Price,55.54,54.74,57.08,55.98,58.71,68.75,77.10,88.98,-,-,-,-,-
4,PE Ratio,37.78,37.01,35.11,26.92,27.19,31.45,35.23,44.33,-,-,-,-,-
5,PS Ratio,8.52,8.34,9.28,8.78,8.73,9.78,10.49,12.80,-,-,-,-,-
6,PB Ratio,1.54,1.52,1.59,1.57,1.63,1.93,2.19,2.58,-,-,-,-,-
7,P/TBV Ratio,1.53,1.53,1.60,1.58,1.64,1.94,2.20,2.60,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,303.48,-,64.84,-,-,-,-,-
9,P/OCF Ratio,-,-,62.49,69.88,-,41.50,-,40.83,-,-,-,-,-
10,EV/Sales Ratio,4.70,4.58,5.19,4.44,4.67,5.90,6.25,12.24,-,-,-,-,-
11,EV/EBITDA Ratio,18.71,18.21,41.02,20.93,19.94,22.58,22.00,40.11,-,-,-,-,-
12,EV/EBIT Ratio,19.17,18.67,43.30,21.58,20.43,23.05,22.39,40.79,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-,-,183.10,-,62.01,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.06,0.13,0.15,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.01,0.01,0.88,1.27,0.48,0.93,0.44,0.54,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,3.85,-,1.53,0.40,0.80,-,-,-
17,Asset Turnover,-,0.16,0.14,0.12,0.11,0.18,0.27,0.46,-,-,-,-,
18,Inventory Turnover,-,-,0.57,0.44,0.41,0.43,0.60,0.80,0.64,-,-,-,-
19,Quick Ratio,-,-,3.12,3.24,3.60,3.98,3.62,3.80,0.95,1.02,-,-,-
20,Current Ratio,-,-,4.57,4.75,4.95,4.90,4.86,4.55,1.86,1.89,-,-,-
21,Return on Equity (ROE),3.31%,3.43%,4.95%,4.44%,4.89%,8.64%,11.17%,26.49%,-,-,-,-,
22,Return on Assets (ROA),-,0.53%,1.51%,1.26%,0.66%,3.64%,4.44%,8.28%,-,-,-,-,
23,Return on Capital (ROIC),6.89%,0.66%,1.88%,1.56%,0.82%,4.49%,6.05%,16.72%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,2.05%,3.65%,4.16%,4.92%,5.67%,5.89%,26.49%,23.53%,-,-,-
25,Earnings Yield,2.66%,2.70%,2.85%,3.72%,3.68%,3.18%,2.84%,2.26%,-,-,-,-,-
26,FCF Yield,-,-0.62%,-1.20%,-1.09%,0.33%,0.51%,1.54%,-,-,-,-,-,
27,Dividend Yield,0.93%,-,-,3.29%,-,2.30%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,10.50%,342.74%,1.70%,0.95%,1.53%,1.29%,1.74%,1.71%,20.34%,1.55%,-
29,Buyback Yield / Dilution,-13.98%,1.14%,0.28%,-34.25%,-32.62%,-35.40%,-30.55%,-2.81%,1.17%,-,-,-,-
30,Total Shareholder Return,-13.05%,1.14%,0.28%,-30.96%,-32.62%,-33.11%,-30.55%,-2.81%,1.17%,-,-,-,-
