,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Revenue,87039,40823,122531,25789,12541,18224,18684,113828,15911,36829,26898,52533,24577,112714,146186,55783,114072,393399,180532,31379,Upgrade
1,Revenue Growth (YoY),594.03%,124.00%,555.80%,-77.34%,-21.18%,-50.52%,-30.54%,116.68%,-35.26%,-67.33%,-81.60%,-5.83%,-78.45%,-71.35%,-19.02%,77.77%,136.84%,129.62%,33.23%,-71.74%,Upgrade
2,Cost of Revenue,62055,34517,100103,19031,6386,13409,11667,96114,11364,27642,25673,43260,17821,88907,134095,46086,101268,361085,159645,29003,Upgrade
3,Gross Profit,24983,6306,22428,6758,6155,4815,7017,17715,4547,9187,1226,9273,6756,23807,12092,9697,12804,32314,20887,2376,Upgrade
4,"Selling, General & Admin",2193,10182,1300,7723,10140,8307,6670,7894,6269,5592,4449,6447,8098,12693,7609,8958,9144,12680,7539,9451,Upgrade
5,Operating Expenses,2193,10182,1300,7723,10140,8307,6670,7894,6269,5592,4449,6447,8098,12693,7609,8958,9144,12680,7539,9451,Upgrade
6,Operating Income,22790,-3876,21128,-964.62,-3986,-3492,347.56,9820,-1721,3596,-3223,2826,-1341,11114,4483,739.72,3661,19635,13348,-7075,Upgrade
7,Interest Expense,-2141,-3010,-3114,-2781,-2782,-1920,-1551,-2470,-1492,-1581,-1256,-1494,-1382,-1532,-2292,-3486,-2455,-2241,-2915,-3077,Upgrade
8,Interest & Investment Income,22.9,33.17,230.54,-,353,78.38,241.95,205.75,122.3,559.42,485.32,636.66,392.67,1269,373.44,315.43,318,1409,477,656.18,Upgrade
