,Fiscal Quarter,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Cash & Equivalents,24863,14222,15505,2944,8685,-,3024,10573,9490,31691,18222,-,4692,-,20394,13243,16922,47159,13149,25372,Upgrade
1,Short-Term Investments,1317,6310,2151,309.65,1310,-,7310,6500,11500,11000,13500,-,13000,-,16500,15000,10000,17500,15500,22000,Upgrade
2,Cash & Short-Term Investments,26180,20532,17656,3254,9994,-,10334,17073,20990,42691,31722,-,17692,-,36894,28243,26922,64659,28649,47372,Upgrade
3,Cash Growth,161.95%,-,70.85%,-80.94%,-52.38%,-,-67.42%,-,18.64%,-,-14.02%,-,-34.28%,-,28.78%,-40.38%,-,-3.92%,-,39.45%,Upgrade
4,Accounts Receivable,103248,77914,133795,64755,59124,-,61502,117564,62142,88702,71619,-,139367,-,185614,238925,284740,354192,154633,112555,Upgrade
5,Other Receivables,4206,28494,6887,26335,31230,-,31095,39353,38248,25089,38771,-,39479,-,28356,19732,30972,7940,18478,18809,Upgrade
6,Receivables,107454,106408,140682,91090,90354,-,92596,156917,100391,113791,110390,-,178846,-,213970,258657,315712,362132,173111,131364,Upgrade
7,Inventory,83015,81469,72445,97284,90080,-,96475,58687,65694,61048,49208,-,50218,-,64422,139565,54250,52635,186440,161280,Upgrade
8,Prepaid Expenses,359.02,417.31,422.9,366.14,605.97,-,1429,175.67,219.41,83.84,68.66,-,265.4,-,385.28,316.46,592.93,594.8,776.62,275.23,Upgrade
