,Fiscal Quarter,Current,Q4 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q2 2019,+20 Quarters
,Period Ending,"Mar '25 Mar 6, 2025","Dec '24 Dec 31, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Jun '19 Jun 30, 2019",+20 Quarters
0,Market Capitalization,43027,36686,44386,43027,44839,52085,61143,67937,70202,105982,67937,69749,52085,56614,43027,45291,42121,42121,24910,30345,32610,Upgrade
1,Market Cap Growth,-40.00%,-29.57%,-27.41%,-36.67%,-36.13%,-50.85%,-10.00%,-2.60%,34.78%,87.20%,57.89%,54.00%,23.66%,34.41%,72.73%,49.25%,29.17%,17.72%,-34.52%,-23.86%,-35.71%,Upgrade
2,Enterprise Value,110195,142156,151616,150257,146765,141396,146844,201173,153594,152596,129359,151003,133339,143833,67271,183371,191309,144827,142730,132464,164636,Upgrade
3,Last Close Price,9500.00,8100.00,9800.00,8854.37,9227.18,10718.45,12582.52,13309.51,13753.17,20762.84,12730.84,13070.33,9760.31,10609.03,7433.85,7825.10,7277.35,7277.35,3885.96,4733.81,5087.08,Upgrade
4,PE Ratio,12.50,1.48,-,28.90,-,-,-,-,50.40,-,181.21,-,4.77,-,4.28,3.43,-,2.46,2.62,-143.59,-,Upgrade
5,PS Ratio,0.18,0.13,0.22,0.24,0.60,0.32,0.37,0.37,0.36,0.80,0.48,0.32,0.16,0.17,0.10,0.06,0.06,0.06,0.04,0.07,0.08,Upgrade
6,PB Ratio,0.63,0.46,0.60,0.54,0.69,0.77,-,0.78,0.80,1.25,0.77,0.82,-,0.61,-,0.51,0.48,0.43,0.26,0.36,0.45,Upgrade
7,P/TBV Ratio,0.54,0.54,0.73,0.63,0.85,0.99,-,0.95,0.96,1.51,0.93,0.99,-,0.72,-,0.63,0.60,0.54,0.32,0.46,0.59,Upgrade
8,P/FCF Ratio,1.03,-,-7.15,-,-,-,-,-2.09,-,-,-,-,0.37,0.42,-,0.47,-1.25,-,0.29,-,-,Upgrade
9,P/OCF Ratio,0.84,-,-10.14,-,-,-,-,-2.11,-,-,-,-,0.37,0.41,-,0.46,-1.35,-,0.29,-,-,Upgrade
10,EV/Sales Ratio,0.47,0.51,0.75,0.84,1.95,0.87,0.88,1.09,0.79,1.15,0.92,0.70,0.40,0.42,0.16,0.26,0.26,0.20,0.22,0.31,0.43,Upgrade
11,EV/EBITDA Ratio,4.73,6.59,-,-,-48.95,-,-,15.67,16.24,-,-,-,6.10,7.31,2.85,5.71,4.68,4.49,5.58,10.09,-,Upgrade
12,EV/EBIT Ratio,5.90,3.64,-,11.84,-,-,-,16.71,18.13,-,69.66,-,7.81,-,3.36,6.43,5.12,4.90,6.21,12.50,-,Upgrade
13,EV/FCF Ratio,2.63,-,-24.43,-,-,-,-,-6.18,-,-,-,-,0.95,1.06,-,1.91,-5.68,-,1.66,-,-,Upgrade
14,Debt / Equity Ratio,1.01,1.01,1.55,1.38,1.53,1.43,-,0.93,1.54,1.05,0.85,0.92,-,0.91,-,0.50,1.71,1.61,1.53,1.51,1.80,Upgrade
15,Debt / EBITDA Ratio,3.48,0.85,-,-,126.40,-,-,11.43,2.99,-,-,-,-,49.11,-,2.11,17.18,8.92,1.82,2.28,-,Upgrade
16,Debt / FCF Ratio,1.94,-,-18.31,-,-,-,-,-2.48,-,-,-,-,-,0.62,-,0.46,-4.44,-,1.73,-,-,Upgrade
17,Asset Turnover,-,-,-,0.45,-,-,0.27,1.63,0.25,0.60,-,-,-,-,1.42,0.49,0.93,3.16,1.70,-,Upgrade,
18,Inventory Turnover,2.42,-,-,-,0.81,-,-,0.60,6.18,0.72,2.01,-,-,-,-,5.26,1.90,7.58,12.08,3.67,-,Upgrade
19,Quick Ratio,0.76,0.76,0.76,0.84,0.59,0.63,-,0.60,0.84,0.69,0.94,0.93,-,1.02,-,0.95,0.75,0.98,0.97,0.54,0.57,Upgrade
20,Current Ratio,1.36,1.36,1.32,1.32,1.26,1.26,-,1.35,1.28,1.31,1.34,1.34,-,1.30,-,1.22,1.15,1.19,1.15,1.14,1.13,Upgrade
21,Return on Equity (ROE),-,-,-,-21.72%,-,-,-4.80%,26.37%,-14.58%,12.97%,-,-,-,-,6.79%,-3.18%,4.55%,54.97%,53.06%,-,Upgrade,
22,Return on Assets (ROA),-,-,-,-1.06%,-,-,0.31%,8.81%,-1.67%,3.65%,-,-,-,-,2.72%,0.40%,1.86%,9.85%,7.87%,-,Upgrade,
23,Return on Capital (ROIC),-,-,-,-1.47%,-,-,0.44%,12.34%,-2.55%,5.50%,-,-,-,-,6.06%,0.75%,3.66%,21.45%,16.00%,-,Upgrade,
24,Return on Capital Employed (ROCE),22.69%,47.45%,-,15.26%,-,-,-,13.86%,9.63%,-,2.11%,-,-,-,-,32.10%,42.79%,30.30%,23.69%,12.54%,-,Upgrade
25,Earnings Yield,8.00%,67.39%,1.23%,3.46%,-35.36%,-14.74%,-7.51%,5.32%,1.98%,-0.74%,0.55%,9.21%,20.98%,12.27%,23.35%,29.16%,52.63%,40.62%,38.14%,-0.70%,-9.25%,Upgrade
26,FCF Yield,97.35%,-,-13.98%,-,86.06%,-,-54.85%,-47.91%,-114.26%,-16.09%,-,-,268.17%,238.72%,-,212.35%,-79.95%,-115.78%,345.06%,238.09%,-,Upgrade
27,Dividend Yield,7.37%,-,-,-,-,-,-,-,-,-,9.43%,-,-,-,-,-,-,-,25.73%,-,-,Upgrade
28,Payout Ratio,91.87%,-,-,-,-,-,-,-,99.97%,-,-,-,153.23%,-,-,-,-,-,-,0.81%,-,Upgrade
29,Buyback Yield / Dilution,-0.01%,-14.38%,0.03%,0.05%,-0.05%,12.56%,0.01%,-0.10%,0.06%,-6.58%,-,-14.98%,0.24%,-5.62%,-,13.12%,-,19.40%,-,-0.07%,-,Upgrade
30,Total Shareholder Return,7.36%,-14.38%,0.03%,0.05%,-0.05%,12.56%,0.01%,-0.10%,0.06%,-6.58%,9.43%,-14.98%,0.24%,-5.62%,-,13.12%,-,19.40%,25.73%,-0.07%,-,Upgrade
