,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,426.05,610.14,991.05,1011,1002,1246,-,169.96,-,-,-,240.93,240.93,182.22,182.22
1,Short-Term Investments,-,-,-,300.95,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,310,230.48,-,-,200.64,-,-,-,-,-,-,5.44,5.44,4.96,4.96
3,Cash & Short-Term Investments,736.05,840.62,991.05,1312,1203,1246,169.96,169.96,-,-,246.37,246.37,246.37,187.19,187.19
4,Cash Growth,-38.81%,-32.54%,483.11%,671.85%,-,-,-31.02%,-31.02%,-,-,31.62%,-,-,-,-
5,Accounts Receivable,582.69,485.8,364.47,458.21,533.86,447.91,-,274,-,-,-,218.46,218.46,207.11,207.11
6,Other Receivables,35.35,16.2,11.49,24.5,22.22,17.15,-,9.31,-,-,-,9.48,9.48,24.17,24.17
7,Receivables,618.04,501.99,375.96,482.71,556.08,465.06,-,283.31,-,-,-,227.93,227.93,231.28,231.28
8,Inventory,291.87,274.54,242.89,211.17,257.42,179.05,-,157.37,-,-,-,136.46,136.46,178.65,178.65
9,Other Current Assets,574.68,521.74,377.97,67.8,48.02,49.22,-,38.83,-,-,-,19.15,19.15,8.74,8.74
10,Total Current Assets,2221,2139,1988,2074,2064,1939,-,649.47,-,-,-,629.92,629.92,605.86,605.86
11,"Property, Plant & Equipment",461.74,432.95,389.88,387.23,375.53,374.65,-,363.15,-,-,-,244.56,244.56,149.42,149.42
12,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7
13,Other Intangible Assets,27.07,27.11,26.78,27.22,27.46,27.22,-,26.12,-,-,-,26.19,26.19,26.27,26.27
14,Long-Term Deferred Tax Assets,30.09,29.28,29.39,29.07,27.19,30.61,-,30.01,-,-,-,18.8,17.04,16.17,16.17
15,Long-Term Deferred Charges,2.63,1.64,0.83,0.22,0.34,0.42,-,1.87,-,-,-,2.89,2.89,3.29,3.29
16,Other Long-Term Assets,17.49,37.36,42.68,38.04,37.09,29.06,-,31.95,-,-,-,34.34,34.34,34.01,34.01
17,Total Assets,2760,2667,2477,2555,2532,2401,-,1103,-,-,-,956.71,954.95,842.01,842.01
18,Accounts Payable,591.1,606.47,433.68,564.03,566.02,500.68,-,352.74,-,-,-,384.19,384.19,339.54,339.54
19,Accrued Expenses,39.64,39.83,35.01,42.11,29.85,32.91,-,28.22,-,-,-,27.8,27.8,27.91,27.91
20,Short-Term Debt,-,-,-,-,-,-,-,47.2,-,-,-,24.35,24.35,56.91,56.91
21,Current Portion of Long-Term Debt,-,-,1.03,0.03,-,0.03,-,25.27,-,-,-,0.06,0.06,-,-
22,Current Portion of Leases,1.97,1.76,-,1.27,-,0.97,-,1.87,-,-,-,4.02,4.02,-,-
23,Current Income Taxes Payable,27.13,5.47,15.95,0.54,15.82,3.9,-,9.57,-,-,-,16.67,16.67,11.64,11.64
24,Current Unearned Revenue,8.34,9.84,8.55,9.04,9.91,11.31,-,7.49,-,-,-,2.33,2.33,1.46,1.46
25,Other Current Liabilities,12.05,8.31,6.34,7.15,5.83,4.98,-,16.53,-,-,-,1.33,1.33,1.67,1.67
26,Total Current Liabilities,680.22,671.68,500.56,624.18,627.43,554.77,-,488.89,-,-,-,460.74,460.75,439.12,439.12
27,Long-Term Debt,-,-,0,0,0.04,0.02,-,47.05,-,-,-,18.34,18.34,0.11,0.11
28,Long-Term Leases,1.2,1.66,0.72,0.74,1.69,1,-,1.5,-,-,-,9.11,9.11,15.13,15.13
29,Long-Term Unearned Revenue,56.75,57.54,58.41,59.43,59.97,60.64,-,58.14,-,-,-,33.34,33.34,26.93,26.93
30,Long-Term Deferred Tax Liabilities,0.32,0.56,0.08,0.08,0,0.01,-,0.22,-,-,-,3.18,3.18,3.26,3.26
31,Other Long-Term Liabilities,2.6,0.3,0.3,0.52,0.95,-,-,0.04,-,-,-,0.07,0.07,0.87,0.87
32,Total Liabilities,741.1,731.75,560.08,684.94,690.08,616.43,-,595.83,-,-,-,524.78,524.78,485.43,485.43
33,Common Stock,162.83,162.83,116.31,116.24,116.24,116.24,-,87.18,-,-,-,87.18,87.18,87.18,87.18
34,Additional Paid-In Capital,1359,1354,1396,1389,1387,1385,-,191.25,-,-,-,184.95,173.23,172.51,172.51
35,Retained Earnings,485.86,413.12,400.33,359.99,333.59,277.77,-,223.89,-,-,-,157.04,167,94.15,94.15
36,Comprehensive Income & Other,5.48,1.04,0.75,1.2,1.15,1.53,-,0.92,-,-,-,0.37,0.37,0.65,0.65
37,Total Common Equity,2013,1931,1913,1867,1838,1781,503.24,503.24,-,-,429.54,429.54,427.78,354.49,354.49
38,Minority Interest,5.16,4.28,4.3,3.86,4.02,4.09,-,3.49,-,-,-,2.39,2.39,2.1,2.1
39,Shareholders' Equity,2019,1935,1917,1870,1842,1785,506.74,506.74,-,-,431.93,431.93,430.17,356.59,356.59
40,Total Liabilities & Equity,2760,2667,2477,2555,2532,2401,-,1103,-,-,-,956.71,954.95,842.01,842.01
41,Total Debt,3.16,3.42,1.76,2.04,1.73,2.01,122.89,122.89,-,-,55.88,55.88,55.88,72.15,72.15
42,Net Cash (Debt),732.88,837.2,989.29,1310,1201,1244,47.07,47.07,-,-,190.5,190.5,190.5,115.03,115.03
43,Net Cash Growth,-38.98%,-32.71%,2001.75%,2682.66%,-,-,-75.29%,-75.29%,-,-,65.60%,-,-,-,-
44,Net Cash Per Share,4.55,5.04,6.13,8.13,7.38,10.09,0.39,0.41,-,-,1.56,1.57,1.57,0.94,0.94
45,Filing Date Shares Outstanding,162.83,162.83,162.83,162.74,162.74,162.74,121.58,122.05,126.38,122.2,122.2,122.05,122.05,122.05,122.05
46,Total Common Shares Outstanding,162.83,162.83,162.83,162.74,162.74,162.74,121.58,122.05,126.38,122.2,122.2,122.05,122.05,122.05,122.05
47,Working Capital,1540,1467,1487,1449,1437,1385,-,160.58,-,-,-,169.18,169.18,166.74,166.74
48,Book Value Per Share,12.36,11.86,11.75,11.47,11.29,10.94,4.12,4.12,-,-,3.52,3.52,3.50,2.90,2.90
49,Tangible Book Value,1986,1904,1886,1839,1810,1754,477.12,477.12,-,-,403.35,403.35,401.59,328.22,328.22
50,Tangible Book Value Per Share,12.20,11.69,11.58,11.30,11.13,10.78,3.91,3.91,-,-,3.30,3.30,3.29,2.69,2.69
51,Buildings,-,313.83,-,313.83,-,311.09,-,86.06,-,-,-,86.06,86.06,86.06,86.06
52,Machinery,-,207.53,-,179.27,-,157.43,-,134.98,-,-,-,104.01,104.01,97.4,97.4
53,Construction In Progress,-,35.27,-,1.93,-,0.15,-,223.27,-,-,-,108.22,108.22,10.55,10.55
