,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Feb '25 Feb 27, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,8054,5637,4253,4331,7556,4604,4347,-,-,-,-,-,-,-,-,-
1,Market Cap Growth,22.44%,22.44%,-2.17%,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,7326,4804,3268,3134,6358,3364,4304,-,-,-,-,-,-,-,-,-
3,Last Close Price,49.45,34.62,26.12,26.35,45.98,28.02,26.46,-,-,-,-,-,-,-,-,-
4,PE Ratio,41.37,29.04,24.00,27.53,55.52,30.68,46.41,-,-,-,-,-,-,-,-,-
5,PS Ratio,3.74,2.63,2.14,2.28,4.30,2.85,3.20,-,-,-,-,-,-,-,-,-
6,PB Ratio,4.00,2.79,2.20,2.26,4.04,2.50,2.44,-,-,-,-,-,-,-,-,-
7,P/TBV Ratio,2.84,2.84,2.23,2.30,4.11,2.54,2.48,-,-,-,-,-,-,-,-,-
8,P/FCF Ratio,7833.25,-,93.58,-560.48,-74.42,-,-,-,-,-,-,-,-,-,-,-
9,P/OCF Ratio,34.80,-,21.68,36.46,1230.72,-,-,-,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,3.42,2.24,1.65,1.65,3.62,2.08,3.17,-,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,41.08,26.05,18.77,20.77,41.60,23.96,51.87,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,53.92,32.62,23.42,26.08,50.98,29.29,74.60,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,7125.47,-,71.91,-405.58,-62.63,-,-,-,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.24,-,-,0.13,0.13,0.13,0.20,0.20
15,Debt / EBITDA Ratio,0.02,0.01,0.02,0.02,0.03,0.01,0.02,1.02,4.53,-,-,0.56,0.41,0.35,0.46,0.46
16,Debt / FCF Ratio,3.08,-,0.08,-0.23,-0.02,-,-,-,-1.19,-,-,-,0.47,0.66,1.43,2.87
17,Asset Turnover,1.06,0.84,0.66,0.74,0.91,-,-,-,-,-,-,1.58,1.68,1.56,-,
18,Inventory Turnover,6.44,8.12,6.82,6.14,6.89,7.98,-,-,-,-,-,-,9.03,7.82,6.18,-
19,Quick Ratio,1.99,1.99,2.00,2.73,2.88,2.80,3.08,-,0.93,-,-,-,1.03,1.03,0.95,0.95
20,Current Ratio,3.26,3.26,3.18,3.97,3.32,3.29,3.50,-,1.33,-,-,-,1.37,1.37,1.38,1.38
21,Return on Equity (ROE),14.77%,11.39%,8.64%,5.70%,12.31%,12.23%,15.28%,-,-,-,12.71%,29.58%,37.21%,35.94%,-,
22,Return on Assets (ROA),7.22%,4.12%,1.98%,0.66%,7.16%,-,-,-,-,-,-,7.44%,9.46%,9.79%,-,
23,Return on Capital (ROIC),9.89%,5.49%,2.62%,0.90%,9.72%,4.76%,9.70%,-,-,-,9.33%,14.61%,18.59%,19.22%,-,
24,Return on Capital Employed (ROCE),6.53%,7.08%,6.99%,6.08%,6.46%,6.03%,3.12%,-,-,-,-,-,25.89%,20.22%,16.36%,8.18%
25,Earnings Yield,2.41%,3.44%,4.17%,3.63%,1.80%,3.26%,2.15%,-,-,-,-,-,-,-,-,-
26,FCF Yield,0.01%,0.02%,1.07%,-0.18%,-1.34%,-1.31%,-2.34%,-,-,-,-,-,-,-,-,-
27,Dividend Yield,0.50%,-,-,-,0.56%,-,-,-,-,-,-,-,-,-,-,-
28,Payout Ratio,21.29%,-,76.73%,-,-,-,2.77%,2.77%,-,-,1.43%,1.43%,1.38%,1.20%,2.21%,2.21%
29,Buyback Yield / Dilution,-24.17%,1.15%,-34.79%,-32.75%,-39.52%,-28.87%,-0.92%,0.51%,4.91%,-4.12%,-0.18%,-0.18%,-,-,-,-
30,Total Shareholder Return,-23.66%,1.15%,-34.79%,-32.75%,-38.96%,-28.87%,-0.92%,0.51%,4.91%,-4.12%,-0.18%,-0.18%,-,-,-,-
