,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,725.43,537.75,414.06,458.38,566.36,449.86,272.04,322.79,305.27,246.38,246.38,375.55,375.55,327.11,327.11
1,Other Revenue,-3.14,3.14,-,9.29,-2.45,2.45,-,4.9,-,-,-,1.43,1.43,1.23,1.23
2,Revenue,722.28,540.9,414.06,467.67,563.91,452.31,272.04,327.68,305.27,246.38,246.38,376.98,376.98,328.34,328.34
3,Revenue Growth (YoY),28.09%,19.59%,52.21%,42.72%,84.72%,83.58%,10.41%,-13.08%,-19.02%,-24.96%,-24.96%,-,-,-,-
4,Cost of Revenue,575.16,441.37,348.27,403.58,435.32,371.93,219.44,277.98,242.5,203.11,203.11,308.07,308.07,275.86,275.86
5,Gross Profit,147.12,99.53,65.8,64.08,128.59,80.38,52.59,49.7,62.77,43.27,43.27,68.92,68.92,52.48,52.48
6,"Selling, General & Admin",31.45,27.49,23.92,26.47,24.04,18.89,14.81,11.25,18.27,14.99,14.99,20.79,15.24,14.51,14.51
7,Research & Development,30.4,23.67,25.14,36.99,30.07,33.05,13.64,23.19,27.48,17.64,17.64,17.47,17.47,7.13,7.13
8,Other Operating Expenses,1.07,-0.93,2.28,-2.32,-1.77,-4.91,1.41,18.96,-0.8,-6.77,-6.77,1.76,1.76,1.5,1.5
9,Operating Expenses,68.79,57.16,45.89,57.4,57.98,57.38,28.15,52.9,49.32,25.07,25.07,40.46,34.91,19.51,19.51
10,Operating Income,78.34,42.36,19.9,6.68,70.6,23,24.44,-3.19,13.45,18.2,18.2,28.46,34.01,32.96,32.96
11,Interest Expense,-,-0.11,-0.02,-,-0.23,-0.9,-0.46,-0.06,-4.41,-0.31,-0.31,-0.6,-0.6,-0.84,-0.84
12,Interest & Investment Income,4.84,7.98,2.69,2.88,3.64,1.02,0.09,0.14,-,2.16,2.16,1.67,1.67,0.14,0.14
13,Currency Exchange Gain (Loss),-15.4,15.4,-,12.93,-14.06,14.06,-,24.6,-,-,-,-2.96,-2.96,-2.7,-2.7
14,Other Non Operating Income (Expenses),6.55,-8.42,8.47,-18.65,16.25,-3.23,-0.77,-29.87,15.69,6.57,6.57,0.09,0.09,0.11,0.11
15,EBT Excluding Unusual Items,74.32,57.21,31.05,3.84,76.19,33.95,23.3,-8.38,24.73,26.62,26.62,26.66,32.21,29.67,29.67
16,Gain (Loss) on Sale of Investments,-,-,-,1.52,0.67,0.02,1.63,2.96,-20.33,-10.12,-10.12,-1.4,-1.4,1.29,1.29
17,Gain (Loss) on Sale of Assets,-0.02,-0.04,0.01,0.26,-0.24,-0.03,0.01,0.24,0.01,0.03,0.03,-0,-0,0.01,0.01
18,Asset Writedown,-5.92,-0.44,-0.24,6.72,-12.22,3.95,-3.95,9.26,-3.05,-3.56,-3.56,-0.3,-0.3,-0.15,-0.15
19,Other Unusual Items,13.43,5.44,16.63,6.44,-,-,-,40.09,-0.33,0.17,0.17,11.57,11.57,7.89,7.89
20,Pretax Income,81.82,62.17,47.45,18.79,64.4,37.89,20.98,44.17,1.02,13.13,13.13,36.52,42.07,38.73,38.73
21,Income Tax Expense,8.82,7.32,6.55,-7.68,8.57,2.85,1.62,3.47,1.33,-0.59,-0.59,4.65,5.48,6.68,6.68
22,Earnings From Continuing Operations,73,54.85,40.9,26.46,55.82,35.04,19.36,40.7,-0.3,13.72,13.72,31.87,36.59,32.04,32.04
23,Minority Interest in Earnings,-0.25,-0.19,-0.55,-0.07,0,-0.26,-0.26,-0.34,-0.27,-0.19,-0.19,-0.17,-0.17,-0.24,-0.24
24,Net Income,72.74,54.66,40.35,26.4,55.82,34.78,19.1,40.37,-0.57,13.53,13.53,31.71,36.43,31.8,31.8
25,Net Income to Common,72.74,54.66,40.35,26.4,55.82,34.78,19.1,40.37,-0.57,13.53,13.53,31.71,36.43,31.8,31.8
26,Net Income Growth,30.31%,57.17%,111.24%,-34.61%,-,157.09%,41.19%,27.31%,-,-57.46%,-57.46%,-,-,-,-
27,Shares Outstanding (Basic),161,166,161,161,163,123,122,115,126,122,122,121,121,122,122
28,Shares Outstanding (Diluted),161,166,161,161,163,123,122,115,126,122,122,121,121,122,122
29,Shares Change (YoY),-1.15%,34.79%,32.75%,39.52%,28.87%,0.92%,-0.51%,-4.91%,4.12%,0.18%,0.18%,-,-,-,-
30,EPS (Basic),0.45,0.33,0.25,0.16,0.34,0.28,0.16,0.35,-0.00,0.11,0.11,0.26,0.30,0.26,0.26
31,EPS (Diluted),0.45,0.33,0.25,0.16,0.34,0.28,0.16,0.35,-0.00,0.11,0.11,0.26,0.30,0.26,0.26
32,EPS Growth,31.83%,16.60%,59.13%,-53.13%,-,154.75%,41.92%,33.88%,-,-57.54%,-57.54%,-,-,-,-
33,Free Cash Flow,-100.88,16.89,82.06,2.97,-56.47,-36.29,-11.74,44.14,-97.65,-25.07,-25.07,34.4,34.4,25.16,25.16
