,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,44.23,44.23,40.81,40.81
1,Cost of Revenue,25.62,25.62,22.79,22.79
2,Gross Profit,18.6,18.6,18.02,18.02
3,"Selling, General & Admin",5.49,5.49,7.07,7.07
4,Research & Development,2.19,2.19,2.11,2.11
5,Other Operating Expenses,-0.22,-0.22,-1,-1
6,Operating Expenses,7.46,7.46,8.18,8.18
7,Operating Income,11.14,11.14,9.84,9.84
8,Interest Expense,-0.01,-0.01,-0.02,-0.02
9,Interest & Investment Income,1.98,1.98,2.39,2.39
10,Other Non Operating Income (Expenses),-0.07,-0.07,-0.05,-0.05
11,EBT Excluding Unusual Items,13.05,13.05,12.16,12.16
12,Asset Writedown,0.01,0.01,-0,-0
13,Pretax Income,13.05,13.05,12.16,12.16
14,Income Tax Expense,2.42,2.42,2.28,2.28
15,Earnings From Continuing Operations,10.63,10.63,9.87,9.87
16,Minority Interest in Earnings,0.17,0.17,0.37,0.37
17,Net Income,10.79,10.79,10.25,10.25
18,Net Income to Common,10.79,10.79,10.25,10.25
19,Shares Outstanding (Basic),106,106,104,104
20,Shares Outstanding (Diluted),106,106,104,104
21,EPS (Basic),0.10,0.10,0.10,0.10
22,EPS (Diluted),0.10,0.10,0.10,0.10
23,Free Cash Flow,9.65,9.65,6.19,6.19
24,Free Cash Flow Per Share,0.09,0.09,0.06,0.06
25,Gross Margin,42.06%,42.06%,44.15%,44.15%
26,Operating Margin,25.19%,25.19%,24.10%,24.10%
27,Profit Margin,24.41%,24.41%,25.11%,25.11%
28,Free Cash Flow Margin,21.81%,21.81%,15.17%,15.17%
29,EBITDA,11.19,11.19,9.89,9.89
30,EBITDA Margin,25.31%,25.31%,24.24%,24.24%
31,D&A For EBITDA,0.05,0.05,0.05,0.05
32,EBIT,11.14,11.14,9.84,9.84
33,EBIT Margin,25.19%,25.19%,24.10%,24.10%
34,Effective Tax Rate,18.56%,18.56%,18.77%,18.77%
