,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q2 2019,Q1 2019,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,"Property, Plant & Equipment",3902087,3917758,3770307,3732374,-,-,2698183.0,-,-,2125917.0,-
1,Cash & Equivalents,705293,1336814,1295174,222415,-,-,236373.0,-,-,327324.0,-
2,Accounts Receivable,66912,60687,60822,60344,-,-,11127.0,-,-,37840.0,-
3,Other Receivables,59490,829.53,484.04,2380,-,-,3912.0,-,-,1272.0,-
4,Investment In Debt and Equity Securities,387603,52818,52818,52818,-,-,49518.0,-,-,98018.0,-
5,Other Intangible Assets,1670,1865,1923,1981,-,-,38.06,-,-,210.09,-
6,Other Current Assets,1900348,1806360,1785654,1779270,-,-,282013.0,-,-,31869.0,-
7,Other Long-Term Assets,1202397,1073855,1090311,1109547,-,-,55652.0,-,-,87344.0,-
8,Total Assets,8225800,8250987,8057493,6961129,-,-,3336816.0,-,-,2709794.0,-
9,Current Portion of Long-Term Debt,675565,587146,343766,504030,-,-,134100.0,-,-,57925.0,-
10,Long-Term Debt,1656823,1886263,2228383,2066834,-,-,843929.0,-,-,842684.0,-
11,Accounts Payable,180047,162733,223552,268054,-,-,63622.0,-,-,33903.0,-
12,Accrued Expenses,52018,84860,75732,92923,-,-,37309.0,-,-,18971.0,-
13,Current Income Taxes Payable,12926,22222,14344,37168,-,-,20619.0,-,-,631.57,-
14,Current Unearned Revenue,19787,22114,9273,19962,-,-,9703.0,-,-,35.0,-
15,Other Current Liabilities,971259,946353,652472,770209,-,-,426015.0,-,-,116956.0,-
16,Long-Term Unearned Revenue,307644,302132,314132,308451,-,-,240940.0,-,-,259709.0,-
17,Other Long-Term Liabilities,1244236,1185989,1122239,1059168,-,-,357181.0,-,-,205304.0,-
18,Total Liabilities,5120305,5280257,5086188,5223813,-,-,2133417.0,-,-,1536118.0,-
19,Common Stock,1799859,1799859,1784455,1200000,-,-,1000000.0,-,-,1000000.0,-
20,Additional Paid-In Capital,604277,604277,589803,5347,-,-,5407.0,-,-,5407.0,-
21,Retained Earnings,701360,566595,597047,531969,-,-,186850.0,-,-,157127.0,-
22,Comprehensive Income & Other,-,-,-,-,-,-,11142.0,-,-,11142.0,-
23,Shareholders' Equity,3105495,2970730,2971306,1737315,-,1534252,1203399.0,-,1173676,1173676.0,-
24,Total Liabilities & Equity,8225800,8250987,8057493,6961129,-,-,3336816.0,-,-,2709794.0,-
25,Total Debt,2332388,2553853,2674443,2667878,-,2635200,978029.0,-,900609,900609.0,-
26,Net Cash / Debt,-1627095,-1217039,-1379268,-2445463,-,-2369568,-741655.0,-,-573285,-573285.0,-
27,Net Cash Per Share,-9436.72,-6047.84,-10279.01,-19193.45,-,-22378.40,-6180.25,-,-4084.67,-4773.15,-
28,Filing Date Shares Outstanding,179.99,179.99,120,120,106.16,105.89,100.0,119.96,140.35,100.0,141.59
29,Total Common Shares Outstanding,179.99,179.99,120,120,106.16,105.89,100.0,119.96,140.35,100.0,141.59
30,Book Value Per Share,17254.11,16505.35,24760.89,14477.63,-,12785.44,12033.99,-,11736.76,11736.76,-
31,Tangible Book Value,3103826,2968865,2969383,1735334,-,1534172,1203361.0,-,1173466,1173466.0,-
32,Tangible Book Value Per Share,17244.83,16494.99,24744.86,14461.12,-,12784.77,12033.61,-,11734.66,11734.66,-
33,Buildings,565366,565366,565366,565366,-,-,368440.0,-,-,364700.0,-
34,Construction In Progress,3148112,3147330,2991489,2943325,-,-,2387971.0,-,-,1806265.0,-
