,Fiscal Quarter,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q2 2019,Q1 2019,Q1 2018
,Period Ending,"Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Rental Revenue,231747,262432,213729,258516,288174,63163,-,-,-,48093,33728
1,Other Revenue,-1992,-3.5,-8.5,-4.5,-1.5,-,152982,136853,60885,-,-
2,Total Revenue,229755,262428,213720,258512,288173,63163,152982,136853,60885,48093,33728
3,Revenue Growth (YoY,-20.27%,315.48%,39.70%,88.90%,373.31%,31.33%,353.58%,-,-,-,-
4,Property Expenses,132534,112903,115219,165853,150476,28868,63601,59762,26104,22375,14157
5,"Selling, General & Administrative",19257,13787,9261,24240,8095,9467,10545,8298,7784,5589,4205
6,Total Operating Expenses,151791,126690,124480,190093,158571,38336,74146,68059,33888,27964,18361
7,Operating Income,77964,135738,89240,68419,129602,24827,78836,68794,26997,20129,15366
8,Interest Expense,-6647,-8898,-9145,-11109,-12325,-11649,-2195,-2089,-2478,-2229,-2482
9,Interest & Investment Income,20843,1109,2942,7757,1737,1431,-,5945,-,2119,3766
10,Currency Exchange Gain (Loss),0.1,36.63,-,27.1,4.42,-,-,-,-,-,23.38
11,Other Non-Operating Income,134.55,-1550,-340.46,380.33,405.57,-,8434,796.25,10100,241.08,-28.29
12,EBT Excluding Unusual Items,92294,126436,82697,65474,119423,14609,85075,73446,34620,20261,16645
13,Pretax Income,92294,126436,82697,65474,119423,14609,85075,73446,34620,20261,16645
14,Income Tax Expense,17118,24208,17618,9413,23455,2856,13572,10865,4093,1744,1306
15,Net Income,75176,102227,65079,56061,95969,11753,71502,62582,30526,18516,15339
16,Net Income to Common,75176,102227,65079,56061,95969,11753,71502,62582,30526,18516,15339
17,Net Income Growth,-21.67%,769.77%,-8.98%,-10.42%,214.38%,-36.52%,366.15%,-,-,-,-
18,Basic Shares Outstanding,172,201,134,127,106,106,120,120,140,120,142
19,Diluted Shares Outstanding,172,201,134,127,106,106,120,120,140,120,142
20,Shares Change (YoY),62.42%,90.05%,11.82%,6.21%,-24.36%,-11.84%,-15.25%,-,-,-,-
21,EPS (Basic),436.00,508.00,485.00,440.00,904.00,111.00,595.83,521.67,217.50,154.17,108.33
22,EPS (Diluted),436.00,508.00,485.00,440.00,904.00,111.00,595.83,521.67,217.50,154.17,108.33
23,EPS Growth,-51.77%,357.66%,-18.60%,-15.65%,315.63%,-28.00%,450.00%,-,-,-,-
24,Operating Margin,33.93%,51.72%,41.76%,26.47%,44.97%,39.31%,51.53%,50.27%,44.34%,41.85%,45.56%
25,Profit Margin,32.72%,38.95%,30.45%,21.69%,33.30%,18.61%,46.74%,45.73%,50.14%,38.50%,45.48%
26,Free Cash Flow Margin,18.58%,135.04%,-3.62%,82.74%,41.64%,271.02%,81.41%,91.78%,159.92%,357.06%,151.06%
27,EBITDA,146579,135878,180261,185587,222279,55652,127479,117437,54974,23748,24074
28,EBITDA Margin,63.80%,51.78%,84.34%,71.79%,77.13%,88.11%,83.33%,85.81%,90.29%,49.38%,71.38%
29,D&A For Ebitda,68615,140.06,91021,117168,92676,30825,48643,48643,27977,3619,8708
30,EBIT,77964,135738,89240,68419,129602,24827,78836,68794,26997,20129,15366
31,EBIT Margin,33.93%,51.72%,41.76%,26.47%,44.97%,39.31%,51.53%,50.27%,44.34%,41.85%,45.56%
32,Effective Tax Rate,18.55%,19.15%,21.30%,14.38%,19.64%,19.55%,15.95%,14.79%,11.82%,8.61%,7.85%
33,Revenue as Reported,229755,262428,213720,258512,288173,63163,152982,136853,60885,48093,33728
