,Fiscal Quarter,Current,Q4 2024,Q2 2024,Q1 2024,Q4 2023,Q2 2023,Q1 2023,Q2 2020,Q1 2020,Q2 2019,Q1 2019,Q1 2018
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Jun '19 Jun 30, 2019","Mar '19 Mar 31, 2019","Mar '18 Mar 31, 2018"
0,Market Capitalization,8063367,7631401,6974452,5279998,5351998,3615000,2950000,1840000,1260000,1830000,1620000,-
1,Market Cap Growth,-,111.10%,136.42%,186.96%,324.76%,97.54%,82.10%,-,-,-,-,-
2,Enterprise Value,9690462,8848440,8353720,7725462,6093654,4356655,3691655,2413285,1833285,2403285,2204640,-
3,Last Close Price,44800.00,42400.00,38750.00,42886.08,35689.06,24106.12,19671.66,11380.67,7793.29,10945.41,9689.38,-
4,PE Ratio,40.11,25.56,21.84,23.07,22.75,14.95,16.73,10.05,9.92,28.42,47.85,-
5,PS Ratio,7.96,7.91,6.82,6.41,7.02,5.64,7.13,4.61,4.51,12.82,19.80,-
6,PB Ratio,2.71,2.46,2.35,1.78,3.08,-,1.92,1.53,-,1.56,1.38,-
7,P/FCF Ratio,10.32,12.65,10.25,-,8.50,6.68,5.69,3.54,2.83,5.72,7.28,-
8,P/OCF Ratio,10.32,12.65,10.25,-,8.50,6.68,5.69,3.54,2.83,5.72,7.28,-
9,EV/Sales Ratio,10.28,9.17,8.17,9.38,7.99,6.79,8.92,6.05,6.56,16.84,26.94,-
10,EV/EBITDA Ratio,14.44,13.65,11.54,12.00,10.31,8.33,10.38,7.46,8.32,23.38,46.10,-
11,EV/EBIT Ratio,26.49,23.83,19.75,24.75,20.20,14.42,18.51,12.39,13.96,38.46,62.11,-
12,EV/FCF Ratio,-51.40,14.67,12.27,-,9.68,8.05,7.12,4.65,4.11,7.51,9.90,-
13,Debt / Equity Ratio,0.86,0.75,0.86,0.90,1.54,-,1.72,0.81,-,0.77,0.77,-
14,Debt / EBITDA Ratio,3.81,3.98,4.70,3.71,3.59,-,11.84,1.92,-,4.10,9.48,-
15,Debt / FCF Ratio,3.78,3.87,3.75,-,4.24,-,5.08,1.88,-,2.81,4.04,-
16,Asset Turnover,-,0.13,-,-,-,-,-,-,-,-,-,
17,Inventory Turnover,-,-,0.28,-,-,-,-,-,-,-,-,-
18,Quick Ratio,0.73,0.44,0.73,0.95,0.16,-,-,0.36,-,-,1.60,-
19,Current Ratio,1.68,1.43,1.68,2.21,1.15,-,-,0.77,-,-,1.74,-
20,Return on Equity (ROE),-,13.76%,-,-,-,-,-,-,10.40%,-,-,
21,Return on Assets (ROA),-,4.16%,-,-,-,-,-,-,-,-,-,
22,Return on Capital (ROIC),-,6.08%,-,-,-,-,-,-,3.25%,-,-,
23,Earnings Yield,3.15%,3.91%,4.58%,4.33%,4.40%,6.69%,5.98%,9.95%,10.08%,3.52%,2.09%,-
24,FCF Yield,-2.34%,7.90%,9.76%,9.42%,11.76%,14.97%,17.58%,28.22%,35.37%,17.49%,13.74%,-
25,Payout Ratio,2.24%,3.37%,0.01%,1.61%,9.09%,0.14%,2.80%,0.25%,0.98%,1.78%,35.34%,31.21%
26,Buyback Yield / Dilution,-89.57%,-62.42%,-90.05%,-11.82%,-6.21%,24.36%,11.84%,15.25%,-,-,-,-
27,Total Shareholder Return,-87.38%,-62.42%,-90.05%,-11.82%,-6.21%,24.36%,11.84%,15.25%,-,-,-,-
