,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,50.49,44.01,112.65,183.45,147.68,277.17,416.69,581.93,802.37,879.48
1,Cash & Short-Term Investments,50.49,44.01,112.65,183.45,147.68,277.17,416.69,581.93,802.37,879.48
2,Cash Growth,-55.18%,-76.01%,-23.72%,-33.81%,-64.56%,-52.37%,-48.07%,-33.83%,-18.51%,-0.06%
3,Accounts Receivable,25.05,25.05,29.83,29.35,29.33,57.12,44.41,41.86,29.15,25.12
4,Other Receivables,3503,3554,1140,1118,1491,1099,442.48,535.44,388.48,454.81
5,Receivables,3528,3579,1170,1147,1521,1156,486.88,577.3,417.63,479.93
6,Inventory,2096,2293,5945,5901,6836,7054,8664,8825,8956,9181
7,Prepaid Expenses,-,4.5,63.31,62.9,71.25,91.68,106.75,112.22,134.11,107.14
8,Other Current Assets,101.5,103.67,255.1,321.1,307.71,507.41,1389,1406,949.08,428.56
9,Total Current Assets,5775,6024,7546,7616,8883,9087,11064,11503,11259,11076
10,"Property, Plant & Equipment",37.65,39.04,41.04,42.31,44.47,44.9,47.73,51.53,172.9,169.88
11,Long-Term Investments,0.5,0.5,0.5,0.5,0.5,8.49,0.5,0.5,9.03,8.78
12,Long-Term Deferred Tax Assets,3.35,3.26,139.6,131.84,121.44,132.55,132.17,122.83,79.24,76.9
13,Other Long-Term Assets,578.1,578.1,657.49,657.49,694.37,694.37,694.63,910.63,2036,2574
14,Total Assets,6395,6645,8385,8448,9744,9967,11939,12588,13556,13906
15,Accounts Payable,44.06,31.45,227.52,177.14,285.97,140.34,100.49,287.56,94.36,58.91
16,Accrued Expenses,1387,1215,1602,1391,1162,775.63,354.36,175.87,113.41,96.03
17,Short-Term Debt,43.77,43.85,58.9,57.46,1562,1582,-,-,-,-
18,Current Portion of Long-Term Debt,1614,1614,2673,2638,1412,1428,3407,3542,4213,3073
19,Current Portion of Leases,-,-,-,-,-,0.18,0.16,0.2,1.6,1.12
20,Current Income Taxes Payable,235.51,240.62,363.07,410.56,413.87,366.1,435.35,385.29,296.26,268.59
21,Current Unearned Revenue,267.15,317.52,1814,1722,2544,3405,4997,5312,5417,5307
22,Other Current Liabilities,3699,3729,1449,1521,1478,1002,974.13,1116,598.32,574.82
23,Total Current Liabilities,7291,7191,8187,7917,8857,8699,10268,10818,10734,9380
24,Long-Term Debt,-,-,9.22,8.84,8.55,8.18,6.42,6.38,59.18,1365
25,Long-Term Leases,-,-,-,-,-,0.04,-,0.08,5.8,0.46
26,Long-Term Deferred Tax Liabilities,166.55,167.01,304.09,295.35,311.55,311.94,296.06,310.23,286.21,309.17
27,Total Liabilities,7458,7358,8500,8221,9177,9019,10570,11135,11085,11054
28,Common Stock,12.92,12.92,96.03,96.03,96.03,96.03,96.03,96.03,96.03,96.03
29,Additional Paid-In Capital,1065,1065,921.76,921.76,921.76,921.76,921.76,921.76,921.76,921.76
30,Retained Earnings,-2580,-2277,-2043,-1786,-969.59,-665.24,-254.15,-85.48,909.41,1282
31,Comprehensive Income & Other,181.05,186.23,29.95,95.42,-438.91,-374.07,-368.81,-356.64,-346.18,-351.68
32,Total Common Equity,-1321,-1013,-995.53,-673.25,-390.71,-21.52,394.83,575.67,1581,1948
33,Minority Interest,257.92,300.52,880.02,900.58,957.36,969.86,973.46,877.47,889.88,903.37
34,Shareholders' Equity,-1063,-712.78,-115.51,227.33,566.65,948.35,1368,1453,2471,2851
35,Total Liabilities & Equity,6395,6645,8385,8448,9744,9967,11939,12588,13556,13906
36,Total Debt,1658,1658,2741,2704,2983,3018,3413,3549,4280,4439
37,Net Cash (Debt),-1608,-1613,-2628,-2521,-2835,-2740,-2997,-2967,-3478,-3560
38,Net Cash Per Share,-1.13,-1.29,-23.13,-22.18,-24.94,-24.11,-26.37,-26.10,-30.60,-30.99
39,Filing Date Shares Outstanding,1421,1421,113.65,113.65,113.65,113.65,113.65,113.65,113.65,113.65
40,Total Common Shares Outstanding,1421,1421,113.65,113.65,113.65,113.65,113.65,113.65,113.65,113.65
41,Working Capital,-1516,-1167,-640.83,-300.62,25.98,388.2,795.72,684.34,524.93,1696
42,Book Value Per Share,-0.93,-0.71,-8.76,-5.92,-3.44,-0.19,3.47,5.07,13.91,17.14
43,Tangible Book Value,-1321,-1013,-995.53,-673.25,-390.71,-21.52,394.83,575.67,1581,1948
44,Tangible Book Value Per Share,-0.93,-0.71,-8.76,-5.92,-3.44,-0.19,3.47,5.07,13.91,17.14
45,Buildings,-,21.97,-,21.65,-,21.76,-,22.38,-,140.33
46,Machinery,-,12.83,-,18.12,-,18.81,-,18.81,-,18.26
47,Leasehold Improvements,-,10.78,-,10.94,-,10.94,-,10.94,-,12.65
