,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,725,2117,1037,136,148,193,182,227,398,807,1682
1,Market Cap Growth,1452.08%,1452.08%,601.92%,-29.41%,-18.75%,-15.00%,-54.29%,-71.83%,-76.35%,-85.78%,-81.52%
2,Enterprise Value,2729,4225,4828,4004,4590,4748,4957,5019,5190,5800,7293
3,Last Close Price,0.51,1.49,0.73,1.20,1.30,1.70,1.60,2.00,3.50,7.10,14.80
4,PE Ratio,-,-,-,-,-,-,-,-,-,-,10.98
5,PS Ratio,5.25,16.31,3.79,0.23,0.07,0.05,0.07,0.17,0.29,0.37,0.94
6,PB Ratio,-1.85,-1.85,-1.32,-1.09,0.57,0.29,0.16,0.14,0.23,0.30,0.53
7,P/TBV Ratio,-,-,-,-,-,-,-,0.48,0.58,0.47,0.77
8,P/FCF Ratio,-,-215.14,-,-,-,-,-,-,-,0.62,4.40
9,P/OCF Ratio,-,-240.72,-,-,-,-,-,-,-,0.61,4.33
10,EV/Sales Ratio,21.03,32.56,17.64,6.71,2.26,1.34,1.84,3.81,3.75,2.67,4.08
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,-13.45,-,22.62,29.71
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-13.10,-,23.82,31.33
13,EV/FCF Ratio,-277.37,-429.45,-,-,-,-,-,-,-,4.42,19.07
14,Debt / Equity Ratio,-1.56,-1.56,-2.33,-23.73,11.89,5.26,3.18,2.49,2.44,1.73,1.56
15,Debt / FCF Ratio,-,-181.08,-,-,-,-,-,-,-,3.58,12.98
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,-19.07%,-,7.87%,4.60%
17,Earnings Yield,-79.35%,-27.16%,-52.00%,-488.05%,-507.72%,-433.75%,-391.34%,-615.64%,-408.17%,-47.81%,9.10%
18,FCF Yield,-1.36%,-0.46%,-6.56%,-90.35%,-161.65%,-113.46%,-72.10%,-106.96%,115.14%,162.55%,22.74%
19,Buyback Yield / Dilution,-1075.96%,-1150.00%,-1001.92%,-,0.00%,-,-,-,1.07%,1.07%,-1.05%
20,Total Shareholder Return,-1075.96%,-1150.00%,-1001.92%,-,0.00%,-,-,-,1.07%,1.07%,-1.05%
