,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,418.92,739.69,783.64,676.92,600.75,926.9,888.75,733,672.1,772.49,759.62,787.98,693.22,1082,211.48,225.35,-,-,-
1,Trading Asset Securities,1639,1690,1586,1638,1627,1263,1391,1236,1238,1072,1062,953.87,1213,1138,1071,906.67,-,-,-
2,Cash & Short-Term Investments,2058,2430,2370,2315,2228,2190,2280,1969,1910,1845,1822,1742,1906,2221,1282,1132,-,-,475.75
3,Cash Growth,-7.63%,10.94%,3.95%,17.55%,16.62%,18.72%,25.15%,13.07%,0.21%,-16.91%,42.06%,53.87%,-,-,169.55%,-,-,-,-
4,Accounts Receivable,141.26,170.67,178.99,171.09,154.17,160.69,173.55,190.38,163.64,147.5,191.13,178.35,145.99,185.53,181.63,183.72,-,-,-
5,Other Receivables,65.49,70.1,64.51,67.57,70.43,75.38,73.3,72.21,80,83.84,75.1,88.47,88.17,94.65,80.03,92.78,-,-,-
6,Receivables,206.75,240.77,243.5,238.66,224.6,236.07,246.85,262.59,243.64,231.34,266.23,266.82,234.16,280.18,261.66,276.5,-,-,-
7,Inventory,1057,975.83,985.53,1018,1052,997.43,1048,1162,1274,1264,1306,1275,1196,944.8,914.74,944.19,-,-,-
8,Other Current Assets,120.11,100.89,81.85,76.06,80.84,72.99,67.94,58.07,74.22,123.91,162.33,162.85,179.76,140.94,157.71,157.97,-,-,-
9,Total Current Assets,3441,3747,3681,3647,3585,3497,3642,3452,3502,3464,3556,3447,3516,3586,2616,2511,-,-,-
10,"Property, Plant & Equipment",1098,1094,1071,1074,1067,1047,1035,1066,1050,1047,1041,1067,1014,1030,1049,835.88,-,-,-
11,Long-Term Investments,260.15,260.1,261.43,260.42,259.66,259.21,260.56,259.95,259.03,259.24,261,260.23,259.35,259.02,261.25,259.6,-,-,-
12,Other Intangible Assets,128.36,123.99,125.88,128.41,123.42,125.3,122.9,124.24,122.28,111.52,108.16,110.95,105.85,107.26,109.75,112.25,-,-,-
13,Long-Term Deferred Tax Assets,139.39,134.89,132.2,131.72,162.82,160.8,135.53,136.56,132.31,124.79,115.89,111.68,113.9,108.64,106.25,108.09,-,-,-
14,Long-Term Deferred Charges,78.82,67.21,70.78,78.77,79.23,76.6,78.61,84,79.66,80.16,82.98,98.24,94.64,91.55,95.08,107.03,-,-,-
15,Other Long-Term Assets,9.44,5.48,5.51,4.79,4.77,4.89,5.53,5.13,5.9,7.43,8,6.31,7.17,5.99,5.37,5.14,-,-,-
16,Total Assets,5155,5433,5348,5325,5282,5171,5280,5128,5150,5094,5173,5101,5110,5189,4243,3939,-,-,-
17,Accounts Payable,182.98,118.83,100.45,112.1,165.78,106.43,93.65,66.52,156.57,121.13,152.98,147.8,264.83,157.27,102.18,89.69,-,-,-
18,Accrued Expenses,79.97,155.09,84.89,201.95,97.6,167.49,101.4,173.86,86.55,157.13,81.88,166.35,103.46,174.98,106.9,208.78,-,-,-
19,Short-Term Debt,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Current Portion of Leases,125.92,114.23,108.3,125.01,121.3,118.89,118.76,135.59,141.8,132.6,126.29,141.43,142.87,141.31,-,-,-,-,-
21,Current Income Taxes Payable,21.16,5.47,27.55,2.41,23.05,0.72,31.37,0.09,33.34,1.36,27.11,1.46,27.06,1.02,33.37,0.12,-,-,-
22,Current Unearned Revenue,78.31,83.51,75.27,78.56,80.81,83.88,75.09,76.56,73.16,72.61,67.57,74.7,87.07,85.91,75.78,91.77,-,-,-
23,Other Current Liabilities,191.33,475.74,218.72,187.14,233.7,189.25,162.71,106.23,126.3,92.64,121.76,95.39,122.91,71.65,245.01,77.57,-,-,-
24,Total Current Liabilities,679.67,952.87,615.17,707.16,722.23,669.66,582.98,558.85,617.72,577.46,577.58,627.13,748.22,632.14,563.24,467.93,-,-,-
25,Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.94,-,-,-,-
26,Long-Term Leases,65.94,63.78,65.55,67.94,67.34,61.85,62.28,63.88,64.19,71.28,73.03,79.83,52.83,69.42,-,-,-,-,-
27,Long-Term Unearned Revenue,7.07,7.2,7.27,7.4,7.54,7.68,7.81,7.95,8.08,8.22,8.36,8.49,8.63,8.77,8.9,9.04,-,-,-
28,Long-Term Deferred Tax Liabilities,-,-,-,-,37.56,34.51,4.3,5.12,4.47,5.61,5.05,6.34,6.94,9.19,5.6,7.38,-,-,-
29,Total Liabilities,752.67,1024,687.99,782.51,834.66,773.7,657.37,635.8,694.47,662.58,664.02,721.79,816.61,719.51,660.68,484.35,-,-,-
30,Common Stock,406.56,408.12,408.12,408.12,408.12,408.12,400.01,400.01,400.01,400.01,400.01,400.01,400.01,400.01,360,360,-,-,-
