,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,5834,5029,5012,5356,6192,6832,6880,6520,6244,5988,6988,7232,9488,10360,13200,-,-,-,-,-
1,Market Cap Growth,-26.39%,-26.39%,-27.16%,-17.85%,-0.83%,14.09%,-1.55%,-9.85%,-34.19%,-42.20%,-47.06%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3989,2798,2838,3334,4170,4838,4792,4824,4548,4355,5374,5529,7785,8357,12008,-,-,-,-,-
3,Last Close Price,14.35,12.37,11.57,12.62,14.59,16.10,16.21,14.68,14.05,13.48,15.73,16.04,21.04,22.98,28.78,-,-,-,-,-
4,PE Ratio,26.56,-,18.69,18.76,20.26,26.20,27.93,32.21,30.45,23.16,29.08,20.90,27.52,26.09,24.50,-,-,-,-,-
5,Forward PE,-,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,12.05,15.92,-,-,-,-,-,-,-
6,PS Ratio,1.80,1.56,1.51,1.58,1.81,2.05,2.06,1.98,1.89,1.71,2.00,2.03,2.70,2.97,3.72,-,-,-,-,-
7,PB Ratio,1.33,1.14,1.14,1.15,1.36,1.54,1.56,1.41,1.39,1.34,1.58,1.60,2.17,2.41,2.95,-,-,-,-,-
8,P/TBV Ratio,1.18,1.18,1.18,1.19,1.41,1.59,1.62,1.45,1.43,1.38,1.62,1.65,2.23,2.48,3.03,-,-,-,-,-
9,P/FCF Ratio,21.21,-,13.53,11.83,8.63,10.09,9.77,9.51,14.11,26.13,169.91,62.51,-,-,20.09,-,-,-,-,-
10,P/OCF Ratio,10.06,10.06,8.27,7.78,6.81,7.85,7.43,7.29,9.26,12.74,28.71,23.18,-,-,17.19,-,-,-,-,-
11,EV/Sales Ratio,1.24,0.87,0.85,0.99,1.22,1.45,1.43,1.47,1.38,1.24,1.54,1.55,2.21,2.39,3.38,-,-,-,-,-
12,EV/EBITDA Ratio,10.13,11.09,9.45,9.75,11.22,16.06,15.36,19.45,-,11.74,16.94,13.30,17.87,19.14,20.49,-,-,-,-,-
13,EV/EBIT Ratio,23.37,-,12.83,12.87,14.61,22.87,21.44,30.20,-,15.28,-,16.77,22.31,23.96,23.87,-,-,-,-,-
14,EV/FCF Ratio,14.50,-,7.66,7.36,5.81,7.14,6.80,7.04,10.28,19.01,130.67,47.79,-,-,18.28,-,-,-,-,-
15,Debt / Equity Ratio,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04,0.05,0.05,0.05,0.02,-,-,-,-
16,Debt / EBITDA Ratio,0.49,2.69,0.37,0.33,0.22,0.72,0.28,0.28,0.34,0.67,0.51,0.29,0.19,2.13,0.25,0.11,-,-,-,-
17,Debt / FCF Ratio,0.70,-,0.48,0.38,0.27,0.28,0.26,0.26,0.45,0.90,4.96,1.72,-,-,0.32,0.15,-,-,-,-
18,Asset Turnover,0.48,0.57,0.66,0.71,0.56,0.63,0.71,0.66,0.59,0.60,0.73,0.82,0.57,0.71,0.88,-,-,-,-,
19,Inventory Turnover,1.05,0.86,1.13,1.12,1.30,0.97,1.16,1.09,1.14,0.76,0.93,0.87,1.18,0.91,1.30,1.15,-,-,-,-
20,Quick Ratio,3.33,3.33,2.80,4.25,3.61,3.40,3.62,4.33,3.99,3.49,3.60,3.61,3.20,2.86,3.96,2.74,3.01,-,-,-
21,Current Ratio,5.06,5.06,3.93,5.98,5.16,4.96,5.22,6.25,6.18,5.67,6.00,6.16,5.50,4.70,5.67,4.65,5.37,-,-,-
22,Return on Equity (ROE),-1.24%,4.12%,9.32%,6.89%,3.38%,5.84%,11.25%,2.85%,1.96%,1.82%,11.76%,7.97%,0.38%,12.56%,14.63%,-,-,-,-,
23,Return on Assets (ROA),-0.06%,1.14%,5.27%,1.92%,2.07%,2.98%,6.67%,-1.61%,2.70%,-0.07%,7.44%,3.84%,0.04%,5.18%,10.51%,-,-,-,-,
24,Return on Capital (ROIC),-0.07%,1.30%,5.88%,2.18%,2.35%,3.32%,7.31%,-1.77%,2.98%,-0.08%,8.21%,4.31%,0.04%,5.86%,12.08%,-,-,-,-,
25,Return on Capital Employed (ROCE),3.81%,-,4.94%,5.47%,6.18%,4.64%,4.97%,3.40%,-,6.29%,-,7.17%,7.80%,8.00%,11.04%,12.75%,11.95%,-,-,-
26,Earnings Yield,3.74%,4.34%,5.35%,5.33%,4.94%,3.82%,3.58%,3.10%,3.28%,4.32%,3.44%,4.79%,3.63%,3.83%,4.08%,-,-,-,-,-
27,FCF Yield,4.72%,5.47%,7.39%,8.46%,11.59%,9.91%,10.24%,10.51%,7.09%,3.83%,0.59%,1.60%,1.74%,4.16%,4.98%,-,-,-,-,-
28,Dividend Yield,5.15%,-,-,-,5.14%,-,-,-,5.34%,-,-,-,3.33%,-,1.56%,-,-,-,-,-
29,Payout Ratio,139.71%,-,-,-,-,34.02%,444.56%,-,-,-,481.56%,-,-,4878.97%,-,-,-,2.25%,40.39%,-
30,Buyback Yield / Dilution,-0.71%,-3.92%,1.68%,0.18%,-0.79%,2.28%,-0.67%,-1.00%,0.85%,-3.80%,-7.51%,-10.22%,-11.64%,-8.34%,-5.64%,1.57%,-,-,-,-
31,Total Shareholder Return,4.43%,-3.92%,1.68%,0.18%,4.35%,2.28%,-0.67%,-1.00%,6.19%,-3.80%,-7.51%,-10.22%,-8.31%,-8.34%,-4.08%,1.57%,-,-,-,-
