,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,657.85,743.8,879.3,909.96,747.09,810.75,922.6,819.36,765.9,751.66,935.1,1027,747.47,823.51,895.88,1006,801.76,746.42,787.79
1,Other Revenue,-22.9,22.9,-,37.52,-14.88,14.88,-,28.37,-14.2,14.2,-,25.18,-13.82,13.82,-,20.34,-10.75,10.75,-
2,Revenue,634.94,766.7,879.3,947.48,732.21,825.63,922.6,847.73,751.7,765.86,935.1,1052,733.65,837.33,895.88,1026,791.01,757.17,787.79
3,Revenue Growth (YoY),-13.28%,-7.14%,-4.69%,11.77%,-2.59%,7.81%,-1.34%,-19.41%,2.46%,-8.54%,4.38%,2.50%,-7.25%,10.59%,13.72%,-,-,-,-
4,Cost of Revenue,218.58,277.86,279.67,335.79,247.85,296.24,301.28,346.85,239.53,297.4,280.76,363.76,242.45,301.76,267.72,393.89,238.22,284.39,253.02
5,Gross Profit,416.37,488.84,599.63,611.69,484.35,529.4,621.32,500.88,512.17,468.45,654.34,688.21,491.2,535.57,628.17,632.38,552.79,472.78,534.77
6,"Selling, General & Admin",389.83,423.51,444.7,523.32,405.88,426.88,447.31,479.18,419.66,449.21,464.29,558.94,453.1,416.63,414.96,497.7,361.09,387.45,378.21
7,Research & Development,26.28,31.27,33.4,35.19,32.02,30.68,28.79,30.38,28.46,28.1,28.76,36.66,28.67,23.41,26.57,35.32,25.15,24.41,24.46
8,Other Operating Expenses,5.7,8.4,9.33,8.41,5.25,7.03,9.94,25.89,5.1,-4.87,6.67,16.03,7.12,3.62,7.93,23.7,7.84,1.19,7.79
9,Operating Expenses,417.58,464.32,487.12,570.89,441,467.08,482.42,533.96,456.75,469.96,501.53,609.83,490.4,437.81,456.14,554.1,397.69,409.05,417.08
10,Operating Income,-1.21,24.52,112.52,40.8,43.36,62.32,138.9,-33.08,55.42,-1.51,152.81,78.38,0.8,97.76,172.03,78.28,155.1,63.73,117.69
11,Interest Expense,-2.19,-1.24,-2.85,-1.7,-2.66,-2.33,-2.84,-1.77,-3.03,-2.62,-3.24,-3.01,-2.66,-2.88,-2.99,-,-,-,-
12,Interest & Investment Income,9.47,17.19,13.57,12.8,18.99,16.37,13.57,9.53,10.23,16.4,14.88,14.67,11.16,13.44,7.26,36.24,5.2,16.38,2.58
13,Currency Exchange Gain (Loss),1.2,-1.2,-,0.42,-2.13,2.13,-,1.96,-1.18,1.18,-,-0.22,0.13,-0.13,-,-0.16,-1.06,1.06,-
14,Other Non Operating Income (Expenses),-5.56,3.16,-1.7,-1.08,-1.22,0.06,-0.06,0.07,-0.25,-5.3,-0.33,-7.91,0.98,-2.88,-0.01,-2.08,-2.43,-1.7,-6.59
15,EBT Excluding Unusual Items,1.72,42.42,121.54,51.24,56.35,78.55,149.57,-23.29,61.19,8.14,164.12,81.91,10.41,105.31,176.29,112.28,156.81,79.48,113.68
16,Gain (Loss) on Sale of Investments,-0.06,5.27,-4.27,0.65,0.98,-2.19,-4,4.54,-8.36,2.92,-9.56,-5.34,-10.62,27.13,-12.43,38.9,4.99,-1.6,-6.23
17,Gain (Loss) on Sale of Assets,0.12,0.14,0.2,0.19,1.46,-1.43,-,-7.14,-0.09,0.11,-,-0.2,-0.03,0.09,-,-0.6,-,-0.02,0.04
18,Asset Writedown,-28.42,-1.74,1.74,16.91,-16.91,-0.11,0.11,30.78,-30.78,5.62,-5.62,5.59,-5.59,14.86,-14.86,-0.84,1.31,19.96,-20.42
19,Other Unusual Items,1.61,4.82,3.57,10.71,-,-,-,19.89,-,-,-,14.08,-,-,-,5.97,4.71,-4.71,-
20,Pretax Income,-25.03,50.91,122.78,79.71,41.87,74.82,145.68,24.78,21.96,16.79,148.93,96.04,-5.84,147.39,149.01,155.71,167.82,93.1,87.06
21,Income Tax Expense,-11.35,4.22,15.61,2.23,4.53,8.98,17.53,-7.05,0.22,-3.5,18.26,9.66,-9.97,20.98,20.37,17.92,22.43,12.11,7.27
22,Earnings From Continuing Operations,-13.68,46.69,107.16,77.48,37.34,65.84,128.15,31.83,21.74,20.29,130.67,86.38,4.13,126.41,128.64,137.79,145.38,80.99,79.79
23,Minority Interest in Earnings,0.33,0.66,0.14,-0.34,-0.93,-1.12,-0.75,0.44,0.22,0.47,-0.6,-0.6,-0.45,0.15,0.1,0.24,0.06,0.01,0.14
24,Net Income,-13.35,47.35,107.3,77.14,36.41,64.73,127.4,32.27,21.96,20.77,130.08,85.78,3.69,126.56,128.75,138.03,145.44,81.01,79.93
25,Net Income to Common,-13.35,47.35,107.3,77.14,36.41,64.73,127.4,32.27,21.96,20.77,130.08,85.78,3.69,126.56,128.75,138.03,145.44,81.01,79.93
26,Net Income Growth,-,-26.85%,-15.78%,139.05%,65.79%,211.70%,-2.06%,-62.38%,495.28%,-83.59%,1.03%,-37.86%,-97.46%,56.23%,61.07%,-,-,-,-
27,Shares Outstanding (Basic),418,396,397,406,402,402,398,403,412,400,394,406,397,372,358,364,366,352,363
28,Shares Outstanding (Diluted),418,396,397,406,402,402,398,403,412,400,394,406,397,372,358,364,366,352,363
29,Shares Change (YoY),3.92%,-1.68%,-0.18%,0.79%,-2.28%,0.67%,1.00%,-0.85%,3.80%,7.51%,10.22%,11.64%,8.34%,5.64%,-1.57%,-,-,-,-
30,EPS (Basic),-0.03,0.12,0.27,0.19,0.09,0.16,0.32,0.08,0.05,0.05,0.33,0.21,0.01,0.34,0.36,0.38,0.40,0.23,0.22
31,EPS (Diluted),-0.03,0.12,0.27,0.19,0.09,0.16,0.32,0.08,0.05,0.05,0.33,0.21,0.01,0.34,0.36,0.38,0.40,0.23,0.22
32,EPS Growth,-,-25.60%,-15.63%,137.17%,69.66%,209.63%,-3.03%,-62.06%,473.47%,-84.74%,-8.33%,-44.34%,-97.66%,47.89%,63.64%,-,-,-,-
33,Free Cash Flow,-20.54,87.44,86.84,121.35,74.73,169.98,351.57,81.06,101.89,150.87,108.68,-132.3,-86.12,225.43,157.99,133.42,140.09,134.87,208.25
34,Free Cash Flow Per Share,-0.05,0.22,0.22,0.30,0.19,0.42,0.88,0.20,0.25,0.38,0.28,-0.33,-0.22,0.61,0.44,0.37,0.38,0.38,0.57
35,Dividend Per Share,-,-,-,0.750,-,-,-,0.750,-,-,-,0.250,-,0.450,-,-,-,-,-
36,Dividend Growth,-,-,-,0%,-,-,-,200.00%,-,-,-,-,-,-,-,-,-,-,-
37,Gross Margin,65.58%,63.76%,68.19%,64.56%,66.15%,64.12%,67.34%,59.08%,68.13%,61.17%,69.97%,65.42%,66.95%,63.96%,70.12%,61.62%,69.88%,62.44%,67.88%
38,Operating Margin,-0.19%,3.20%,12.80%,4.31%,5.92%,7.55%,15.06%,-3.90%,7.37%,-0.20%,16.34%,7.45%,0.11%,11.68%,19.20%,7.63%,19.61%,8.42%,14.94%
39,Profit Margin,-2.10%,6.18%,12.20%,8.14%,4.97%,7.84%,13.81%,3.81%,2.92%,2.71%,13.91%,8.15%,0.50%,15.11%,14.37%,13.45%,18.39%,10.70%,10.15%
40,Free Cash Flow Margin,-3.23%,11.40%,9.88%,12.81%,10.21%,20.59%,38.11%,9.56%,13.55%,19.70%,11.62%,-12.58%,-11.74%,26.92%,17.64%,13.00%,17.71%,17.81%,26.43%
41,EBITDA,17.8,43.13,131.53,59.82,65.79,84.68,161.34,-10.64,76.61,20.67,174,99.57,22.97,119.04,194.2,100.45,172.24,84.61,134.83
42,EBITDA Margin,2.80%,5.63%,14.96%,6.31%,8.99%,10.26%,17.49%,-1.26%,10.19%,2.70%,18.61%,9.46%,3.13%,14.22%,21.68%,9.79%,21.77%,11.17%,17.11%
43,D&A For EBITDA,19.01,18.61,19.01,19.01,22.44,22.36,22.44,22.44,21.19,22.18,21.19,21.19,22.17,21.28,22.17,22.17,17.14,20.88,17.14
44,EBIT,-1.21,24.52,112.52,40.8,43.36,62.32,138.9,-33.08,55.42,-1.51,152.81,78.38,0.8,97.76,172.03,78.28,155.1,63.73,117.69
45,EBIT Margin,-0.19%,3.20%,12.80%,4.31%,5.92%,7.55%,15.06%,-3.90%,7.37%,-0.20%,16.34%,7.45%,0.11%,11.68%,19.20%,7.63%,19.61%,8.42%,14.94%
46,Effective Tax Rate,-,8.29%,12.71%,2.79%,10.81%,12.00%,12.03%,-,1.01%,-,12.26%,10.06%,-,14.24%,13.67%,11.51%,13.37%,13.01%,8.35%
47,Revenue as Reported,634.94,766.7,879.3,947.48,732.21,825.63,922.6,847.73,751.7,765.86,935.1,1052,733.65,837.33,895.88,1026,791.01,757.17,787.79
