,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,60,105,110,250,-,-
1,Market Cap Growth,-57.77%,-57.77%,-,-,-,-
2,Enterprise Value,-39,114,154,213,-,-
3,Last Close Price,0.10,0.18,0.23,0.52,-,-
4,PE Ratio,9.58,-,2.20,3.87,-,-
5,PS Ratio,0.03,0.06,0.05,0.13,-,-
6,PB Ratio,0.11,0.19,0.19,0.48,-,-
7,P/TBV Ratio,0.20,0.20,0.20,0.49,-,-
8,P/FCF Ratio,1.83,-,-0.66,-,-,-
9,P/OCF Ratio,2.76,2.92,-0.68,-,-,-
10,EV/Sales Ratio,0.07,0.07,0.07,0.11,-,-
11,EV/EBITDA Ratio,6.82,-,1.83,2.11,-,-
12,EV/EBIT Ratio,10.37,-,1.95,2.22,-,-
13,EV/FCF Ratio,-1.19,-,-0.92,-,-,-
14,Debt / Equity Ratio,0.23,0.23,0.23,0.31,0.43,-
15,Debt / FCF Ratio,3.84,-,-0.77,-,8.59,-
16,Return on Capital Employed (ROCE),1.99%,-,13.73%,18.22%,23.76%,-
17,Earnings Yield,8.79%,5.00%,45.38%,25.84%,-,-
18,FCF Yield,54.64%,29.06%,-151.94%,-24.08%,-,-
19,Buyback Yield / Dilution,-21.19%,-15.48%,-33.56%,-22.42%,-,-
20,Total Shareholder Return,-21.19%,-15.48%,-33.56%,-22.42%,-,-
