,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,56.42,59.61,71.6,151.66,-
1,Short-Term Investments,162.15,59.64,48.61,45.84,-
2,Cash & Short-Term Investments,218.57,119.25,120.21,197.5,-
3,Cash Growth,81.82%,-39.62%,-,-,-
4,Accounts Receivable,1870,1844,1662,1482,-
5,Other Receivables,0.32,-,20.6,12.67,-
6,Receivables,1870,1844,1682,1494,-
7,Inventory,4.36,0.8,0.54,0.83,-
8,Other Current Assets,107,45.1,84.83,51.21,-
9,Total Current Assets,2200,2009,1888,1744,-
10,"Property, Plant & Equipment",19.27,21.26,17.83,19.57,-
11,Other Intangible Assets,0.04,0.04,0.04,0.05,-
12,Long-Term Deferred Tax Assets,11.5,6.84,4.98,4.11,-
13,Other Long-Term Assets,9.09,-,-,-,-
14,Total Assets,2240,2037,1911,1768,-
15,Accounts Payable,934.37,823.59,716.55,803.36,-
16,Accrued Expenses,656.64,392.57,329.99,315.08,-
17,Short-Term Debt,55.74,57.16,12.62,15.17,-
18,Current Portion of Long-Term Debt,52.5,51.2,135.16,136.71,-
19,Current Portion of Leases,0.35,0.34,-,-,-
20,Current Income Taxes Payable,17.95,18.12,13.61,11.33,-
21,Current Unearned Revenue,10.53,9.5,50.57,17.27,-
22,Other Current Liabilities,-,164.74,164.43,105.67,-
23,Total Current Liabilities,1728,1517,1423,1405,-
24,Long-Term Debt,7.18,6.03,2.85,3.43,-
25,Long-Term Leases,1.3,1.46,-,-,-
26,Total Liabilities,1737,1525,1426,1408,-
27,Common Stock,5.13,4.25,4.25,0,-
28,Additional Paid-In Capital,116.07,102.79,102.59,-,-
29,Retained Earnings,293.21,315.11,288.41,270.13,-
30,Comprehensive Income & Other,79.67,79.67,79.67,79.67,-
31,Total Common Equity,494.09,501.82,474.92,349.81,-
32,Minority Interest,9.47,10.64,10.09,9.92,-
33,Shareholders' Equity,503.56,512.46,485.01,359.73,-
34,Total Liabilities & Equity,2240,2037,1911,1768,-
35,Total Debt,117.08,116.19,150.62,155.3,-
36,Net Cash (Debt),101.49,3.06,-30.42,42.2,-
37,Net Cash Growth,-,-92.76%,-,-,-
38,Net Cash Per Share,0.20,0.01,-0.07,0.12,-
39,Filing Date Shares Outstanding,576,480,480,0.1,360
40,Total Common Shares Outstanding,576,480,480,0.1,360
41,Working Capital,472.15,491.81,465.01,339.44,-
42,Book Value Per Share,0.86,1.05,0.99,3460.02,-
43,Tangible Book Value,494.05,501.78,474.88,349.76,-
44,Tangible Book Value Per Share,0.86,1.05,0.99,3459.57,-
45,Machinery,-,58.51,-,59.49,-
