,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,356.51,1271,681.36,1132,758.28
1,Revenue Growth (YoY),-47.68%,12.22%,-10.14%,-,-
2,Cost of Revenue,317.77,1134,601.87,1009,675.17
3,Gross Profit,38.74,136.67,79.49,123.45,83.11
4,"Selling, General & Admin",34.94,91.75,37.23,71.31,46.23
5,Operating Expenses,63.43,101.76,43,71.03,49.25
6,Operating Income,-24.69,34.91,36.49,52.42,33.86
7,Interest Expense,-2.74,-3.73,-4.05,-4.97,-2.44
8,Interest & Investment Income,0.09,0.19,0.28,0.34,0.16
9,Other Non Operating Income (Expenses),-0,-0.51,-10.96,-1.8,-4.05
10,EBT Excluding Unusual Items,-27.35,30.85,21.75,45.99,27.53
11,Gain (Loss) on Sale of Assets,0,-0.01,-,-,-
12,Other Unusual Items,0.51,0.05,0.21,0.04,0.17
13,Pretax Income,-26.84,30.9,21.95,46.03,27.7
14,Income Tax Expense,-4.13,3.89,2.96,4.49,3.75
15,Earnings From Continuing Operations,-22.71,27,18.99,41.53,23.95
16,Minority Interest in Earnings,1.16,-0.55,-0.17,-0.67,-0.35
17,Net Income,-21.55,26.45,18.82,40.87,23.6
18,Net Income to Common,-21.55,26.45,18.82,40.87,23.6
19,Net Income Growth,-,-35.27%,-20.25%,-,-
20,Shares Outstanding (Basic),509,481,441,360,360
21,Shares Outstanding (Diluted),509,481,441,360,360
22,Shares Change (YoY),15.48%,33.56%,22.42%,-,-
23,EPS (Basic),-0.04,0.06,0.04,0.11,0.07
24,EPS (Diluted),-0.04,0.06,0.04,0.11,0.07
25,EPS Growth,-,-51.53%,-34.85%,-,-
26,Free Cash Flow,-0.3,28.81,-180.41,124.78,-106.69
27,Free Cash Flow Per Share,-0.00,0.06,-0.41,0.35,-0.30
28,Operating Margin,-6.93%,2.75%,5.36%,4.63%,4.47%
29,Profit Margin,-6.05%,2.08%,2.76%,3.61%,3.11%
30,Free Cash Flow Margin,-0.08%,2.27%,-26.48%,11.02%,-14.07%
31,EBITDA,-22.32,37.85,38.31,55.24,36.08
32,D&A For EBITDA,2.38,2.94,1.82,2.82,2.22
33,EBIT,-24.69,34.91,36.49,52.42,33.86
