,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1883,737,1663,2285,5359,6114,23698,-,-,-
1,Market Cap Growth,-67.74%,-67.74%,-68.97%,-62.62%,-77.38%,-,-,-,-,-
2,Enterprise Value,-733,-2242,-1335,-1131,1551,1984,29354,-,-,-
3,Last Close Price,2.59,1.01,2.28,3.14,7.37,8.46,32.90,-,-,-
4,PE Ratio,-,-,-8.63,-,-,-,-,-,-,-
5,PS Ratio,45.80,17.88,26.80,15.73,38.77,69.81,208.62,-,-,-
6,PB Ratio,0.62,0.24,0.49,0.69,1.50,1.66,5.83,-,-,-
7,P/TBV Ratio,0.26,0.26,0.53,0.71,1.56,1.64,5.79,-,-,-
8,EV/Sales Ratio,-,-,-,-,11.22,22.65,258.41,-,-,-
9,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.01,0.01,-1.33,-1.40,-
10,Earnings Yield,-15.15%,-38.69%,-11.58%,-15.44%,-10.22%,-29.85%,-21.57%,-,-,-
11,FCF Yield,-26.64%,-68.03%,-39.35%,-27.48%,-10.47%,-10.45%,-4.56%,-,-,-
12,Buyback Yield / Dilution,-0.40%,-0.31%,-0.49%,-0.79%,-6.74%,-263.18%,-250.59%,-5.31%,-,-
13,Total Shareholder Return,-0.40%,-0.31%,-0.49%,-0.79%,-6.74%,-263.18%,-250.59%,-5.31%,-,-
