,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,656.26,489.65,487.49,1191,2966,2855,1445,1035,-
1,Short-Term Investments,1731,2171,2251,1807,253.28,499.65,-,20,-
2,Cash & Short-Term Investments,2387,2661,2739,2997,3219,3355,1445,1055,-
3,Cash Growth,-12.86%,-11.23%,-14.93%,-10.65%,122.83%,218.00%,-,-,-
4,Other Receivables,-,71.09,83.11,57.72,59.92,51.52,34.29,24.8,-
5,Receivables,-,71.09,83.11,57.72,59.92,51.52,34.29,24.8,-
6,Other Current Assets,172.58,51.03,26.29,21.79,13.59,7.68,10.03,13.08,-
7,Total Current Assets,2559,2783,2848,3077,3293,3414,1489,1093,-
8,"Property, Plant & Equipment",2.12,5.61,12.57,19.52,26.48,33.44,42.09,43.92,-
9,Long-Term Investments,23.12,142.44,190.08,146.03,141.42,152.03,124.29,116.55,-
10,Other Intangible Assets,268.88,267.42,145.12,146.89,8.15,9.51,10.86,12.22,-
11,Other Long-Term Assets,43.14,-,2.26,2.51,2.79,2.79,3.03,2.41,-
12,Total Assets,2897,3198,3198,3392,3472,3612,1669,1268,-
13,Accrued Expenses,35.04,68.63,70.91,150.87,258.14,205.83,98.22,486.67,-
14,Current Portion of Leases,1.1,3.16,8,9.5,9.27,8.97,9.25,8.02,-
15,Current Income Taxes Payable,1.62,2.01,1.31,1.86,1.28,1.65,1.18,1.02,-
16,Current Unearned Revenue,28.83,50.63,17.71,54.68,27.84,52.88,26.8,69.82,-
17,Other Current Liabilities,1.11,1.44,13.66,12.2,11.82,11.38,17.8,9.7,-
18,Total Current Liabilities,67.7,125.87,111.58,229.11,308.35,280.71,153.24,575.24,-
19,Long-Term Debt,-,-,-,-,-,-,6125,2403,-
20,Long-Term Leases,0.8,-,-,3.16,8.2,12.65,18.17,20.31,-
21,Long-Term Unearned Revenue,-,-,-,2.08,4.58,7.08,9.58,12.08,-
22,Other Long-Term Liabilities,17.82,-,-,-,-,-,-,-,-
23,Total Liabilities,86.31,125.87,111.58,234.35,321.14,300.44,6306,3011,-
24,Common Stock,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,-
25,Additional Paid-In Capital,9381,9377,9355,9352,9329,9317,79.6,74.33,-
26,Retained Earnings,-6978,-6697,-6712,-6522,-6385,-6038,-4827,-1874,-
27,Treasury Stock,-0.07,-0.07,-,-,-,-,-,-,-
28,Comprehensive Income & Other,456.14,439.28,487.53,364.69,257.04,63.71,115.67,61.42,-
29,Total Common Equity,2860,3119,3131,3195,3200,3343,-4632,-1738,-
30,Minority Interest,-49.36,-46.66,-44.03,-37.12,-49.68,-31.65,-4.82,-4.41,-
31,Shareholders' Equity,2810,3072,3087,3157,3151,3311,-4637,-1743,-
32,Total Liabilities & Equity,2897,3198,3198,3392,3472,3612,1669,1268,-
33,Total Debt,1.9,3.16,8,12.66,17.47,21.62,6153,2431,-
34,Net Cash (Debt),2385,2658,2731,2985,3202,3333,-4708,-1376,-
35,Net Cash Growth,-12.67%,-10.96%,-14.71%,-10.45%,-,-,-,-,-
36,Net Cash Per Share,3.27,3.65,3.75,4.12,4.44,4.91,-23.69,-7.10,-
37,Filing Date Shares Outstanding,729.99,729.39,727.82,727.2,722.71,720.29,108.65,706.2,188.72
38,Total Common Shares Outstanding,729.99,729.39,727.82,727.2,722.71,720.29,108.65,108.65,188.72
39,Working Capital,2492,2657,2737,2848,2985,3133,1336,517.61,-
40,Book Value Per Share,3.92,4.28,4.30,4.39,4.43,4.64,-42.63,-16.00,-
41,Tangible Book Value,2591,2852,2986,3048,3192,3333,-4643,-1751,-
42,Tangible Book Value Per Share,3.55,3.91,4.10,4.19,4.42,4.63,-42.73,-16.11,-
43,Machinery,-,0.34,-,0.34,-,0.34,-,0.34,-
44,Leasehold Improvements,-,24.84,-,24.84,-,24.84,-,23.81,-
