,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Operating Revenue,-,-,0.62,51.63,-,-,-,-,-
1,Other Revenue,22.16,16.23,39.48,42.77,27.89,46.88,45.66,61.11,21.11
2,Revenue,22.16,16.23,40.1,94.39,27.89,46.88,45.66,61.11,21.11
3,Revenue Growth (YoY),-44.75%,-82.81%,43.79%,101.34%,-38.93%,-23.29%,116.35%,-,-
4,Gross Profit,22.16,16.23,40.1,94.39,27.89,46.88,45.66,61.11,21.11
5,"Selling, General & Admin",78.63,93.72,104.2,84.65,110.84,140.41,67.99,62.23,41.17
6,Research & Development,126.17,200.53,202.18,182.15,258.48,337,157.61,610.05,265.74
7,Operating Expenses,237.75,294.25,306.38,266.8,369.33,477.42,225.6,672.28,306.91
8,Operating Income,-215.6,-278.02,-266.28,-172.4,-341.44,-430.54,-179.94,-611.17,-285.8
9,Interest Expense,-0.99,-0.24,-0.25,-0.37,-0.48,-0.28,-0.89,-0.83,-0.83
10,Interest & Investment Income,48.72,61.64,46.38,26.86,10.34,5.87,0.62,0.66,1.75
11,Currency Exchange Gain (Loss),-1.04,138.38,-16.79,-4.13,-39.85,0.33,-0.06,-9.46,2.48
12,Other Non Operating Income (Expenses),-,-,-,-,-,2752,-2752,27.7,-27.7
13,EBT Excluding Unusual Items,-168.9,-78.24,-236.94,-150.04,-371.43,2327,-2932,-593.1,-310.11
14,Gain (Loss) on Sale of Investments,-114.33,90.7,45.55,25.88,5.81,44.74,0.06,-16.9,1.88
15,Asset Writedown,-,-,-5.43,-,-,-,-,-,-
16,Other Unusual Items,-,-,-,-,-,-3609,-21.78,-365.28,-
17,Pretax Income,-283.24,12.46,-196.83,-124.17,-365.61,-1238,-2954,-975.28,-308.23
18,Earnings From Continuing Operations,-283.24,12.46,-196.83,-124.17,-365.61,-1238,-2954,-975.28,-308.23
19,Minority Interest in Earnings,2.7,2.63,6.91,-12.56,18.03,26.83,0.4,93.91,-0
20,Net Income,-280.54,15.09,-189.92,-136.73,-347.59,-1211,-2953,-881.37,-308.23
21,Net Income to Common,-280.54,15.09,-189.92,-136.73,-347.59,-1211,-2953,-881.37,-308.23
22,Shares Outstanding (Basic),730,729,727,725,722,679,199,194,189
23,Shares Outstanding (Diluted),730,729,727,725,722,679,199,194,189
24,Shares Change (YoY),0.31%,0.49%,0.79%,6.74%,263.18%,250.59%,5.31%,-,-
25,EPS (Basic),-0.38,0.02,-0.26,-0.19,-0.48,-1.78,-14.86,-4.55,-1.63
26,EPS (Diluted),-0.38,0.02,-0.26,-0.19,-0.48,-1.78,-14.86,-4.55,-1.63
27,Free Cash Flow,-226.55,-240.25,-353.76,-227.34,-268.94,-276.75,-603.74,-191.95,-211.77
28,Free Cash Flow Per Share,-0.31,-0.33,-0.49,-0.31,-0.37,-0.41,-3.04,-0.99,-1.12
29,Operating Margin,-973.14%,-1713.53%,-664.09%,-182.64%,-1224.46%,-918.34%,-394.09%,-1000.07%,-1354.20%
30,Profit Margin,-1266.24%,92.99%,-473.64%,-144.85%,-1246.50%,-2582.38%,-6467.76%,-1442.20%,-1460.45%
31,Free Cash Flow Margin,-1022.58%,-1480.76%,-882.26%,-240.84%,-964.48%,-590.31%,-1322.24%,-314.08%,-1003.41%
32,EBITDA,-213.28,-275.2,-262.11,-168.03,-337.47,-426.63,-176.17,-607.4,-283.39
33,D&A For EBITDA,2.32,2.82,4.17,4.38,3.97,3.91,3.77,3.77,2.41
34,EBIT,-215.6,-278.02,-266.28,-172.4,-341.44,-430.54,-179.94,-611.17,-285.8
