,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,177,151,369,338,454,631,575,158,77,59,228,Upgrade
1,Market Cap Growth,-55.45%,-55.45%,-18.64%,-46.34%,-21.04%,299.40%,649.52%,166.15%,-66.40%,-78.33%,-11.76%,Upgrade
2,Enterprise Value,106,32,272,228,342,483,488,77,15,-13,128,Upgrade
3,Last Close Price,0.12,0.10,0.24,0.22,0.29,0.41,0.39,0.17,0.08,0.08,0.30,Upgrade
4,PE Ratio,7.94,-,9.22,-,-,-,-,-,-,-,-,Upgrade
5,PS Ratio,4.14,3.53,5.57,3.26,3.54,3.85,2.87,0.86,0.44,0.30,1.13,Upgrade
6,PB Ratio,0.86,0.74,1.52,1.86,2.23,2.96,2.24,0.61,0.30,0.20,0.74,Upgrade
7,P/TBV Ratio,0.74,0.74,1.51,1.85,2.23,2.91,2.24,0.61,0.30,0.20,0.74,Upgrade
8,P/FCF Ratio,-,-,-,-126.02,-,-,-,-,-,-,-,Upgrade
9,P/OCF Ratio,-,-,-,-126.02,-,-,-,-,-,-,-,Upgrade
10,EV/Sales Ratio,2.48,0.76,4.10,2.19,2.67,2.95,2.44,0.42,0.09,-,0.63,Upgrade
11,EV/EBIT Ratio,5.81,1.78,16.11,-,-,-,-,-,-,-,-,Upgrade
12,EV/FCF Ratio,-,-,-,-84.81,-,-,-,-,-,-,-,Upgrade
13,Debt / Equity Ratio,0.02,0.02,0.01,0.02,0.02,0.02,0.02,0.03,0.02,0.01,0.01,Upgrade
14,Debt / FCF Ratio,-,-,-,-1.20,-,-,-,-,-,-,-,Upgrade
15,Return on Capital Employed (ROCE),8.83%,8.83%,6.93%,-,-,-,-,-,-,-,-,Upgrade
16,Earnings Yield,12.60%,14.78%,10.85%,-9.98%,-12.56%,-16.18%,-10.22%,-36.90%,-91.42%,-52.77%,-18.74%,Upgrade
17,FCF Yield,-7.65%,-7.65%,-0.88%,-0.79%,-6.04%,-5.56%,-4.27%,-16.49%,-30.86%,-35.90%,-14.18%,Upgrade
18,Buyback Yield / Dilution,0.01%,-,0.02%,-1.94%,-10.23%,-65.32%,-57.80%,-20.00%,-16.28%,-,-0.00%,Upgrade
19,Total Shareholder Return,0.01%,-,0.02%,-1.94%,-10.23%,-65.32%,-57.80%,-20.00%,-16.28%,-,-0.00%,Upgrade
