,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,99.7,95.98,42.78,110.05,94.34,95.85,47.37,128.24,108.73,102.09,111.28,76.9,122.3,157.03,141.66,95.07,136.58,122.1,108.5,92.01
1,Other Revenue,-11.1,11.1,-,-,-2.91,2.91,-,-,-12.61,12.61,-,12.33,-2.9,2.9,-,4.61,-1.94,1.84,0.1,0.96
2,Revenue,88.61,107.08,42.78,110.05,91.43,98.76,47.37,128.24,96.13,114.69,111.28,89.23,119.41,159.93,141.66,99.69,134.63,123.95,108.6,92.97
3,Revenue Growth (YoY),-3.09%,8.42%,-9.69%,-14.18%,-4.88%,-13.89%,-57.43%,43.72%,-19.50%,-28.28%,-21.45%,-10.49%,-11.31%,29.03%,30.44%,7.23%,-,-,-,-
4,Cost of Revenue,51.14,65.09,22.98,79.11,58.13,66.21,31.66,87.06,54.95,67.13,71.35,67.41,64.26,88.41,74.51,59.13,67.99,74.03,64.59,23.09
5,Gross Profit,37.46,41.99,19.79,30.94,33.3,32.55,15.71,41.18,41.18,47.56,39.93,21.82,55.15,71.52,67.15,40.56,66.65,49.92,44.01,69.88
6,"Selling, General & Admin",11.84,13.5,11.67,12.4,10.78,12.06,7.78,9.34,15.6,11.98,10.12,3.41,19.4,13.09,10.86,11.64,14.63,12.64,8.3,35.05
7,Research & Development,4.5,4.27,5.41,5.97,6.68,4.09,4.08,5.56,5.99,5.72,6.2,6.75,4.72,4.79,4.63,6.94,4.73,5.18,2.82,11.98
8,Other Operating Expenses,1.41,0.63,0.31,-1.08,-0.97,1.16,0.76,3.13,1.11,1.54,0.49,1.49,0.48,1.87,1.11,0.53,1.21,0.7,0.62,3.9
9,Operating Expenses,17.08,20.54,17.72,15.52,16.22,19.94,13.42,14.14,22.75,21.05,19.79,6.53,27.84,18.47,20.79,14.59,22.89,18.39,13.29,48.92
10,Operating Income,20.38,21.44,2.07,15.42,17.08,12.61,2.29,27.05,18.43,26.51,20.14,15.3,27.31,53.05,46.36,25.97,43.76,31.53,30.72,20.96
11,Interest Expense,-0.25,-0.19,-0.35,-0.16,-0.49,-0.3,-,-,-0.09,-0.04,-,-0.28,-0.37,-0.37,-0.37,-0.43,-0.87,-1.23,-0.49,-2.71
12,Interest & Investment Income,3.18,4.39,3.54,3.71,4.04,3.42,2.67,2.16,4.21,1.69,2.23,2.03,1.59,0.54,0.33,0.1,0.02,0.13,0.03,0.2
13,Currency Exchange Gain (Loss),0.29,-0.29,-,0.88,-1.11,1.11,-,0.13,-0.05,0.05,-,-1.33,0.66,-0.66,-,0.2,-0.05,0.38,-0.33,0.21
14,Other Non Operating Income (Expenses),0.33,0.25,-0.29,-1.37,0.83,0.24,0.14,-0.59,0.26,0.26,0.11,-2.98,2.64,0.39,-0.21,3.52,0.19,0.21,-0.04,-0.09
15,EBT Excluding Unusual Items,23.93,25.6,4.97,18.48,20.35,17.08,5.1,28.75,22.75,28.48,22.48,12.75,31.83,52.95,46.12,29.36,43.05,31.01,29.89,18.55
16,Gain (Loss) on Sale of Assets,-,0.05,-,-0.03,-,0.08,-0.04,-,-,-,-,-,0.1,-0.1,-,-0.03,-,-,-,-
17,Asset Writedown,-1.5,0.1,-0.1,-0.23,0.3,-0.28,0.21,-1.4,1.4,-0.82,0.82,1.53,-1.64,0.88,-0.88,0.89,-0.88,-,-0.01,0.01
18,Other Unusual Items,-1.42,1.93,-,-0.43,-0.17,0.17,-,3.06,0.05,-0.05,-,5.66,4.03,-4.03,-,1.93,0.64,-2.49,1.85,2.7
19,Pretax Income,21.01,27.67,4.88,17.79,20.48,17.05,5.27,30.4,24.21,27.61,23.3,19.95,34.31,49.7,45.25,32.15,42.81,28.52,31.73,21.26
20,Income Tax Expense,3.14,3.89,0.47,1.78,0.83,3.28,0.46,5.51,2.2,4.15,2.85,2.13,5.39,7.6,7.19,4.42,7.2,4.6,4.56,3.1
21,Earnings From Continuing Operations,17.87,23.78,4.4,16.01,19.65,13.77,4.81,24.89,22.01,23.46,20.44,17.82,28.92,42.1,38.05,27.73,35.61,23.92,27.17,18.16
22,Minority Interest in Earnings,0.03,0.09,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Net Income,17.9,23.86,4.4,16.01,19.65,13.77,4.81,24.89,22.01,23.46,20.44,17.82,28.92,42.1,38.05,27.73,35.61,23.92,27.17,18.16
24,Net Income to Common,17.9,23.86,4.4,16.01,19.65,13.77,4.81,24.89,22.01,23.46,20.44,17.82,28.92,42.1,38.05,27.73,35.61,23.92,27.17,18.16
25,Net Income Growth,-8.92%,73.32%,-8.42%,-35.70%,-10.72%,-41.33%,-76.49%,39.71%,-23.91%,-44.27%,-46.27%,-35.73%,-18.77%,76.05%,40.05%,52.65%,-,-,-,-
26,Shares Outstanding (Basic),89,163,143,161,144,166,156,154,159,153,156,155,79,193,118,116,119,115,118,117
27,Shares Outstanding (Diluted),89,163,143,161,144,166,156,154,159,153,156,155,79,193,118,116,119,115,118,117
28,Shares Change (YoY),-37.82%,-1.53%,-8.42%,4.46%,-9.43%,8.67%,0.06%,-0.71%,100.47%,-21.03%,32.42%,33.30%,-33.52%,67.65%,0.04%,-0.58%,-,-,-,-
29,EPS (Basic),0.20,0.15,0.03,0.10,0.14,0.08,0.03,0.16,0.14,0.15,0.13,0.11,0.37,0.22,0.32,0.24,0.30,0.21,0.23,0.16
30,EPS (Diluted),0.20,0.15,0.03,0.10,0.14,0.08,0.03,0.16,0.14,0.15,0.13,0.11,0.37,0.22,0.32,0.24,0.30,0.21,0.23,0.16
31,EPS Growth,46.48%,76.02%,0%,-38.44%,-1.42%,-46.01%,-76.51%,40.71%,-62.04%,-29.43%,-59.42%,-51.79%,22.19%,5.01%,39.99%,53.53%,-,-,-,-
32,Free Cash Flow,2.98,46.3,-36.04,-8.66,13.25,17.73,-63.96,148.92,22.63,-21.23,-49.34,188.67,-4.35,-17.41,-53.69,125.38,6.49,10.81,-43.98,-
33,Free Cash Flow Per Share,0.03,0.28,-0.25,-0.05,0.09,0.11,-0.41,0.97,0.14,-0.14,-0.32,1.22,-0.05,-0.09,-0.46,1.08,0.05,0.09,-0.37,-
34,Dividend Per Share,-,-,-,0.254,-,-,-,0.169,-,-,-,0.115,-,-,-,-,-,-,-,0.192
35,Dividend Growth,-,-,-,50.00%,-,-,-,46.62%,-,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,42.28%,39.21%,46.27%,28.12%,36.42%,32.96%,33.17%,32.11%,42.84%,41.47%,35.88%,24.46%,46.19%,44.72%,47.40%,40.69%,49.50%,40.27%,40.53%,75.16%
37,Operating Margin,23.00%,20.03%,4.85%,14.01%,18.68%,12.77%,4.84%,21.09%,19.17%,23.12%,18.10%,17.14%,22.87%,33.17%,32.73%,26.05%,32.50%,25.43%,28.29%,22.54%
38,Profit Margin,20.20%,22.29%,10.29%,14.55%,21.49%,13.94%,10.15%,19.41%,22.89%,20.46%,18.37%,19.97%,24.22%,26.33%,26.86%,27.81%,26.45%,19.30%,25.02%,19.54%
39,Free Cash Flow Margin,3.36%,43.24%,-84.26%,-7.87%,14.49%,17.95%,-135.03%,116.12%,23.54%,-18.51%,-44.33%,211.44%,-3.64%,-10.89%,-37.90%,125.78%,4.82%,8.72%,-40.50%,-
40,EBITDA,24.55,25.89,6.24,19.59,21.19,16.99,6.39,31.15,21.55,30.51,23.27,18.42,30.09,55.82,49.14,28.76,46.46,34.23,33.43,23.15
41,EBITDA Margin,27.71%,24.18%,14.60%,17.80%,23.17%,17.20%,13.50%,24.29%,22.42%,26.60%,20.91%,20.65%,25.20%,34.91%,34.69%,28.85%,34.51%,27.62%,30.78%,24.90%
42,D&A For EBITDA,4.17,4.45,4.17,4.17,4.1,4.38,4.1,4.1,3.13,3.99,3.13,3.13,2.78,2.78,2.78,2.78,2.7,2.7,2.7,2.19
43,EBIT,20.38,21.44,2.07,15.42,17.08,12.61,2.29,27.05,18.43,26.51,20.14,15.3,27.31,53.05,46.36,25.97,43.76,31.53,30.72,20.96
44,EBIT Margin,23.00%,20.03%,4.85%,14.01%,18.68%,12.77%,4.84%,21.09%,19.17%,23.12%,18.10%,17.14%,22.87%,33.17%,32.73%,26.05%,32.50%,25.43%,28.29%,22.54%
45,Effective Tax Rate,14.96%,14.08%,9.73%,10.02%,4.07%,19.23%,8.74%,18.12%,9.08%,15.01%,12.24%,10.67%,15.70%,15.28%,15.90%,13.75%,16.82%,16.14%,14.37%,14.57%
46,Revenue as Reported,88.61,107.08,42.78,110.05,91.43,98.76,47.37,128.24,96.13,114.69,111.28,89.23,119.41,159.93,141.66,-,134.63,123.95,108.6,370.63
