,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,3362,3577,2020,2020,2647,2756,2407,2516,2366,2134,2238,2669,3110,3187,5177,-,-,-,-,-,-
1,Market Cap Growth,29.77%,29.77%,-16.10%,-19.74%,11.87%,29.19%,7.56%,-5.71%,-23.92%,-33.06%,-56.77%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2756,2938,1431,1398,2021,2147,1793,1841,1840,1634,1700,2082,2723,2770,5123,-,-,-,-,-,-
3,Last Close Price,21.55,22.93,12.68,12.68,16.62,17.31,15.12,15.62,14.69,13.24,13.89,16.43,19.15,19.62,31.86,-,-,-,-,-,-
4,PE Ratio,48.23,57.54,31.60,37.52,48.82,43.67,36.77,33.48,26.06,25.48,24.69,24.42,24.51,23.30,36.08,-,-,-,-,-,-
5,PS Ratio,8.60,10.26,5.75,5.89,7.62,7.54,6.50,6.51,5.25,5.19,5.15,5.56,6.10,6.12,9.66,-,-,-,-,-,-
6,PB Ratio,3.29,3.50,1.93,1.99,2.62,2.78,2.48,2.57,2.43,2.25,2.42,2.91,3.47,3.63,6.07,-,-,-,-,-,-
7,P/TBV Ratio,3.63,3.63,2.01,2.07,2.71,2.88,2.56,2.65,2.51,2.33,2.50,3.02,3.60,3.77,6.32,-,-,-,-,-,-
8,P/FCF Ratio,734.57,781.61,136.04,-,-,23.78,19.21,-,23.43,15.16,-,-,27.47,-,-,-,-,-,-,-,-
9,P/OCF Ratio,167.60,167.60,66.05,-,-,20.48,17.06,-,21.68,14.69,-,-,19.88,31.02,-,-,-,-,-,-,-
10,EV/Sales Ratio,7.91,8.43,4.07,4.07,5.82,5.87,4.84,4.76,4.09,3.97,3.91,4.34,5.34,5.32,9.56,-,-,-,-,-,-
11,EV/EBITDA Ratio,37.31,38.51,19.62,21.83,31.51,28.35,23.57,20.54,17.28,17.43,16.62,16.32,17.74,16.91,28.43,-,-,-,-,-,-
12,EV/EBIT Ratio,48.37,49.52,25.54,29.62,42.64,36.37,29.70,24.78,19.97,20.33,19.05,17.98,19.17,18.14,30.29,-,-,-,-,-,-
13,EV/FCF Ratio,602.15,641.90,96.38,-,-,18.52,14.31,-,18.22,11.61,-,-,24.05,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.05,0.05,0.09,0.10,-,0.17,0.21,0.21
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,0.33,0.18,0.20,0.35,-,0.41,0.47,0.68
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.41,-,-1.68,-,-
17,Asset Turnover,0.29,0.36,0.14,0.36,0.31,0.35,0.17,0.45,0.34,0.41,0.41,0.33,0.43,0.71,0.87,-,-,-,-,-,
18,Inventory Turnover,1.81,1.53,2.01,0.80,3.05,2.22,2.54,1.30,3.28,1.79,2.25,2.28,2.03,2.06,2.77,2.10,-,-,-,-,-
19,Quick Ratio,4.72,4.72,4.99,4.87,4.07,4.38,4.90,5.36,4.93,4.13,3.93,4.17,4.03,3.11,3.01,1.34,1.16,-,0.96,-,0.80
20,Current Ratio,5.51,5.51,5.77,5.66,4.55,4.96,5.55,6.09,5.49,4.79,4.59,4.82,4.86,3.82,3.50,1.95,1.89,-,1.49,-,1.34
21,Return on Equity (ROE),6.91%,9.23%,1.74%,6.40%,8.01%,5.64%,1.96%,10.34%,9.39%,10.19%,9.03%,8.04%,13.38%,26.06%,36.22%,-,-,30.12%,36.03%,-,
22,Return on Assets (ROA),4.20%,4.45%,0.43%,3.18%,3.67%,2.77%,0.50%,5.90%,4.06%,5.95%,4.63%,3.50%,6.14%,14.78%,17.86%,-,-,-,-,-,
23,Return on Capital (ROIC),4.93%,5.20%,0.51%,3.85%,4.35%,3.23%,0.59%,7.02%,4.91%,7.19%,5.56%,4.22%,7.55%,19.33%,25.18%,-,-,20.91%,21.07%,-,
24,Return on Capital Employed (ROCE),5.54%,5.77%,5.34%,4.62%,4.66%,5.92%,6.18%,7.53%,9.38%,8.41%,9.57%,12.55%,15.75%,17.28%,19.69%,33.03%,32.42%,-,24.37%,-,6.77%
25,Earnings Yield,1.85%,1.74%,3.16%,2.67%,2.05%,2.29%,2.72%,2.99%,3.84%,3.92%,4.05%,4.10%,4.08%,4.29%,2.77%,-,-,-,-,-,-
26,FCF Yield,0.14%,0.13%,0.74%,-0.68%,-1.57%,4.21%,5.21%,3.43%,4.27%,6.60%,5.08%,4.41%,3.64%,1.57%,1.17%,-,-,-,-,-,-
27,Dividend Yield,1.15%,-,-,-,1.53%,-,-,-,1.15%,-,-,-,0.60%,-,-,-,-,-,-,-,-
28,Payout Ratio,63.70%,221.28%,-,-,-,-,191.75%,-,7.38%,-,68.89%,-,-,-,-,-,1.54%,13.22%,77.64%,1.42%,-
29,Buyback Yield / Dilution,10.20%,37.82%,1.53%,8.42%,-4.46%,9.43%,-8.67%,-0.06%,0.71%,-100.47%,21.03%,-32.42%,-33.30%,33.52%,-67.65%,-0.04%,0.58%,-,-,-,-
30,Total Shareholder Return,11.35%,37.82%,1.53%,8.42%,-2.93%,9.43%,-8.67%,-0.06%,1.86%,-100.47%,21.03%,-32.42%,-32.70%,33.52%,-67.65%,-0.04%,0.58%,-,-,-,-
