,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,264.94,193.57,123.34,259.05,188.77,256.96,244.12,344.79,222.53,94.79,477.62,526.55,427.55,442.47,58.93,148.2,-,16.35,-,68.49
1,Short-Term Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,15,35,-,-,-,-,-
2,Trading Asset Securities,341.31,446.07,465.5,363,437,352.5,370,331.1,304,404.9,60,60,-,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,606.25,639.64,588.84,622.05,625.77,609.46,614.12,675.89,526.53,499.69,537.62,586.55,427.55,457.47,93.93,148.2,-,16.35,68.49,68.49
4,Cash Growth,-3.12%,4.95%,-4.12%,-7.97%,18.85%,21.97%,14.23%,15.23%,23.15%,9.23%,472.37%,295.79%,-,2698.54%,37.14%,116.38%,-,-,-,-
5,Accounts Receivable,224.4,208.05,226.19,265.64,216.97,191.74,178.39,144.83,256.25,259.63,203.78,104.64,277.88,301.83,218.17,85.23,-,227.06,-,160.38
6,Other Receivables,0.31,0.27,0.22,0.38,0.11,0.08,0.3,1.39,0.67,1.63,2.54,0.56,0.59,4.75,3.43,9.05,-,5.92,-,5.79
7,Receivables,224.71,208.32,226.41,266.02,217.08,191.82,178.69,146.22,256.91,261.27,206.31,105.21,278.48,306.58,221.6,94.29,-,232.98,-,166.16
8,Inventory,135.91,130.87,128.71,101.98,105.74,104.01,104.62,90.7,121.81,124.26,114.59,135.28,130.74,119.33,136.28,147.44,-,131.33,-,149
9,Other Current Assets,3.84,3.21,2.75,2.38,4.73,2.17,3.08,1.36,2.99,2.66,1.95,5.69,32.04,5.15,6.78,4.7,-,5.17,-,11.39
10,Total Current Assets,970.71,982.05,946.71,992.43,953.32,907.45,900.51,914.17,908.25,887.88,860.47,832.73,868.81,888.54,458.58,394.63,-,385.83,-,395.05
11,"Property, Plant & Equipment",193.67,197.39,201.03,204.89,198.16,199.07,200.17,199.82,201.4,203.84,205.23,205.45,205.61,187.45,187.11,185.9,-,178.5,-,171.88
12,Other Intangible Assets,36.72,37.33,37.95,34.36,34.5,31.07,31.4,31.8,32.17,31.65,31.94,32.26,32.71,32.57,32.81,33.1,-,33.17,-,33.44
13,Long-Term Deferred Tax Assets,3.49,3.35,3.1,3.11,2.88,2.98,2.65,2.58,2.68,2.67,3.16,2.86,3.77,3.82,3.09,2.67,-,3.56,-,3.22
14,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,0.53,0.33,0.11,-,-,-,-,-,-,-,-,-
