,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Market Capitalization,43858,45374,34351,29430,26822,34606,33984,37856,-,-,-,-,-
1,Market Cap Growth,31.12%,31.12%,1.08%,-22.26%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,58948,60464,47430,42212,29212,36996,33269,46457,-,-,-,-,-
3,Last Close Price,22.56,23.34,17.51,14.67,13.37,17.25,16.94,18.87,-,-,-,-,-
4,PE Ratio,83.56,85.19,74.91,66.55,43.16,163.52,-113.55,101.45,-,-,-,-,-
5,Forward PE,48.52,64.83,47.97,30.88,-,-,-,-,-,-,-,-,-
6,PS Ratio,4.81,4.91,3.82,3.39,3.20,4.78,5.17,5.39,-,-,-,-,-
7,PB Ratio,2.10,1.76,1.33,1.36,1.21,1.56,1.23,1.37,-,-,-,-,-
8,P/TBV Ratio,2.32,2.32,1.76,1.50,1.33,1.73,1.58,1.76,-,-,-,-,-
9,P/OCF Ratio,-,-,16.86,20.54,41.91,-214.90,-175.12,45.64,-,-,-,-,-
10,EV/Sales Ratio,6.37,6.54,5.27,4.87,3.49,5.11,5.06,6.61,-,-,-,-,-
11,EV/EBITDA Ratio,16.79,16.97,12.43,11.79,8.32,12.20,14.67,17.64,-,-,-,-,-
12,EV/EBIT Ratio,122.00,-,64.41,70.72,50.77,189.23,-70.31,218.37,-,-,-,-,-
13,Debt / Equity Ratio,0.90,0.90,0.90,0.96,0.90,0.61,0.34,0.42,0.66,0.62,-,-,1.05
14,Debt / EBITDA Ratio,6.58,8.33,5.45,5.95,5.35,3.27,2.86,3.31,6.35,8.76,-,-,1.54
15,Asset Turnover,-,0.19,0.18,0.19,0.19,0.17,0.17,0.11,-,-,-,-,
16,Inventory Turnover,-,-,4.80,5.01,4.78,4.86,4.78,5.13,3.71,-,-,-,-
17,Quick Ratio,-,-,1.36,1.05,1.15,0.73,1.38,2.02,0.95,1.05,-,-,-
18,Current Ratio,-,-,1.53,1.22,1.44,0.85,1.68,2.20,1.10,1.18,-,-,-
19,Return on Equity (ROE),3.67%,1.71%,2.06%,1.48%,2.96%,0.80%,4.51%,-8.42%,-,-,-,-,
20,Return on Assets (ROA),-,1.48%,0.33%,0.93%,1.01%,0.87%,0.25%,-1.31%,-,-,-,-,
21,Return on Capital (ROIC),-0.32%,1.66%,0.38%,1.15%,1.30%,1.08%,0.31%,-1.72%,-,-,-,-,
22,Return on Capital Employed (ROCE),-,-,1.68%,1.52%,1.42%,0.57%,-1.29%,0.54%,-,-,-,-,-
23,Earnings Yield,1.21%,1.17%,1.33%,1.50%,2.32%,0.61%,-0.88%,0.99%,-,-,-,-,-
24,FCF Yield,-,-31.59%,-45.17%,-50.28%,-21.87%,-18.29%,-6.92%,-,-,-,-,-,
25,Payout Ratio,0.00%,-,141.64%,197.43%,114.12%,90.81%,70.73%,50.94%,-,-,3.65%,9.34%,2.88%
26,Buyback Yield / Dilution,-11.86%,15.18%,-18.29%,-25.18%,-31.88%,-49.57%,-24.57%,6.43%,0.02%,-,-,-,-
27,Total Shareholder Return,-11.86%,15.18%,-18.29%,-25.18%,-31.88%,-49.57%,-24.57%,6.43%,0.02%,-,-,-,-
