,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Operating Revenue,2474,2444,2103,2228,2166,2059,1868,1090,1533,2508,3166,2818
1,Other Revenue,-,-66.65,66.65,-,60.8,-11.78,11.78,-,25.45,-7.33,7.33,-
2,Revenue,2474,2377,2170,2228,2227,2047,1880,1090,1558,2501,3173,2818
3,Revenue Growth (YoY),11.12%,16.12%,15.43%,104.44%,42.87%,-18.14%,-40.76%,-61.33%,-,-,-,-
4,Cost of Revenue,3702,1707,1685,1671,1707,1539,1542,1002,1671,1384,1455,1216
5,Gross Profit,-1228,670.2,484.43,556.68,519.91,508.55,338.15,87.44,-112.14,1116,1719,1602
6,"Selling, General & Admin",-288.09,99.16,91.56,97.37,87.39,79.31,79.1,70.22,71.15,90.13,94.72,95.24
7,Research & Development,-931.87,335.82,298.34,297.72,269.83,270.51,242.52,249.79,205.84,253.2,231.18,162.92
8,Other Operating Expenses,53.69,-68.58,30.47,-15.58,-24.12,-10.18,-24.76,-30.64,87.65,-77.38,27.19,-14.17
9,Operating Expenses,-1165,366.19,420.41,378.02,330.22,344.03,295.66,288.64,366.87,266.02,346.74,250.08
10,Operating Income,-63.53,304.01,64.02,178.66,189.69,164.52,42.49,-201.2,-479.01,850.47,1372,1352
11,Interest Expense,-177.02,-152.03,-100.94,-138.47,-82.01,-110.2,-130.71,-128.75,-83.62,-173.74,-40.74,-115.77
12,Interest & Investment Income,391.44,54.8,49.83,72.39,64.65,89.11,108.1,91.16,36,19.6,11.35,14.2
13,Currency Exchange Gain (Loss),-,-17.71,17.71,-,25.36,-89.81,89.81,-,274.58,-199.92,199.92,-
14,Other Non Operating Income (Expenses),8.74,-4.73,-2.77,-0.74,-40.59,36.24,40.16,-39.68,-349.66,411.96,-184.92,115.61
15,EBT Excluding Unusual Items,159.63,184.34,27.84,111.84,157.11,89.86,149.86,-278.48,-601.71,908.36,1358,1366
16,Gain (Loss) on Sale of Investments,-2.34,4.92,-1.99,-0.59,-4.63,7.31,2.04,6.61,3.6,0.02,-,-
17,Gain (Loss) on Sale of Assets,-0,-,0,-,0.02,-,-,-,-,-,-,-
18,Asset Writedown,30.18,-30.18,29.41,-29.41,41.9,-41.99,103.54,-104.28,70.83,-49,3.55,-25.38
19,Other Unusual Items,-,-57.76,57.72,0.04,-9.53,-,-,-,122.16,-55.27,55.27,-
20,Pretax Income,187.47,101.32,112.99,81.87,184.88,55.17,255.43,-376.14,-405.11,804.11,1416,1341
21,Income Tax Expense,-48.98,0,-,0.02,0.25,0,-0.12,0.04,0.21,0,-,-
22,Earnings From Continuing Operations,236.45,101.32,112.99,81.85,184.63,55.17,255.55,-376.18,-405.32,804.11,1416,1341
23,Minority Interest in Earnings,17.23,-9.39,-5.25,-2.59,-4.99,20.43,31.4,45.63,74.04,-56.09,-95.21,-33.51
24,Net Income,253.68,91.93,107.74,79.26,179.64,75.6,286.95,-330.56,-331.27,748.02,1321,1307
25,Net Income to Common,253.68,91.93,107.74,79.26,179.64,75.6,286.95,-330.56,-331.27,748.02,1321,1307
26,Net Income Growth,41.22%,21.60%,-62.45%,-,-,-89.89%,-78.28%,-,-,-,-,-
27,Shares Outstanding (Basic),1913,2237,1759,1981,2256,1891,1405,1503,1508,1518,1501,1503
28,Shares Outstanding (Diluted),1913,2237,1759,1981,2256,1891,1405,1503,1508,1518,1501,1503
29,Shares Change (YoY),-15.18%,18.29%,25.18%,31.88%,49.57%,24.57%,-6.43%,-0.02%,-,-,-,-
30,EPS (Basic),0.13,0.04,0.06,0.04,0.08,0.04,0.20,-0.22,-0.22,0.49,0.88,0.87
31,EPS (Diluted),0.13,0.04,0.06,0.04,0.08,0.04,0.20,-0.22,-0.22,0.49,0.88,0.87
32,EPS Growth,66.48%,2.80%,-70.01%,-,-,-91.89%,-76.79%,-,-,-,-,-
33,Free Cash Flow,-,-1449,-338.03,-6851,-2212,-3893,-529.82,-934.42,-858.88,-298.05,801.91,-255.26
34,Free Cash Flow Per Share,-,-0.65,-0.19,-3.46,-0.98,-2.06,-0.38,-0.62,-0.57,-0.20,0.53,-0.17
35,Gross Margin,-49.64%,28.19%,22.32%,24.99%,23.35%,24.84%,17.99%,8.02%,-7.20%,44.64%,54.16%,56.86%
36,Operating Margin,-2.57%,12.79%,2.95%,8.02%,8.52%,8.04%,2.26%,-18.46%,-30.74%,34.01%,43.24%,47.98%
37,Profit Margin,10.25%,3.87%,4.97%,3.56%,8.07%,3.69%,15.26%,-30.33%,-21.26%,29.91%,41.64%,46.39%
38,Free Cash Flow Margin,-,-60.95%,-15.58%,-307.49%,-99.35%,-190.14%,-28.18%,-85.75%,-55.11%,-11.92%,25.27%,-9.06%
39,EBITDA,693.55,1061,871.77,935.74,946.77,825.42,801.41,459.69,181.88,1191,1981,1693
40,EBITDA Margin,28.03%,44.63%,40.18%,42.00%,42.52%,40.32%,42.63%,42.18%,11.67%,47.63%,62.42%,60.07%
41,D&A For EBITDA,757.08,757.08,807.75,757.08,757.08,660.9,758.92,660.9,660.9,340.65,608.76,340.65
42,EBIT,-63.53,304.01,64.02,178.66,189.69,164.52,42.49,-201.2,-479.01,850.47,1372,1352
43,EBIT Margin,-2.57%,12.79%,2.95%,8.02%,8.52%,8.04%,2.26%,-18.46%,-30.74%,34.01%,43.24%,47.98%
44,Effective Tax Rate,-,-,-,0.02%,0.14%,-,-,-,-,-,-,-
45,Revenue as Reported,-,2377,2170,2228,2227,2047,1880,1090,1558,2501,3173,2818
