,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022"
0,Cash & Equivalents,-,11867,7937,6658,6526,10141,15534,5939,7895,-,-,-
1,Short-Term Investments,-,-,-,-,1260,-,-,-,-,-,-,-
2,Trading Asset Securities,-,1034,551.22,1306,1548,1754,1542,2009,1257,-,-,-
3,Cash & Short-Term Investments,12901,12901,8488,7963,9334,11895,17076,7948,9152,-,-,5296
4,Cash Growth,38.21%,8.46%,-50.29%,0.18%,2.00%,-,-,50.10%,-,-,-,-
5,Accounts Receivable,-,859.25,856.31,803.12,860.98,740.68,773.92,449.14,506.67,-,-,-
6,Other Receivables,-,58.83,45.95,40.84,25.72,28.64,25.08,20.62,17.74,-,-,-
7,Receivables,-,918.08,902.26,843.95,886.7,769.32,799,469.76,524.41,-,-,-
8,Inventory,-,1461,1386,1306,1493,1314,1261,1142,1022,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,0.07,-,-,-,-,-
10,Other Current Assets,-,253.11,146.66,903.03,231.45,1441,318.33,195.43,140.68,-,-,-
11,Total Current Assets,-,15532,10923,11016,11945,15419,19454,9756,10838,-,-,-
12,"Property, Plant & Equipment",-,36191,35016,34684,33836,27784,26089,25614,25688,-,-,-
13,Long-Term Investments,-,590.83,490.78,488.3,510.2,761.21,109.37,793.1,330.84,-,-,-
14,Other Intangible Assets,-,1336,1342,1310,1358,1374,1373,1412,1434,-,-,-
15,Long-Term Deferred Charges,-,-,0.01,0.03,0.09,0.15,0.21,0.28,0.34,-,-,-
16,Other Long-Term Assets,-,437.5,544.29,561.94,506.88,498.47,1144,591.07,472.5,-,-,-
17,Total Assets,-,54088,48316,48061,48156,45837,48170,38166,38765,-,-,-
18,Accounts Payable,-,2101,646.95,2174,656.35,3260,482.08,1093,358.12,-,-,-
19,Accrued Expenses,-,232.38,305.59,160.61,244.18,461.63,580.37,458.64,492.72,-,-,-
20,Short-Term Debt,-,3598,1961,555.42,658.35,198.14,270.5,553.39,287.07,-,-,-
21,Current Portion of Long-Term Debt,-,1899,1660,1754,1307,869.2,684.92,793.55,408.95,-,-,-
22,Current Portion of Leases,-,-,3.94,-,2.71,-,260.62,-,260.13,-,-,-
23,Current Income Taxes Payable,-,32.41,-,19.37,0.16,23.96,-,12.5,0.19,-,-,-
24,Current Unearned Revenue,-,729.15,859.03,746.73,877.37,659.7,792.55,707.29,832.69,-,-,-
25,Other Current Liabilities,-,1579,3482,2253,10270,3699,5772,5242,6571,-,-,-
26,Total Current Liabilities,-,10171,8918,7662,14017,9172,8843,8861,9211,-,-,-
27,Long-Term Debt,-,17622,17207,17705,11510,8388,8402,8454,8227,-,-,-
28,Long-Term Leases,-,-,-,-,-,1.2,1893,1869,1965,-,-,-
29,Long-Term Unearned Revenue,-,477.88,467.48,463.72,481.71,479.17,1282,1247,1271,-,-,-
30,Other Long-Term Liabilities,-,39.89,32.34,22.65,9.77,69.68,63.23,54.69,39.97,-,-,-
31,Total Liabilities,-,28310,26625,25854,26018,18109,20484,20484,20715,-,-,-
32,Common Stock,-,2006,2006,2006,2006,2006,2006,1505,1505,-,-,-
33,Additional Paid-In Capital,-,18870,18770,18765,18754,20431,20431,11209,11209,-,-,-
34,Retained Earnings,-,896.24,804.31,696.57,617.31,437.67,362.07,75.12,405.68,-,-,-
35,Treasury Stock,-,-891.78,-632.08,-,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,-,24.63,6.48,8.3,31.88,24.7,38.41,12.62,4.8,-,-,-
37,Total Common Equity,20906,20906,20955,21476,21410,22900,22838,12801,13124,-,-,9223
38,Minority Interest,-,4872,736.2,730.95,728.36,4828,4849,4880,4926,-,-,-
39,Shareholders' Equity,25778,25778,21691,22207,22138,27728,27686,17682,18050,-,-,9889
40,Total Liabilities & Equity,-,54088,48316,48061,48156,45837,48170,38166,38765,-,-,-
41,Total Debt,23119,23119,20831,20014,13478,9456,11512,11669,11148,-,-,10400
42,Net Cash (Debt),-10218,-10218,-12343,-12051,-4144,2439,5564,-3721,-1996,-,-,-5105
43,Net Cash Per Share,-5.34,-4.57,-7.02,-6.08,-1.84,1.29,3.96,-2.48,-1.32,-,-,-3.40
44,Filing Date Shares Outstanding,1913,1944,1962,2006,2006,2006,2006,1505,1505,1518,1501,1503
45,Total Common Shares Outstanding,1944,1944,1962,2006,2006,2006,2006,1505,1505,1518,1501,1503
46,Working Capital,-,5362,2005,3354,-2071,6248,10611,895.14,1627,-,-,-
47,Book Value Per Share,10.75,10.75,10.68,10.71,10.67,11.41,11.38,8.51,8.72,-,-,6.13
48,Tangible Book Value,19569,19569,19613,20166,20052,21525,21464,11389,11690,-,-,7968
49,Tangible Book Value Per Share,10.07,10.07,10.00,10.05,10.00,10.73,10.70,7.57,7.77,-,-,5.30
50,Buildings,-,-,679.54,-,2642,-,51.49,-,43.54,-,-,-
51,Machinery,-,-,30534,-,28333,-,27476,-,26622,-,-,-
52,Construction In Progress,-,-,13438,-,10960,-,2366,-,1385,-,-,-
