,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Other Revenue,2.84,5.23,6.74,1.15,1.13
1,Revenue,2.84,5.23,6.74,1.15,1.13
2,Revenue Growth (YoY),-57.90%,353.99%,498.84%,-,-
3,Gross Profit,2.84,5.23,6.74,1.15,1.13
4,"Selling, General & Admin",13.06,14.01,8.31,12.65,7.88
5,Research & Development,70.29,83.46,71.6,74.97,82.36
6,Operating Expenses,83.35,97.46,79.9,87.62,90.24
7,Operating Income,-80.52,-92.23,-73.17,-86.47,-89.11
8,Interest Expense,-2.03,-0.95,-1.44,-1.7,-0.77
9,Interest & Investment Income,1.95,0.87,0.18,0.24,0.04
10,Currency Exchange Gain (Loss),2.19,-1.95,0.03,-,-
11,Other Non Operating Income (Expenses),-,-11.13,-13.5,-11.27,-0.51
12,EBT Excluding Unusual Items,-78.4,-105.4,-87.89,-99.19,-90.34
13,Gain (Loss) on Sale of Investments,-,0.27,1.34,-0.04,0.71
14,Gain (Loss) on Sale of Assets,-,-,-0.02,-0,-
15,Other Unusual Items,0.01,-,-,-,-
16,Pretax Income,-78.4,-105.13,-86.57,-99.24,-89.63
17,Net Income,-78.4,-105.13,-86.57,-99.24,-89.63
18,Net Income to Common,-78.4,-105.13,-86.57,-99.24,-89.63
19,Shares Outstanding (Basic),194,188,182,176,168
20,Shares Outstanding (Diluted),194,188,182,176,168
21,Shares Change (YoY),6.51%,6.89%,8.33%,-,-
22,EPS (Basic),-0.40,-0.56,-0.48,-0.56,-0.53
23,EPS (Diluted),-0.40,-0.56,-0.48,-0.56,-0.53
24,Free Cash Flow,-59.12,-114.22,-73.73,-100.29,-77.83
25,Free Cash Flow Per Share,-0.30,-0.61,-0.41,-0.57,-0.46
26,Operating Margin,-2839.14%,-1763.50%,-1086.05%,-7505.64%,-7921.07%
27,Profit Margin,-2764.32%,-2010.21%,-1284.96%,-8614.41%,-7966.93%
28,Free Cash Flow Margin,-2084.45%,-2183.84%,-1094.42%,-8705.56%,-6917.87%
29,EBITDA,-77.27,-88.99,-69.99,-83.3,-85.93
30,D&A For EBITDA,3.25,3.24,3.18,3.16,3.18
31,EBIT,-80.52,-92.23,-73.17,-86.47,-89.11
