,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Cash & Equivalents,161.85,196.68,76.45,153.52,-
1,Trading Asset Securities,-,-,10,15,-
2,Cash & Short-Term Investments,161.85,196.68,86.45,168.52,-
3,Cash Growth,87.23%,16.71%,-,-,-
4,Other Receivables,8.07,16.72,11.05,0.66,-
5,Receivables,8.07,16.72,11.05,0.66,-
6,Inventory,5.38,5.77,7.23,10.62,-
7,Other Current Assets,35.64,30.92,17.67,59.16,-
8,Total Current Assets,210.94,250.1,122.4,238.96,-
9,"Property, Plant & Equipment",47.81,50.38,52.94,54.55,-
10,Other Long-Term Assets,1.21,1.14,1.75,9.34,-
11,Total Assets,259.96,301.62,177.09,302.84,-
12,Accounts Payable,0.29,0.19,0.21,0.08,-
13,Accrued Expenses,46,37.95,19.66,22.17,-
14,Short-Term Debt,-,89.5,30,76.5,-
15,Current Portion of Long-Term Debt,79.5,-,-,-,-
16,Current Portion of Leases,0.36,0.46,0.57,0.17,-
17,Current Income Taxes Payable,0.37,0.5,0.45,0.45,-
18,Current Unearned Revenue,0.49,0.64,2.7,3.85,-
19,Other Current Liabilities,43.1,44.58,53.9,43.74,-
20,Total Current Liabilities,170.09,173.82,107.48,146.96,-
21,Long-Term Debt,40,-,-,-,-
22,Long-Term Leases,0.28,0.15,0.3,-,-
23,Total Liabilities,210.37,173.97,107.78,146.96,-
24,Common Stock,193.85,193.85,182,182,-
25,Additional Paid-In Capital,345.01,345.01,193.38,193.38,-
26,Retained Earnings,-491.18,-412.79,-307.65,-221.09,-
27,Comprehensive Income & Other,1.92,1.58,1.58,1.58,-
28,Shareholders' Equity,49.59,127.65,69.31,155.88,-
29,Total Liabilities & Equity,259.96,301.62,177.09,302.84,-
30,Total Debt,120.13,90.11,30.87,76.67,-
31,Net Cash (Debt),41.72,106.57,55.58,91.85,-
32,Net Cash Growth,-24.93%,16.02%,-,-,-
33,Net Cash Per Share,0.22,0.57,0.31,0.52,-
34,Filing Date Shares Outstanding,193.85,193.85,182,182,168
35,Total Common Shares Outstanding,193.85,193.85,182,182,168
36,Working Capital,40.85,76.28,14.91,92,-
37,Book Value Per Share,0.26,0.66,0.38,0.86,-
38,Tangible Book Value,49.59,127.65,69.31,155.88,-
39,Tangible Book Value Per Share,0.26,0.66,0.38,0.86,-
40,Buildings,-,15.04,-,15.04,-
41,Machinery,-,68.33,-,66.81,-
42,Construction In Progress,-,16.85,-,16.85,-
43,Leasehold Improvements,-,1.76,-,1.76,-
