,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,451.83,806.74,669.3,167.99,967.42,-,-,135.51,-,-,-,51.27,51.27
1,Short-Term Investments,-,-,-,50,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,501.93,127.8,267.05,755.25,-,-,-,-,-,-,-,10,10
3,Cash & Short-Term Investments,953.75,934.55,936.35,973.24,967.42,-,135.51,135.51,-,-,87.23,61.27,61.27
4,Cash Growth,-1.41%,-,591.00%,618.23%,-,-,55.35%,121.16%,-,-,-,-,-
5,Accounts Receivable,370.16,380.47,348.68,356.45,331.18,-,-,294.23,-,-,-,201.96,201.96
6,Other Receivables,1.73,1.6,1.48,1.18,6.62,-,-,0.37,-,-,-,1.25,1.25
7,Receivables,371.9,382.08,350.16,357.63,337.8,-,-,294.6,-,-,-,203.21,203.21
8,Inventory,117.3,100.4,103.35,104.63,104.57,-,-,96.59,-,-,-,83.98,83.98
9,Prepaid Expenses,-,-,-,-,-,-,-,0.09,-,-,-,-,-
10,Other Current Assets,1.75,1.78,53.82,6.31,8.68,-,-,6.15,-,-,-,4.01,4.01
11,Total Current Assets,1445,1419,1444,1442,1418,-,-,532.93,-,-,-,352.47,352.47
12,"Property, Plant & Equipment",172.25,171.25,171.86,162.93,149.92,-,-,154.67,-,-,-,105.54,105.54
13,Long-Term Investments,-,-,-,-,-,-,-,-,-,-,-,1,1
14,Other Intangible Assets,21.06,18.37,18.43,18.69,18.19,-,-,18.42,-,-,-,9.96,9.96
15,Long-Term Accounts Receivable,-,19.14,-,19.31,-,-,-,16.87,-,-,-,-,-
16,Long-Term Deferred Tax Assets,1.4,1.58,1.34,1.35,1.52,-,-,1.4,-,-,-,1.32,1.32
17,Long-Term Deferred Charges,9.72,6.61,1.31,1.4,1.19,-,-,0.84,-,-,-,1.05,1.05
18,Other Long-Term Assets,25.3,8.2,23.94,1.33,27.32,-,-,1.18,-,-,-,14.47,14.47
19,Total Assets,1674,1644,1661,1647,1617,-,-,726.31,-,-,-,485.82,485.82
20,Accounts Payable,140.93,137.11,145.25,142.01,134.76,-,-,151.14,-,-,-,71.71,71.71
21,Accrued Expenses,14.19,15.03,11.01,19.66,11.65,-,-,15.29,-,-,-,9.41,9.41
22,Short-Term Debt,0.05,-,-,-,5.01,-,-,8.5,-,-,-,28.03,28.03
23,Current Portion of Long-Term Debt,-,-,0.17,-,-,-,-,22.21,-,-,-,6.03,6.03
24,Current Portion of Leases,-,0.2,-,0.17,-,-,-,0.07,-,-,-,-,-
25,Current Income Taxes Payable,10.11,9.26,5.18,9.99,9.48,-,-,2.13,-,-,-,2.53,2.53
26,Current Unearned Revenue,4.69,3.18,3.47,3.66,3.39,-,-,3.42,-,-,-,2.82,2.82
27,Other Current Liabilities,22.15,19.15,10.6,15.13,16.98,-,-,19.86,-,-,-,22.68,22.68
28,Total Current Liabilities,192.11,183.93,175.68,190.61,181.26,-,-,222.62,-,-,-,143.22,143.22
29,Long-Term Debt,-,-,-,-,-,-,-,48.88,-,-,-,14,14
30,Long-Term Leases,-,-,0.03,0.06,-,-,-,-,-,-,-,-,-
31,Long-Term Unearned Revenue,12.99,13.47,12.93,13.27,11.9,-,-,11.51,-,-,-,11.95,11.95
32,Long-Term Deferred Tax Liabilities,7.15,6.66,6.44,6.35,6.58,-,-,1.94,-,-,-,1.09,1.09
33,Total Liabilities,212.25,204.06,195.08,210.29,199.74,-,-,284.95,-,-,-,170.26,170.26
34,Common Stock,87,87,60,60,60,-,-,45,-,-,-,45,45
35,Additional Paid-In Capital,1032,1032,1059,1059,1059,-,-,179.39,-,-,-,178.68,178.68
36,Retained Earnings,339.35,317.11,342.87,314.07,293.94,-,-,212.87,-,-,-,88.5,88.5
37,Comprehensive Income & Other,0.24,0.32,0.28,0.27,0.36,-,-,0.17,-,-,-,-0.32,-0.32
38,Total Common Equity,1459,1436,1462,1433,1413,-,437.44,437.44,-,-,345.46,311.86,311.86
39,Minority Interest,3.44,3.43,3.42,3.41,3.91,-,-,3.92,-,-,-,3.7,3.7
