,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4350,4659,4618,2929,3665,3955,-,-,-,-,-,-,-,-
1,Market Cap Growth,17.81%,17.81%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3400,3728,3685,1971,2707,3880,-,-,-,-,-,-,-,-
3,Last Close Price,50.00,53.18,52.71,33.06,41.37,44.63,-,-,-,-,-,-,-,-
4,PE Ratio,41.19,44.20,40.54,27.33,36.22,35.61,-,-,-,-,-,-,-,-
5,Forward PE,37.59,34.20,33.17,22.24,26.50,-,-,-,-,-,-,-,-,-
6,PS Ratio,8.59,9.22,8.83,5.60,7.01,7.64,-,-,-,-,-,-,-,-
7,PB Ratio,2.98,3.19,3.21,2.00,2.55,2.79,-,-,-,-,-,-,-,-
8,P/TBV Ratio,3.24,3.24,3.26,2.03,2.59,2.84,-,-,-,-,-,-,-,-
9,P/FCF Ratio,159.29,170.60,204.16,54.01,166.10,113.95,-,-,-,-,-,-,-,-
10,P/OCF Ratio,67.40,67.40,76.18,36.79,70.18,53.83,-,-,-,-,-,-,-,-
11,EV/Sales Ratio,6.73,7.38,7.05,3.77,5.17,7.50,-,-,-,-,-,-,-,-
12,EV/EBITDA Ratio,29.32,30.66,26.64,14.40,20.19,31.25,-,-,-,-,-,-,-,-
13,EV/EBIT Ratio,35.93,36.22,30.57,16.59,23.15,35.96,-,-,-,-,-,-,-,-
14,EV/FCF Ratio,124.49,136.51,162.92,36.34,122.67,111.81,-,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,-,0.18,0.18,-,-,0.12,0.15,0.15
16,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,0.03,-,0.65,1.26,-,-,0.37,0.56,0.56
17,Debt / FCF Ratio,0.00,0.00,0.01,0.00,0.01,0.14,-,-,4.84,-,-,-,2.10,4.21
18,Asset Turnover,0.26,0.35,0.28,0.33,-,-,-,-,-,-,-,0.84,-,
19,Inventory Turnover,2.81,2.55,3.53,2.68,3.16,-,-,-,-,-,-,-,3.32,-
20,Quick Ratio,6.90,6.90,7.16,7.32,6.98,7.20,-,-,1.93,-,-,-,1.85,1.85
21,Current Ratio,7.52,7.52,7.71,8.22,7.56,7.83,-,-,2.39,-,-,-,2.46,2.46
22,Return on Equity (ROE),6.13%,9.43%,7.94%,5.50%,-,-,20.67%,-,-,-,-,18.86%,-,
23,Return on Assets (ROA),2.99%,5.04%,4.35%,3.21%,-,-,-,-,-,-,-,9.23%,-,
24,Return on Capital (ROIC),3.42%,5.74%,4.96%,3.66%,-,-,12.91%,-,-,-,-,12.33%,-,
25,Return on Capital Employed (ROCE),6.38%,6.94%,8.26%,8.00%,8.03%,7.52%,-,-,16.83%,-,-,-,10.47%,5.24%
26,Earnings Yield,2.42%,2.26%,2.47%,3.66%,2.76%,2.81%,-,-,-,-,-,-,-,-
27,FCF Yield,0.63%,0.59%,0.49%,1.85%,0.60%,0.88%,-,-,-,-,-,-,-,-
28,Dividend Yield,1.31%,-,-,-,1.67%,-,-,-,-,-,-,-,-,-
29,Payout Ratio,56.88%,-,175.24%,-,-,0.85%,1.64%,2.69%,2.35%,-,-,-,5.39%,5.39%
30,Buyback Yield / Dilution,-33.24%,18.97%,-252.79%,-34.09%,-33.23%,-62.16%,-,-,0.95%,-0.05%,-,-,-,-
31,Total Shareholder Return,-31.93%,18.97%,-252.79%,-34.09%,-31.56%,-62.16%,-,-,0.95%,-0.05%,-,-,-,-
