,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,124.72,130.92,114.75,120.86,132.5,141.1,114.62,117.42,117.58,101.66,101.66,99.73,99.73
1,Other Revenue,-15.23,15.23,-,14.12,-5.68,5.68,-,11.71,-,-,-,2.31,2.31
2,Revenue,109.49,146.14,114.75,134.98,126.82,146.78,114.62,129.13,117.58,101.66,101.66,102.03,102.03
3,Revenue Growth (YoY),-13.67%,-0.43%,0.11%,4.53%,7.86%,44.38%,12.74%,26.56%,15.24%,-,-,-,-
4,Cost of Revenue,69.42,89.82,69.76,82.54,74.4,94.46,69.74,84.02,49.93,77.56,77.56,69.66,69.66
5,Gross Profit,40.07,56.33,44.99,52.44,52.42,52.32,44.87,45.11,67.66,24.1,24.1,32.37,32.37
6,"Selling, General & Admin",14.94,15.36,12.96,23.68,15.29,12.58,11.55,12.81,32.97,-,-,8.9,8.9
7,Research & Development,5.15,5.42,5.28,6.64,5.43,6.23,6.01,6.94,15.63,-,-,5.56,5.56
8,Other Operating Expenses,0.78,2.15,-2.12,-2.09,-5.78,1.04,-0.07,14.53,-10.19,-,-,0.37,0.37
9,Operating Expenses,20.2,22.99,16.19,31.51,14.93,20.71,17.96,33.21,43,-,-,14.44,14.44
10,Operating Income,19.87,33.33,28.79,20.92,37.5,31.6,26.92,11.9,24.65,24.1,24.1,17.94,17.94
11,Interest Expense,-0,-,-0,-0,-0.37,-0.42,-0.57,-0.79,-1.66,-,-,-0.81,-0.81
12,Interest & Investment Income,3.63,5.72,4.67,3.81,-,0.17,0.21,0.18,0.35,-,-,0.06,0.06
13,Currency Exchange Gain (Loss),0.24,-0.24,-,0.91,-0.68,0.68,-,0.87,-,-,-,0.03,0.03
14,Other Non Operating Income (Expenses),-0.21,-0.14,-0.02,-0.92,0.9,-0.2,0.06,0.08,-0.11,-0.04,-0.04,-0.03,-0.03
15,EBT Excluding Unusual Items,23.53,38.67,33.45,24.72,37.35,31.82,26.61,12.25,23.23,24.06,24.06,17.18,17.18
16,Gain (Loss) on Sale of Investments,1.56,0.4,0.05,0.98,-0.03,-0.38,-0.31,-0.34,-0.43,-,-,-0.2,-0.2
17,Gain (Loss) on Sale of Assets,-0,-0.15,0.05,0.01,-,0.03,-,-,0.32,-,-,0.12,0.12
18,Asset Writedown,-1.27,0.38,-0.38,1.17,-1.17,0.95,-0.95,2.01,-2.15,-,-,-0.19,-0.19
19,Other Unusual Items,1.77,0.67,0,-3.66,-0.37,0.37,-,12.06,-,-,-,-,-
20,Pretax Income,25.58,39.97,33.17,23.21,35.77,32.78,25.35,25.99,20.97,24.06,24.06,16.92,16.92
21,Income Tax Expense,3.34,5.72,4.37,3.58,5.02,5.28,2.54,-4.02,2.22,2.96,2.96,2.04,2.04
22,Earnings From Continuing Operations,22.25,34.25,28.8,19.63,30.75,27.5,22.81,30.01,18.75,21.11,21.11,14.88,14.88
23,Minority Interest in Earnings,-0.01,-0.01,-0.01,0.5,0,0,0.01,-0.01,-0.01,-0.03,-0.03,0,0
24,Net Income,22.24,34.24,28.79,20.13,30.75,27.5,22.82,30,18.74,21.08,21.08,14.88,14.88
25,Net Income to Common,22.24,34.24,28.79,20.13,30.75,27.5,22.82,30,18.74,21.08,21.08,14.88,14.88
26,Net Income Growth,-27.69%,24.52%,26.20%,-32.89%,64.14%,30.45%,8.24%,101.60%,25.91%,-,-,-,-
27,Shares Outstanding (Basic),86,88,87,86,106,25,65,65,65,-,-,65,65
28,Shares Outstanding (Diluted),86,88,87,86,106,25,65,65,65,-,-,65,65
29,Shares Change (YoY),-18.97%,252.79%,34.09%,33.23%,62.16%,-,-,-0.95%,0.05%,-,-,-,-
30,EPS (Basic),0.26,0.39,0.33,0.23,0.29,1.10,0.35,0.46,0.29,-,-,0.23,0.23
31,EPS (Diluted),0.26,0.39,0.33,0.23,0.29,1.10,0.35,0.46,0.29,-,-,0.23,0.23
32,EPS Growth,-10.76%,-64.71%,-5.89%,-49.63%,1.22%,-,-,103.54%,25.86%,-,-,-,-
33,Free Cash Flow,9.18,1.18,13.14,3.81,4.49,32.8,-19.03,16.45,-,-,-,11.42,11.42
34,Free Cash Flow Per Share,0.11,0.01,0.15,0.04,0.04,1.31,-0.29,0.25,-,-,-,0.17,0.17
35,Dividend Per Share,-,-,-,0.690,-,-,-,-,-,-,-,-,-
36,Gross Margin,36.60%,38.54%,39.20%,38.85%,41.34%,35.64%,39.15%,34.93%,57.54%,23.71%,23.71%,31.73%,31.73%
37,Operating Margin,18.15%,22.81%,25.09%,15.50%,29.57%,21.53%,23.48%,9.22%,20.97%,23.71%,23.71%,17.58%,17.58%
38,Profit Margin,20.31%,23.43%,25.09%,14.91%,24.25%,18.73%,19.91%,23.23%,15.93%,20.73%,20.73%,14.58%,14.58%
39,Free Cash Flow Margin,8.38%,0.81%,11.45%,2.82%,3.54%,22.35%,-16.60%,12.74%,-,-,-,11.20%,11.20%
40,EBITDA,24.5,38.1,33.43,25.56,41.23,36.64,30.65,15.64,28.17,27.62,27.62,21.35,21.35
41,EBITDA Margin,22.38%,26.07%,29.13%,18.93%,32.51%,24.96%,26.74%,12.11%,23.96%,27.16%,27.16%,20.92%,20.92%
42,D&A For EBITDA,4.63,4.76,4.63,4.63,3.74,5.04,3.74,3.74,3.52,3.52,3.52,3.41,3.41
43,EBIT,19.87,33.33,28.79,20.92,37.5,31.6,26.92,11.9,24.65,24.1,24.1,17.94,17.94
44,EBIT Margin,18.15%,22.81%,25.09%,15.50%,29.57%,21.53%,23.48%,9.22%,20.97%,23.71%,23.71%,17.58%,17.58%
45,Effective Tax Rate,13.05%,14.31%,13.18%,15.43%,14.03%,16.12%,10.02%,-,10.60%,12.28%,12.28%,12.04%,12.04%
46,Revenue as Reported,109.49,146.14,114.75,134.98,126.82,146.78,114.62,129.13,320.91,-,-,-,-
