,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Cash & Equivalents,189.2,366.5,351.1,713.7,315.3,782.3,356.9,913.8,573.3,784.8,Upgrade
1,Short-Term Investments,155.7,-,192.5,-,198.7,-,184.4,-,146.1,88.4,Upgrade
2,Cash & Short-Term Investments,344.9,366.5,543.6,713.7,514,782.3,541.3,913.8,719.4,873.2,Upgrade
3,Cash Growth,-36.55%,-48.65%,5.76%,-8.77%,-5.04%,-14.39%,-24.76%,4.65%,-23.06%,-20.50%,Upgrade
4,Accounts Receivable,1981,1503,1793,1373,2516,1842,2562,1431,1181,1005,Upgrade
5,Other Receivables,331.7,458.1,252.1,381.7,238.7,469.3,246.4,430,227.7,448.4,Upgrade
6,Receivables,2313,1961,2045,1755,2754,2311,2808,1861,1409,1454,Upgrade
7,Inventory,1630,1712,1487,1324,1518,1568,1626,1169,1315,1496,Upgrade
8,Other Current Assets,76,73.2,88.3,260.1,450.8,340.5,472.5,565.7,170.2,216.7,Upgrade
9,Total Current Assets,4363,4113,4164,4052,5237,5002,5448,4510,3613,4039,Upgrade
10,"Property, Plant & Equipment",2789,2868,2863,2821,2714,2958,3182,3468,3899,4169,Upgrade
11,Long-Term Investments,849.9,826.7,847,796.3,823.5,999.9,912.3,801.9,733.4,731.5,Upgrade
12,Goodwill,-,532.1,-,524.4,-,554,-,596.9,-,745.3,Upgrade
13,Other Intangible Assets,760.1,261.4,790.8,261.7,780.1,294.9,909.5,360.3,1080,369.7,Upgrade
14,Long-Term Deferred Tax Assets,100.5,62.3,92.6,52.5,71.8,78.9,82.5,110.4,94.4,109.3,Upgrade
15,Other Long-Term Assets,56.4,57.2,58.9,65.1,63.2,71.1,26.8,24.9,55,26.1,Upgrade
16,Total Assets,8919,8720,8816,8573,9689,9959,10561,9873,9474,10190,Upgrade
17,Accounts Payable,1806,1742,1792,1487,2369,1906,2405,1441,833.8,676.8,Upgrade
18,Accrued Expenses,158,190.7,179.4,215.9,213.6,249.6,180.4,195.5,214.2,233.6,Upgrade
19,Short-Term Debt,391,376,463,744.7,-,1117,-,246.9,-,77.6,Upgrade
20,Current Portion of Long-Term Debt,442,410.5,338.6,286.1,1316,493.9,1805,1873,2258,2491,Upgrade
21,Current Portion of Leases,112.8,114.8,106.4,119.9,135.9,177.1,175.2,202.2,190.8,191.7,Upgrade
22,Current Income Taxes Payable,45,55.3,48.7,85.5,92.4,254,160.4,93.7,61.4,101.2,Upgrade
23,Current Unearned Revenue,137.8,90.2,78.8,57.9,63.8,40,75.9,18.1,26.3,40,Upgrade
24,Other Current Liabilities,156.2,106.6,101.3,100.8,170,188.6,426.1,321.8,259.6,184.2,Upgrade
25,Total Current Liabilities,3249,3086,3108,3098,4361,4427,5228,4392,3844,3997,Upgrade
26,Long-Term Debt,177.4,116.6,127.2,111.3,101.7,50.8,57.9,178.3,193.1,226.4,Upgrade
27,Long-Term Leases,277.8,247,212.5,192.1,165.5,190.1,235.2,342.3,500.7,569.4,Upgrade
28,Long-Term Deferred Tax Liabilities,315.2,285.4,319.4,281,284.3,305.8,341.4,363.8,321.1,342.8,Upgrade
29,Other Long-Term Liabilities,106.9,101.1,128.3,98.8,98.6,106.8,98,102.6,93.6,96.6,Upgrade
30,Total Liabilities,4126,3846,3907,3792,5029,5099,5989,5409,4978,5259,Upgrade
31,Common Stock,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,16.1,Upgrade
32,Additional Paid-In Capital,5912,5912,5912,5912,5912,5912,5912,5912,5912,5912,Upgrade
33,Retained Earnings,-1326,-1377,-1314,-1368,-1433,-1632,-2108,-2334,-1754,-1476,Upgrade
34,Comprehensive Income & Other,248.2,380.4,345.2,263.8,192.7,578,760,883.7,342.7,488.8,Upgrade
35,Total Common Equity,4850,4932,4959,4824,4688,4874,4580,4478,4517,4941,Upgrade
36,Minority Interest,-57.4,-57,-49.2,-43.5,-27.9,-14.4,-8.5,-13.4,-20.6,-10.3,Upgrade
37,Shareholders' Equity,4792,4875,4910,4781,4660,4860,4572,4464,4496,4931,Upgrade
38,Total Liabilities & Equity,8919,8720,8816,8573,9689,9959,10561,9873,9474,10190,Upgrade
39,Total Debt,1401,1265,1248,1454,1720,2029,2273,2843,3143,3557,Upgrade
40,Net Cash (Debt),-1056,-898.4,-704.1,-740.4,-1206,-1247,-1732,-1929,-2423,-2683,Upgrade
41,Net Cash Per Share,-0.66,-0.56,-0.44,-0.46,-0.75,-0.78,-1.08,-1.20,-1.51,-1.67,Upgrade
42,Filing Date Shares Outstanding,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,Upgrade
43,Total Common Shares Outstanding,1605,1605,1605,1605,1605,1605,1605,1605,1605,1605,Upgrade
44,Working Capital,1114,1027,1056,954.4,876,575,219.7,118.1,-231,42.9,Upgrade
45,Book Value Per Share,3.02,3.07,3.09,3.01,2.92,3.04,2.85,2.79,2.81,3.08,Upgrade
46,Tangible Book Value,4090,4138,4168,4038,3908,4025,3671,3520,3437,3826,Upgrade
47,Tangible Book Value Per Share,2.55,2.58,2.60,2.52,2.43,2.51,2.29,2.19,2.14,2.38,Upgrade
48,Land,-,3436,-,2111,-,2206,-,2396,-,2532,Upgrade
49,Machinery,-,2280,-,1329,-,1302,-,1283,-,1231,Upgrade
50,Construction In Progress,-,70.3,-,133.8,-,47.1,-,99.5,-,105.3,Upgrade
