,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Operating Revenue,439.05,385.32,371.57,132.56,499.79,472.22,427.33,394.43,339.87,431.59,293.31,337.28,338.83,235.37,263.32,293.92,326.37,295.82,295.82,554.38
1,Other Revenue,-,-,-,0.53,-,-,-,0.05,-,-,-,0.92,-0.91,0.91,-,0.32,-0.04,0.02,0.02,1.95
2,Revenue,439.05,385.32,371.57,133.09,499.79,472.22,427.33,394.48,339.87,431.59,293.31,338.2,337.91,236.28,263.32,294.24,326.33,295.84,295.84,556.33
3,Revenue Growth (YoY),-12.15%,-18.40%,-13.05%,-66.26%,47.05%,9.41%,45.69%,16.64%,0.58%,82.66%,11.39%,14.94%,3.55%,-20.13%,-10.99%,-47.11%,-,-,-,-
4,Cost of Revenue,382,331.27,319.76,83.18,422.82,411.34,380.99,354.68,289.98,379.7,254.84,315.35,290.07,194.23,219.17,253.96,268.9,246.95,246.95,450
5,Gross Profit,57.05,54.05,51.81,49.91,76.96,60.88,46.34,39.8,49.9,51.89,38.47,22.85,47.84,42.05,44.15,40.28,57.43,48.9,48.9,106.33
6,"Selling, General & Admin",19.79,18.97,17.26,24.55,19.74,19.94,15.12,19.59,13.73,12.3,14.17,20.53,12.19,12.12,13.22,13.71,12.09,13.69,13.69,60.37
7,Research & Development,7.63,8.15,5.35,6.11,7.88,7.55,7.1,10.31,6.9,6.01,3.96,3.88,2.42,2.28,2.15,2.81,2.76,2.4,2.4,9.58
8,Other Operating Expenses,0.91,0.69,0.56,0.89,0.84,1.08,0.27,0.67,0.1,-1.1,0.52,2.13,0.44,0.41,0.35,-0.19,1.35,0.49,0.49,3.05
9,Operating Expenses,33.39,29.24,22.21,46.35,31.74,29.09,23.15,35.35,19.39,19.64,19.2,26.51,15.42,15.11,16.47,15.74,16.39,16.41,16.41,75.92
10,Operating Income,23.66,24.81,29.6,3.56,45.22,31.78,23.19,4.45,30.5,32.25,19.27,-3.66,32.43,26.94,27.68,24.54,41.05,32.49,32.49,30.41
11,Interest Expense,-5.62,-3.01,-3.81,-6.74,-4.57,-2.38,-0.37,-0.24,-0.17,-1.04,-1.28,-1.21,-0.7,-0.74,-0.86,-0.94,-1.15,-2.34,-2.34,-9.33
12,Interest & Investment Income,0.47,0.65,0.43,1.51,1.29,1.01,0.72,0.51,0.63,0.39,1.65,0.32,0.06,0.05,0.05,0.07,0.04,0.19,0.19,0.92
13,Currency Exchange Gain (Loss),-0.63,0.63,-,-2.5,-2.69,2.69,-,2.38,-1.05,1.05,-,0.05,0.44,-0.44,-,-4.44,-1.08,0.54,0.54,1.77
14,Other Non Operating Income (Expenses),-0.6,-2.61,-0.07,-4.87,2.63,-1.02,0.37,-4.49,2.31,0.81,0.56,-0.07,-0.98,-1.97,2.41,0.26,-0.44,-0.29,-0.29,-1.96
15,EBT Excluding Unusual Items,17.28,20.46,26.14,-9.04,41.88,32.09,23.9,2.61,32.24,33.45,20.2,-4.57,31.25,23.84,29.28,19.49,38.42,30.58,30.58,21.82
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,0.18,-,-,-,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,-,-,-,0,-,-0,-,0.04,0,-0,-,0,-,-,-,-0.01,-,-,-,-
18,Asset Writedown,0.01,-0.01,-,-0.01,-,-,-,0.34,-0.18,-0.19,-,-0.01,0,-0,-,-0.01,0,-0,-0,-0.02
19,Other Unusual Items,-0.17,0.17,-0,0.28,0.01,-0.01,-,3.94,-,-,-,4.43,-,-,-,1.2,-0.28,0.14,0.14,0.17
20,Pretax Income,17.12,20.62,26.14,-8.76,41.89,32.08,23.9,6.94,32.05,33.26,20.2,0.04,31.25,23.83,29.28,20.67,38.14,30.72,30.72,21.97
21,Income Tax Expense,1.3,2.03,3.45,-3.39,6.77,4.93,2.94,1.58,3.36,3.94,3.06,0.13,4.53,3.84,5.28,2.4,7.02,5.86,5.86,4.62
22,Net Income,15.82,18.59,22.69,-5.37,35.12,27.15,20.96,5.36,28.7,29.33,17.15,-0.09,26.72,20,24,18.27,31.12,24.86,24.86,17.35
23,Net Income to Common,15.82,18.59,22.69,-5.37,35.12,27.15,20.96,5.36,28.7,29.33,17.15,-0.09,26.72,20,24,18.27,31.12,24.86,24.86,17.35
24,Net Income Growth,-54.95%,-31.53%,8.27%,-,22.40%,-7.44%,22.23%,-,7.39%,46.67%,-28.56%,-,-14.12%,-19.56%,-3.44%,5.33%,-,-,-,-
25,Shares Outstanding (Basic),84,88,87,84,80,80,81,79,80,79,82,72,59,61,60,61,60,60,60,60
26,Shares Outstanding (Diluted),84,88,87,84,84,80,81,79,80,79,82,72,59,61,60,61,60,60,60,60
27,Shares Change (YoY),-0.64%,10.84%,8.27%,6.72%,6.02%,1.44%,-1.27%,9.08%,34.42%,29.84%,36.08%,19.51%,-0.97%,1.07%,0.18%,1.03%,-,-,-,-
28,EPS (Basic),0.19,0.21,0.26,-0.06,0.44,0.34,0.26,0.07,0.36,0.37,0.21,-0.00,0.45,0.33,0.40,0.30,0.52,0.41,0.41,0.29
29,EPS (Diluted),0.19,0.21,0.26,-0.06,0.42,0.34,0.26,0.07,0.36,0.37,0.21,-0.00,0.45,0.33,0.40,0.30,0.52,0.41,0.41,0.29
30,EPS Growth,-54.66%,-38.22%,0%,-,15.45%,-8.75%,23.81%,-,-20.11%,12.96%,-47.50%,-,-13.29%,-20.41%,-3.61%,4.25%,-,-,-,-
31,Free Cash Flow,66.71,3.75,-113.84,-123.31,-189.7,-165.62,-77.46,-21.82,190.22,17.51,-152.3,45.44,-98.49,-22.54,-13.26,161.43,-51.16,-21.14,-21.14,-
