,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 6, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,6158,4804,3576,4803,4982,5030,5643,3104,2229,2030,2534,2993,2667,-,-,-,-,-,-,-,-
1,Market Cap Growth,-4.48%,-4.48%,-36.63%,54.74%,123.52%,147.81%,122.66%,3.72%,-16.44%,-,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,6206,4994,3685,4898,5077,4936,5375,2751,1876,1842,2293,3015,2690,-,-,-,-,-,-,-,-
3,Last Close Price,71.50,55.78,41.52,55.02,57.06,62.49,70.12,38.45,27.61,25.14,31.39,35.79,31.89,-,-,-,-,-,-,-,-
4,PE Ratio,118.82,92.86,50.34,60.34,-,56.77,68.68,36.80,27.68,27.03,34.67,46.93,-,-,-,-,-,-,-,-,-
5,PS Ratio,4.63,3.61,2.57,3.25,3.25,2.80,3.45,1.95,1.53,1.45,1.81,2.48,2.27,-,-,-,-,-,-,-,-
6,PB Ratio,5.56,4.34,3.28,4.27,4.51,5.76,6.75,3.80,2.86,2.63,3.42,3.71,3.37,-,-,-,-,-,-,-,-
7,P/TBV Ratio,4.34,4.34,3.28,4.28,4.51,5.77,6.76,3.81,2.87,2.64,3.43,3.72,3.38,-,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-28.82,-8.45,-,-,-,-,-,-,20.12,-13.49,-,-30.02,-,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-83.10,-8.46,-,-,-,-,-,-,19.01,-13.93,-,-30.55,-,-,-,-,-,-,-,-
10,EV/Sales Ratio,4.67,3.76,2.65,3.32,3.31,2.75,3.29,1.73,1.29,1.31,1.64,2.50,2.29,-,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,71.04,59.49,34.91,43.23,47.47,45.75,57.58,29.47,20.93,22.55,27.48,38.43,-,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,76.03,61.18,35.72,44.46,48.93,47.17,59.77,30.44,21.70,23.51,28.56,40.21,-,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-37.23,-29.96,-8.71,-,-,-,-,-,-,18.26,-12.21,-,-30.27,-,-,-,-,-,-,-,-
14,Debt / Equity Ratio,0.31,0.31,0.35,0.36,0.39,0.54,0.40,0.39,0.01,0.01,0.06,0.15,0.05,0.34,-,0.18,0.18,0.36,0.36,0.36,0.72
15,Debt / EBITDA Ratio,3.88,3.48,3.60,3.36,14.40,2.56,2.40,3.32,0.29,0.09,0.31,1.46,-,1.10,-,0.56,0.63,0.66,0.84,0.84,1.58
16,Debt / FCF Ratio,-,-2.03,-0.90,-,-,-,-,-,-,0.11,-0.23,-,-0.41,-,-,-,0.94,-,-,-,-
17,Asset Turnover,0.90,0.79,0.72,0.28,1.22,1.25,1.35,1.47,1.35,1.72,1.12,1.52,-,-,-,-,-,2.51,1.80,-,
18,Inventory Turnover,4.04,3.69,3.34,3.62,1.33,10.77,13.54,16.32,15.25,15.73,18.99,13.57,23.47,-,-,-,-,-,35.10,11.66,-
19,Quick Ratio,1.26,1.26,1.22,1.32,1.22,2.17,2.48,3.36,2.83,3.23,3.42,3.81,3.48,2.05,-,-,2.09,-,2.53,2.53,1.18
20,Current Ratio,1.99,1.99,2.35,2.21,2.06,2.87,3.00,3.82,3.31,3.88,4.02,4.58,3.85,2.41,-,-,2.42,-,2.83,2.83,1.46
21,Return on Equity (ROE),5.75%,6.71%,8.15%,-2.17%,16.44%,13.14%,10.51%,2.76%,15.17%,15.16%,8.59%,-0.06%,-,-,27.27%,22.15%,40.46%,32.32%,34.20%,-,
22,Return on Assets (ROA),3.04%,3.19%,3.59%,0.47%,6.88%,5.26%,4.58%,1.03%,7.56%,8.02%,4.60%,-1.03%,-,-,-,-,-,17.21%,12.32%,-,
23,Return on Capital (ROIC),4.05%,4.13%,4.82%,0.62%,8.98%,6.89%,6.03%,1.41%,9.73%,9.44%,5.50%,-1.31%,-,-,16.64%,14.70%,24.53%,19.41%,18.28%,-,
24,Return on Capital Employed (ROCE),7.36%,7.36%,9.45%,9.80%,9.38%,9.41%,8.38%,8.59%,11.06%,10.12%,10.82%,9.28%,-,26.18%,-,-,37.09%,-,31.01%,20.45%,11.11%
25,Earnings Yield,0.84%,1.08%,1.99%,1.66%,1.56%,1.76%,1.46%,2.72%,3.61%,3.70%,2.88%,2.13%,2.65%,-,-,-,-,-,-,-,-
26,FCF Yield,-2.71%,-3.47%,-11.83%,-12.34%,-11.16%,-9.04%,-1.32%,3.49%,1.51%,4.97%,-7.41%,-7.61%,-3.33%,-,-,-,-,-,-,-,-
27,Dividend Yield,0.39%,-,-,-,0.49%,-,-,-,0.45%,-,-,-,3.92%,-,-,-,-,-,-,-,-
28,Payout Ratio,72.40%,24.31%,141.43%,19.21%,-,3.65%,37.12%,1.48%,-,25.66%,326.65%,5.34%,-,2.32%,3.11%,3.77%,5.79%,3.93%,41.97%,41.97%,-
29,Buyback Yield / Dilution,-6.20%,0.64%,-10.84%,-8.27%,-6.72%,-6.02%,-1.44%,1.27%,-9.08%,-34.42%,-29.84%,-36.08%,-19.51%,0.97%,-1.07%,-0.18%,-1.03%,-,-,-,-
30,Total Shareholder Return,-5.81%,0.64%,-10.84%,-8.27%,-6.22%,-6.02%,-1.44%,1.27%,-8.63%,-34.42%,-29.84%,-36.08%,-15.59%,0.97%,-1.07%,-0.18%,-1.03%,-,-,-,-
