,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,918.42,857.58,1004,1080,670.65,588.67,-
1,Short-Term Investments,-,0.2,-,0.39,-,4.64,-
2,Trading Asset Securities,-,-,-,-,-,150,-
3,Accounts Receivable,71.72,86.26,88.49,74.24,93.07,89.73,-
4,Other Receivables,-,0.94,-,1.71,-,1,-
5,Inventory,20.02,15.98,19.47,29.25,26.83,29.35,-
6,Other Current Assets,20.34,43.77,71.23,33.33,136.53,31.21,-
7,Total Current Assets,1031,1005,1183,1219,927.08,894.61,-
8,"Property, Plant & Equipment",1087,1075,981.41,945.03,876.48,862.61,-
9,Goodwill,28.51,28.51,28.51,28.51,28.51,28.51,-
10,Other Intangible Assets,73.15,76.87,80.6,84.34,88.01,91.71,-
11,Long-Term Investments,12.1,9.72,5.34,5.58,7.3,8.55,-
12,Long-Term Deferred Tax Assets,1.44,1.43,1.75,1.66,5.91,1.37,-
13,Long-Term Accounts Receivable,4.57,4.17,3.38,3.56,3.99,3.61,-
14,Other Long-Term Assets,1.28,1.3,2.39,11.54,1.92,1.95,-
15,Total Assets,2238,2202,2286,2299,1939,1893,-
16,Accounts Payable,137.85,141.89,128.13,111.61,125.36,141.05,-
17,Accrued Expenses,-,79.73,-,69.41,-,77.31,-
18,Short-Term Debt,-,-,20,-,50,-,-
19,Current Portion of Long-Term Debt,0.2,-,-,-,-,-,-
20,Current Unearned Revenue,286.14,349.69,265.14,302.74,286.7,303.07,-
21,Current Portion of Leases,0.59,0.56,0.37,0.7,0.63,0.54,-
22,Current Income Taxes Payable,23.92,34.52,19.85,26.42,17.2,40.52,-
23,Other Current Liabilities,254.14,44.38,404.2,356.06,405.46,166.75,-
24,Total Current Liabilities,702.84,650.77,837.69,866.94,885.35,729.23,-
25,Long-Term Debt,14.75,-,-,-,-,-,-
26,Long-Term Leases,18.79,18.9,8.1,8.06,0.3,0.57,-
27,Long-Term Unearned Revenue,114.47,151.23,128.58,128.47,155.4,106.64,-
28,Long-Term Deferred Tax Liabilities,35.11,37.34,38.89,40.62,37.57,38.71,-
29,Other Long-Term Liabilities,97.18,65.64,84.39,57.44,-,-,-
30,Total Liabilities,983.13,923.88,1098,1102,1079,875.15,-
31,Common Stock,202.72,202.72,202.72,202.72,150,150,-
32,Additional Paid-In Capital,730,730,730,730,523.76,523.76,-
33,Retained Earnings,177.67,179.92,122.97,129.89,77.78,201.88,-
34,Comprehensive Income & Other,68.54,68.51,68.35,68.4,68.34,68.28,-
35,Total Common Equity,1179,1181,1124,1131,819.88,943.92,-
36,Minority Interest,76.02,96.65,64.5,66.3,40.7,73.83,-
37,Shareholders' Equity,1255,1278,1189,1197,860.59,1018,-
38,Total Liabilities & Equity,2238,2202,2286,2299,1939,1893,-
39,Total Debt,34.33,19.46,28.46,8.76,50.94,1.11,-
40,Net Cash (Debt),884.1,838.32,975.17,1071,619.71,742.21,-
41,Net Cash Growth,-9.34%,-21.75%,57.36%,44.34%,-,-,-
42,Net Cash Per Share,4.36,4.14,4.81,5.38,4.13,4.95,-
43,Filing Date Shares Outstanding,202.71,202.71,202.71,202.71,150,150,150
44,Total Common Shares Outstanding,202.71,202.71,202.71,202.71,150,150,150
45,Working Capital,327.66,353.95,345.14,351.68,41.74,165.37,-
46,Book Value Per Share,5.82,5.83,5.54,5.58,5.47,6.29,-
47,Tangible Book Value,1077,1076,1015,1018,703.36,823.71,-
48,Tangible Book Value Per Share,5.31,5.31,5.01,5.02,4.69,5.49,-
49,Buildings,-,90.41,-,89.63,-,64.16,-
50,Machinery,-,204.06,-,161.82,-,76.7,-
51,Construction In Progress,-,99.24,-,42.2,-,79.34,-
