,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,1160,1135,1210,1121,1241,-,-,-
1,Market Cap Growth,1.27%,1.27%,-2.45%,-,-,-,-,-
2,Enterprise Value,291,318,226,-15,562,-,-,-
3,PE Ratio,9.34,9.15,9.91,9.79,10.54,-,-,-
4,PS Ratio,0.44,0.43,0.45,0.42,0.43,-,-,-
5,PB Ratio,0.92,0.84,0.86,0.87,0.92,-,-,-
6,P/FCF Ratio,13.45,13.17,19.70,-,10.48,-,-,-
7,P/OCF Ratio,4.05,4.05,4.55,3.32,5.37,-,-,-
8,EV/Sales Ratio,0.11,0.12,0.08,-,0.19,-,-,-
9,EV/EBITDA Ratio,1.03,1.13,0.86,-,5.28,-,-,-
10,EV/EBIT Ratio,1.39,1.51,1.19,-,16.52,-,-,-
11,EV/FCF Ratio,3.38,3.69,3.68,-,4.75,-,-,-
12,Debt / Equity Ratio,0.03,0.03,0.02,0.02,0.01,0.06,0.00,-
13,Debt / FCF Ratio,0.43,0.43,0.35,-,0.08,-,0.01,-
14,Return on Capital Employed (ROCE),12.79%,12.79%,11.14%,10.42%,2.10%,-,17.65%,-
15,Earnings Yield,10.70%,10.93%,10.09%,10.22%,9.49%,-,-,-
16,Earnings Yield,10.70%,10.93%,10.09%,10.22%,9.49%,-,-,-
17,FCF Yield,7.43%,7.59%,5.08%,17.08%,9.54%,-,-,-
18,Buyback Yield / Dilution,-0.85%,-,-1.72%,-35.14%,-32.86%,-,-,-
19,Total Shareholder Return,4.92%,-,-1.72%,-35.14%,-32.86%,-,-,-
