,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1192,1277,1159,1313,1266,1039,819.53
1,Revenue Growth (YoY),2.89%,-2.77%,-8.49%,26.38%,54.49%,-,-
2,"Selling, General & Admin",38.96,48.01,33.97,48.7,32.79,40.97,34.3
3,Provision for Bad Debts,2.83,0.95,0.85,-0.2,0.42,-0.14,0.04
4,Other Operating Expenses,1047,1135,1044,1194,1274,904.42,673.81
5,Total Operating Expenses,1089,1184,1079,1242,1307,945.25,708.15
6,Operating Income,103.44,92.84,79.91,71,-40.9,93.96,111.38
7,Interest Expense,-1.6,-1.65,-1.91,-2,-0.47,-1.18,-0.05
8,Interest Income,13.29,16.53,16.34,16.73,4.77,3.67,3.35
9,Net Interest Expense,11.69,14.87,14.43,14.73,4.3,2.49,3.29
10,Income (Loss) on Equity Investments,0.05,-1.62,-0.24,-1.72,-1.25,-1.34,-0.71
11,Currency Exchange Gain (Loss),-,-,-,5.8,-,-,-
12,Other Non-Operating Income (Expenses),0.68,5.62,4.1,8.93,101.09,2.14,1.01
13,EBT Excluding Unusual Items,115.86,111.71,98.19,98.74,63.25,97.26,114.97
14,Gain (Loss) on Sale of Investments,-,1.14,1.81,1.17,5.42,5.06,2.38
15,Gain (Loss) on Sale of Assets,0.03,3.46,-,-2.28,4.6,0.75,1.27
16,Pretax Income,115.89,116.32,100,97.63,73.27,103.07,118.62
17,Income Tax Expense,27.17,27.77,24.24,23.11,18.54,25.42,29.58
18,Earnings From Continuing Ops.,88.72,88.54,75.76,74.52,54.73,77.65,89.05
19,Minority Interest in Earnings,-30.16,-31.59,-21.87,-22.4,-2.76,-22.31,-24.67
20,Net Income,58.56,56.95,53.89,52.12,51.98,55.34,64.38
21,Net Income to Common,58.56,56.95,53.89,52.12,51.98,55.34,64.38
22,Net Income Growth,8.67%,9.28%,3.68%,-5.82%,-19.26%,-,-
23,Shares Outstanding (Basic),203,203,203,199,150,150,150
24,Shares Outstanding (Diluted),203,203,203,199,150,150,150
25,Shares Change (YoY),-,1.72%,35.14%,32.86%,-,-,-
26,EPS (Basic),0.29,0.28,0.27,0.26,0.35,0.37,0.43
27,EPS (Diluted),0.29,0.28,0.27,0.26,0.35,0.37,0.43
28,EPS Growth,8.67%,7.43%,-23.28%,-29.12%,-19.26%,-,-
29,Free Cash Flow,16.49,63.74,-7.98,185.15,-80.45,249.95,-37.13
30,Free Cash Flow Per Share,0.08,0.31,-0.04,0.93,-0.54,1.67,-0.25
31,Profit Margin,4.91%,4.46%,4.65%,3.97%,4.11%,5.32%,7.86%
32,Free Cash Flow Margin,1.38%,4.99%,-0.69%,14.10%,-6.35%,24.05%,-4.53%
33,EBITDA,137.5,124.41,115.04,103.13,-8.85,122.84,140.04
34,D&A For EBITDA,34.06,31.57,35.14,32.13,32.04,28.88,28.66
35,EBIT,103.44,92.84,79.91,71,-40.9,93.96,111.38
