,Fiscal Quarter,Q4 2024,Q4 2023,Q1 2016,Q3 2015,Q2 2015,Q1 2015,Q1 2014,Q3 2013,Q2 2013,Q1 2013,Q1 2012
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Mar '16 Mar 31, 2016","Sep '15 Sep 30, 2015","Jun '15 Jun 30, 2015","Mar '15 Mar 31, 2015","Mar '14 Mar 31, 2014","Sep '13 Sep 30, 2013","Jun '13 Jun 30, 2013","Mar '13 Mar 31, 2013","Mar '12 Mar 31, 2012"
0,Revenue,48267,47539,50153,64405,43307,51461,55351,57274,29786,46062,29872
1,Revenue Growth (YoY),11.45%,-7.62%,-9.39%,12.45%,45.39%,11.72%,85.29%,-,-,-,-
2,Cost of Revenue,19071,20327,28837,43745,39022,24700,20616,35062,24350,14260,7223
3,Gross Profit,29195,27212,21316,20660,4285,26762,34735,22212,5436,31802,22649
4,"Selling, General & Admin",8749,10033,4575,5084,4773,4718,5576,7262,7977,4048,2715
5,Operating Expenses,8749,10033,4575,5084,4773,4718,5576,7262,7977,4048,2715
6,Operating Income,20446,17179,16741,15576,-487.91,22043,29159,14949,-2541,27754,19934
7,Interest Expense,-,-,-246.94,-205.97,-336.88,-884.09,-1756,-3008,-3038,-3556,-1211
8,Interest & Investment Income,80436,92095,1429,796.55,5409,211.62,100.16,153.53,653.12,280.28,176.83
9,Earnings From Equity Investments,1568,-6795,104.82,-,-,-,-,-,-,-,-
10,Currency Exchange Gain (Loss),0,-,-,-,-,-,-,-,-,-,-
11,Other Non Operating Income (Expenses),-11320,117.1,-434.96,-76.41,-286.4,-232.98,-151.22,-980.67,-588.58,-1060,-173.47
12,EBT Excluding Unusual Items,91130,102596,17593,16090,4298,21138,27352,11115,-5515,23418,18726
13,Gain (Loss) on Sale of Investments,-2791,-5160,-,-,-,-,-,-,-,-,-
14,Pretax Income,88339,97437,17593,16090,4298,21138,27352,11115,-5515,23418,18726
15,Income Tax Expense,18143,15296,3574,3318,483.97,4309,5712,2030,-1736,6179,4681
16,Earnings From Continuing Operations,70197,82140,14019,12772,3814,16828,21640,9084,-3778,17239,14044
17,Minority Interest in Earnings,-1610,-1195,-942.04,-1464,-1113,-1549,-1390,-2993,342.12,518.57,-
18,Net Income,68587,80945,13077,11309,2701,15279,20251,6091,-3436,17758,14044
19,Net Income to Common,68587,80945,13077,11309,2701,15279,20251,6091,-3436,17758,14044
20,Net Income Growth,2439.23%,429.78%,-35.43%,85.65%,-,-13.96%,44.19%,-,-,-,-
21,Shares Outstanding (Basic),65,65,26,17,17,17,17,17,5,17,17
22,Shares Outstanding (Diluted),65,65,26,17,17,17,17,17,5,17,17
23,Shares Change (YoY),275.47%,274.89%,49.94%,-0.05%,281.43%,0.01%,-0.01%,-,-,-,-
24,EPS (Basic),1055.00,1245.00,503.00,652.00,156.00,881.00,1168.00,351.00,-757.00,1024.00,810.00
25,EPS (Diluted),1055.00,1245.00,503.00,652.00,156.00,881.00,1168.00,351.00,-757.00,1024.00,810.00
26,EPS Growth,576.28%,41.32%,-56.93%,85.75%,-,-13.96%,44.20%,-,-,-,-
27,Gross Margin,60.49%,57.24%,42.50%,32.08%,9.90%,52.00%,62.75%,38.78%,18.25%,69.04%,75.82%
28,Operating Margin,42.36%,36.14%,33.38%,24.18%,-1.13%,42.83%,52.68%,26.10%,-8.53%,60.25%,66.73%
29,Profit Margin,142.10%,170.27%,26.07%,17.56%,6.24%,29.69%,36.59%,10.64%,-11.54%,38.55%,47.02%
30,EBITDA,22035,-,-,-,-,-,-,17377,-113.21,30181,-
31,EBITDA Margin,45.65%,-,-,-,-,-,-,30.34%,-0.38%,65.52%,-
32,D&A For EBITDA,1589,-,-,-,-,-,-,2428,2428,2428,-
33,EBIT,20446,17179,16741,15576,-487.91,22043,29159,14949,-2541,27754,19934
34,EBIT Margin,42.36%,36.14%,33.38%,24.18%,-1.13%,42.83%,52.68%,26.10%,-8.53%,60.25%,66.73%
35,Effective Tax Rate,20.54%,15.70%,20.32%,20.62%,11.26%,20.39%,20.88%,18.27%,-,26.38%,25.00%
36,Revenue as Reported,48267,47539,50153,64405,43307,51461,55351,57274,29786,46062,29872
